,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
596,596,AETOS,2021-06-29,Fantastic,5.0,Senior Operations Manager,,reviews,objective,neutral,en,"pro : challenge environment start use technology . con : low pay , high turn",0.92706746,,
1095,1095,AETOS,2022-05-12,OT unlimited,1.0,Securiy Officer,,reviews,objective,neutral,en,pro : ot many super tire . con : less salary unfair environment,0.7555886,,
3579,3579,AETOS,20/11/2019,-,5.0,-,Singapore,benefits,objective,neutral,,"mc , uniform , meal , transport allowance . basically everything need job fully cover provide .",0.7050128,2201.0,"mc , uniform , meal , transport allowance . basically everything need job fully cover provide ."
3581,3581,AETOS,25/11/2015,-,1.0,-,Singapore,benefits,objective,neutral,,need . need less hold back . give us time benefit ...,0.7531498,2203.0,need . need less hold back . give us time benefit ...
7257,7257,AETOS,29/8/2022,security company,5.0,Security Officer,,reviews,objective,neutral,,"pro : good pay tire job , hope find part time ktv pub relate without commitment . con : deployment need commitment , work hour 16 hour day ,",0.8995809,5879.0,"pro : good pay tire job , hope find part time ktv pub relate without commitment . con : deployment need commitment , work hour 16 hour day ,"
7261,7261,AETOS,16/8/2022,Working Environment,5.0,Security Officer,Singapore,reviews,objective,neutral,,pro : good work environment area convenient . con : nil con area good,0.81602573,5883.0,pro : good work environment area convenient . con : nil con area good
7264,7264,AETOS,31/7/2022,Good,5.0,APO,,reviews,objective,neutral,,pro : sincere pay good management . con : no fair treatment unless hold ball .,0.69050795,5886.0,pro : sincere pay good management . con : no fair treatment unless hold ball .
7269,7269,AETOS,12/7/2022,Reflection,5.0,Pharmacy Assistant,,reviews,objective,neutral,,pro : good pay great team member work alongside . con : long hour facility need improve,0.77976525,5891.0,pro : good pay great team member work alongside . con : long hour facility need improve
7270,7270,AETOS,3/7/2022,Time of service,5.0,Auxiliary Police Officer,,reviews,objective,neutral,,pro : good pay . pay time .. con : no work-life balance . long hour shift .,0.7503249,5892.0,pro : good pay . pay time .. con : no work-life balance . long hour shift .
7272,7272,AETOS,21/6/2022,worth a try,5.0,Senior Accountant,,reviews,objective,neutral,,"pro : good environment boss friendly . no scrutinize work . con : less growth , stable place work",0.8941064,5894.0,"pro : good environment boss friendly . no scrutinize work . con : less growth , stable place work"
7274,7274,AETOS,24/7/2022,Worst company,1.0,Auxiliary Police Officer,,reviews,objective,neutral,,pro : high salary 12 hour per shift . con : short day unable take leave attend many event,0.92046714,5896.0,pro : high salary 12 hour per shift . con : short day unable take leave attend many event
7278,7278,AETOS,2/6/2022,Thanks for all,5.0,Security Officer,,reviews,objective,neutral,,"pro : good , nice , flexible , relax , work . con : hire ppl high pay",0.53007805,5900.0,"pro : good , nice , flexible , relax , work . con : hire ppl high pay"
7280,7280,AETOS,30/5/2022,-,5.0,Auxiliary Police Officer,Singapore,reviews,objective,neutral,,pro : salary nice friendly environment work peace . con : need overtime lot working hour long,0.8124433,5902.0,pro : salary nice friendly environment work peace . con : need overtime lot working hour long
7285,7285,AETOS,7/6/2022,.,1.0,Auxiliary Police Officer (Enforcement),,reviews,objective,neutral,,pro : high pay lifeless job . con : much politics less welfare,0.67795044,5907.0,pro : high pay lifeless job . con : much politics less welfare
7294,7294,AETOS,22/4/2022,salary,1.0,Administrative Assistant,Singapore,reviews,objective,neutral,,pro : no comment . google information . con : no team support . long working hour,0.6108527,5916.0,pro : no comment . google information . con : no team support . long working hour
7296,7296,AETOS,11/4/2022,Work Environment full with affair,1.0,Officer In Charge,Singapore,reviews,objective,neutral,,"pro : chance sleep around choose join group .. con : choose stay away , pray hard work hard . 're lady , make join . 're guy , wife work , good luck !",0.5258204,5918.0,"pro : chance sleep around choose join group .. con : choose stay away , pray hard work hard . 're lady , make join . 're guy , wife work , good luck !"
7299,7299,AETOS,13/2/2022,Great organisation!,5.0,Management,Singapore,reviews,objective,neutral,,pro : visionary leader focus on-boarding right person bus ! . con : none moment . cohesive go beyond !,0.63852715,5921.0,pro : visionary leader focus on-boarding right person bus ! . con : none moment . cohesive go beyond !
7304,7304,AETOS,12/2/2022,"Only a Job, not a Career",1.0,APO,"Woodlands New Town,",reviews,objective,neutral,,"pro : ground apos share lot bond overcome frustration management .. con : everything else , careful supervisor .",0.86066526,5926.0,"pro : ground apos share lot bond overcome frustration management .. con : everything else , careful supervisor ."
7305,7305,AETOS,5/2/2022,Never say the truth,1.0,Security Officer,,reviews,objective,neutral,,pro : sound good not truth . con : not tell truth make make staff work,0.5453751,5927.0,pro : sound good not truth . con : not tell truth make make staff work
7311,7311,AETOS,26/12/2021,Poor Management,1.0,Auxiliary Police Officer,,reviews,objective,neutral,,"pro : high pay , great colleague etc etc etc . con : long hour , unpaid mc , earn leaf",0.70714664,5933.0,"pro : high pay , great colleague etc etc etc . con : long hour , unpaid mc , earn leaf"
7314,7314,AETOS,8/12/2021,Do not recommend.,1.0,Auxiliary Police Officer,Singapore,reviews,objective,neutral,,pro : flexible work time . training provide .. con : low welfare . profit driven . low salary scale .,0.87903345,5936.0,pro : flexible work time . training provide .. con : low welfare . profit driven . low salary scale .
7318,7318,AETOS,30/9/2021,Good career,5.0,Auxiliary Police Officer,,reviews,objective,neutral,,pro : long hour stand patrol . con : bunos profit sharing time pay,0.91455567,5940.0,pro : long hour stand patrol . con : bunos profit sharing time pay
7321,7321,AETOS,8/10/2021,No work life balance,1.0,Auxiliary Police Officer,Singapore,reviews,objective,neutral,,pro : salary high salary high salary high . con : no work life balance site work terrible,0.9072936,5943.0,pro : salary high salary high salary high . con : no work life balance site work terrible
7334,7334,AETOS,13/7/2021,Poor management and direction,1.0,Anonymous Employee,Singapore,reviews,objective,neutral,,pro : profit sharing 13th month bonus . con : poor management direction,0.5328078,5956.0,pro : profit sharing 13th month bonus . con : poor management direction
7336,7336,AETOS,24/5/2021,Always be punctual to work,5.0,Security Officer,Singapore,reviews,objective,neutral,,pro : independent job give hardwork say n duty finish work time punctual work intellectual finishing give task . con : lack salary work 12 hour carry heavy load work inside warehouse,0.90193915,5958.0,pro : independent job give hardwork say n duty finish work time punctual work intellectual finishing give task . con : lack salary work 12 hour carry heavy load work inside warehouse
7337,7337,AETOS,19/5/2021,Great company,5.0,Police Officer,Singapore,reviews,objective,neutral,,pro : good basic salary bonus . con : long work hour uncertain shift,0.87313545,5959.0,pro : good basic salary bonus . con : long work hour uncertain shift
7341,7341,AETOS,23/4/2021,Good money to work,5.0,Auxiliary Police Officer,"Jurong East New Town,",reviews,objective,neutral,,pro : good salary allowance bonus . con : long work hour make tire,0.8691454,5963.0,pro : good salary allowance bonus . con : long work hour make tire
7349,7349,AETOS,19/3/2021,Na,1.0,Auxiliary Police Officer,Singapore,reviews,objective,neutral,,pro : actually nothing la . con : many hour n ect,0.7016493,5971.0,pro : actually nothing la . con : many hour n ect
7356,7356,AETOS,18/2/2021,"Good to have more ""Friend""",1.0,Anonymous Employee,Singapore,reviews,objective,neutral,,"pro : capable push away assignment , friend top management , obedient employee ( say yes ) , basically sit back rest leg table collect pay .. con : politics no career prospect ( unless u categorise pro remark )",0.49235982,5978.0,"pro : capable push away assignment , friend top management , obedient employee ( say yes ) , basically sit back rest leg table collect pay .. con : politics no career prospect ( unless u categorise pro remark )"
7361,7361,AETOS,24/1/2021,Employees are not dogs,1.0,Auxiliary Police Officer,"Jurong West New Town,",reviews,objective,neutral,,"pro : stable job regardless pandemic . con : no bonus , no 13th month , work 300hrs/month",0.6792138,5983.0,"pro : stable job regardless pandemic . con : no bonus , no 13th month , work 300hrs/month"
7364,7364,AETOS,17/12/2020,Rough journey,1.0,APO,"Woodlands New Town,",reviews,objective,neutral,,"pro : lock easy job no need use brain . con : mandatory ot day , work like 280-300 hour per month . like cow .",0.7758821,5986.0,"pro : lock easy job no need use brain . con : mandatory ot day , work like 280-300 hour per month . like cow ."
7367,7367,AETOS,27/10/2020,Good benefits,5.0,HUMAN RESOURCE EXECUTIVE,Singapore,reviews,objective,neutral,,"pro : good benefit , west location , convenient . con : top approach , management bit poor",0.8493277,5989.0,"pro : good benefit , west location , convenient . con : top approach , management bit poor"
7377,7377,AETOS,10/3/2020,Good place to work,5.0,Senior Officer,"Changi Village,",reviews,objective,neutral,,"pro : high pay u work long enough . con : isnt con , good",0.49804372,5999.0,"pro : high pay u work long enough . con : isnt con , good"
7384,7384,AETOS,23/11/2019,Work life in Aetos,5.0,Corporal,"Woodlands New Town,",reviews,objective,neutral,,"pro : professional officer , good environment near house . con : long hour , no balance lifestyle",0.89650345,6006.0,"pro : professional officer , good environment near house . con : long hour , no balance lifestyle"
7389,7389,AETOS,4/8/2019,Apo,1.0,APO,Singapore,reviews,objective,neutral,,pro : high salary easy job scope . con : no time . lack manpower,0.77506596,6011.0,pro : high salary easy job scope . con : no time . lack manpower
7404,7404,AETOS,2/9/2015,Finance,1.0,Anonymous Employee,,reviews,objective,neutral,,pro : large local corporation customer knock door .. con : ability drive change management process labour intensive .,0.92944795,6026.0,pro : large local corporation customer knock door .. con : ability drive change management process labour intensive .
7409,7409,AETOS,26/8/2022,Good pay but long hour,1.0,Auxiliary Police Officer,,reviews,objective,neutral,,pro : good pay good company good trainer . con : long work hour politic favouritism,0.7375703,6031.0,pro : good pay good company good trainer . con : long work hour politic favouritism
7413,7413,AETOS,15/5/2022,5 Star,5.0,Sr Buyer Packaging,,reviews,objective,neutral,,pro : family orient personal . management care employee . con : small business . insurance price higher,0.91401035,6035.0,pro : family orient personal . management care employee . con : small business . insurance price higher
