,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
774,774,AETOS,2022-04-10,Poor working enviroment,1.0,Auxiliary Police Officer,,reviews,subjective,negative,en,"pro : easy job training easy pass no effort .. con : compulsory overtime , work beyond singapore mom maximum hour basic . full negative mind people many unspoken rule , also many dirty relationship .",0.8408232,,
1094,1094,AETOS,2017-09-11,Full time employee (Recruitment Department),1.0,Recruitment,,reviews,subjective,negative,en,"pro : work end time every day ( hr/recruitment department . 6pm .. con : poor management . no proper career progression , management hr department not recognize people actually contribute department , especially term moral . recruitment manager not share knowledge information team , strike someone insecure ( afraid someone take position ) . not treat staff fairly , tell team numerous time 'throw letter ' lose temper . force 6 people leave time manager , take january 2016. company lack vision , not treat employee well . maybe unaware really go . high turn rate .",0.9465916,,
1357,1357,AETOS,2022-04-11,-,1.0,-,Singapore,benefits,subjective,negative,en,"depend kind benefit want . wish get return work hard , sorry , not place . however look colleague benefit , yes , place .",0.8966912,,
3571,3571,AETOS,11/8/2022,-,5.0,-,Singapore,benefits,subjective,positive,,best holdback company give plenty ot,0.8047191,2193.0,best holdback company give plenty ot
3573,3573,AETOS,19/4/2022,-,5.0,-,Singapore,benefits,subjective,positive,,good health insurance outpatient,0.7519029,2195.0,good health insurance outpatient
3574,3574,AETOS,5/12/2021,-,5.0,-,Singapore,benefits,subjective,positive,,provide good medical coverage employee,0.7478791,2196.0,provide good medical coverage employee
3575,3575,AETOS,7/6/2021,-,5.0,-,Singapore,benefits,subjective,positive,,benefit really good,0.852908,2197.0,benefit really good
3576,3576,AETOS,17/11/2020,-,1.0,-,Singapore,benefits,subjective,negative,,"company offer 7 day annual leave pathetic consider officer work 300 hour month ( 25 day x 12 hour shift ) . bad still , officer not allow plan leave advance confirm leave 1-2 month prior leave . say , bonus equally pathetic . no aws . bonus limited profit share bonus ( sgd800 ) performance bonus ( less month ) .",0.9282431,2198.0,"company offer 7 day annual leave pathetic consider officer work 300 hour month ( 25 day x 12 hour shift ) . bad still , officer not allow plan leave advance confirm leave 1-2 month prior leave . say , bonus equally pathetic . no aws . bonus limited profit share bonus ( sgd800 ) performance bonus ( less month ) ."
3577,3577,AETOS,30/7/2020,-,5.0,-,Singapore,benefits,subjective,positive,,quite good n reasonable package overall .,0.83153546,2199.0,quite good n reasonable package overall .
7255,7255,AETOS,9/10/2022,Good,5.0,Cabin Crew,,reviews,subjective,positive,,pro : good work environment office . con : nothing really bad say company,0.7163827,5877.0,pro : good work environment office . con : nothing really bad say company
7262,7262,AETOS,10/8/2022,want to experience new place,5.0,Auxiliary Police Officer,,reviews,subjective,positive,,pro : company doin great‚ä¶.but want try experience new places‚ä¶ . con : no excitement company thing every year,0.58102536,5884.0,pro : company doin great‚ä¶.but want try experience new places‚ä¶ . con : no excitement company thing every year
7267,7267,AETOS,28/8/2022,Bad company,1.0,SSO,"Jurong East New Town,",reviews,subjective,negative,,"pro : nothing good . lousy company . con : poor management , low salary , try everything reduce employee salary",0.81041735,5889.0,"pro : nothing good . lousy company . con : poor management , low salary , try everything reduce employee salary"
7273,7273,AETOS,25/7/2022,Ä¶‚Ä¶.,1.0,Auxiliary Police Officer,,reviews,subjective,positive,,pro : start salary good make work like hell . con : boring boring boring,0.67446697,5895.0,pro : start salary good make work like hell . con : boring boring boring
7284,7284,AETOS,14/6/2022,No work life,1.0,Auxiliary Police Officer,,reviews,subjective,negative,,"pro : pay accordingly time . stable job .. con : no work life balance . welfare front truth 's non existent . bad planning , bad management lot malpractice .",0.873961,5906.0,"pro : pay accordingly time . stable job .. con : no work life balance . welfare front truth 's non existent . bad planning , bad management lot malpractice ."
7293,7293,AETOS,22/4/2022,None,1.0,Corporate Staff,,reviews,subjective,negative,,pro : none . no comment . colleague ok .. con : not reward . stressful . no development .,0.52653563,5915.0,pro : none . no comment . colleague ok .. con : not reward . stressful . no development .
7297,7297,AETOS,7/4/2022,No life,1.0,Auxiliary Police Officer,,reviews,subjective,negative,,"pro : basic 2.6 pc , 3k sgt rank , additional allowance upon hit 264hrs/month . good single want save .. con : 312hrs per month , no work-life balance . prepare give life . not say no ot . you‚äôll task many additional thing sgt rank . alot biasness unfair treatment closer good term team leader ( tl ) no progression , basically not much look forward",0.8545378,5919.0,"pro : basic 2.6 pc , 3k sgt rank , additional allowance upon hit 264hrs/month . good single want save .. con : 312hrs per month , no work-life balance . prepare give life . not say no ot . you‚äôll task many additional thing sgt rank . alot biasness unfair treatment closer good term team leader ( tl ) no progression , basically not much look forward"
7309,7309,AETOS,14/1/2022,Toxic work culture,1.0,Manager,,reviews,subjective,negative,,"pro : nice office many nearby lunching option .. con : extremely toxic work culture . boss kill management level , no team cohesiveness . prominent competition get ceo 's good book among vps , alarm mid-level management turn . many blame session create low morale among mid low level employee . boss often create lot office politics , probably unknowingly still denial , data turn say . live far away n't drive tire awhile due travelling .",0.9358746,5931.0,"pro : nice office many nearby lunching option .. con : extremely toxic work culture . boss kill management level , no team cohesiveness . prominent competition get ceo 's good book among vps , alarm mid-level management turn . many blame session create low morale among mid low level employee . boss often create lot office politics , probably unknowingly still denial , data turn say . live far away n't drive tire awhile due travelling ."
7312,7312,AETOS,16/12/2021,.,1.0,Anonymous Employee,,reviews,subjective,negative,,pro : n't work not not good . con : not good bad favorism oh ye,0.7824094,5934.0,pro : n't work not not good . con : not good bad favorism oh ye
7315,7315,AETOS,27/11/2021,No values company,1.0,Manager,Singapore,reviews,subjective,negative,,"pro : sleep around still promote . con : big boss no moral value , sleep around , break many people family still vice president . cause people leave wife child big shot company . temasek , people moral problem .",0.91888595,5937.0,"pro : sleep around still promote . con : big boss no moral value , sleep around , break many people family still vice president . cause people leave wife child big shot company . temasek , people moral problem ."
7324,7324,AETOS,15/9/2021,Experience working with Aetos,1.0,APO,,reviews,subjective,negative,,"pro : salary pay time & healthcare benefit well company .. con : slow career progression , bad working culture ( people capable continue take work people ca n't remain continue get promotion salary increment ) , salary increment minimal , long working hour , process still old school , people assign work n't get monetary promotion recognition deserve , go people stay longer company never get recognition need .",0.913647,5946.0,"pro : salary pay time & healthcare benefit well company .. con : slow career progression , bad working culture ( people capable continue take work people ca n't remain continue get promotion salary increment ) , salary increment minimal , long working hour , process still old school , people assign work n't get monetary promotion recognition deserve , go people stay longer company never get recognition need ."
