,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
326,326,Charles & Keith,2022-05-09,Part-time,5.0,Retail Associate,,reviews,objective,neutral,en,"pro : good working environment , staff friendly . con : no input section",0.61918306,,
652,652,Charles & Keith,2018-06-05,-,1.0,-,Singapore,benefits,objective,neutral,en,"benefit standard compare company . however , depend availability team able use benefit give .",0.7548375,,
881,881,Charles & Keith,2021-11-23,Great to boost resume,5.0,Sales Associate,"Orchard, ",reviews,objective,neutral,en,pro : high comm & high incentive . con : work day not like others,0.9233083,,
929,929,Charles & Keith,2018-05-16,Stable Company,5.0,Anonymous Employee,,reviews,objective,neutral,en,pro : flexible work hour good environment office nice view friendly colleague management . con : sometimes ot late .,0.56011367,,
13328,13328,Charles & Keith,10/9/2022,Warm and friendly workplace,5.0,Manager,,reviews,objective,neutral,,pro : retail team feel like warm family always take care work hard play hard . although retail tire time operation team always organize activity bonding . con : salary not market standard,0.72599024,11950.0,pro : retail team feel like warm family always take care work hard play hard . although retail tire time operation team always organize activity bonding . con : salary not market standard
13332,13332,Charles & Keith,28/7/2022,Great,5.0,Customer Service,"Tampines New Town, ",reviews,objective,neutral,,"pro : welcome friendly , nice place work . con : stressful thing independently",0.6408497,11954.0,"pro : welcome friendly , nice place work . con : stressful thing independently"
13337,13337,Charles & Keith,27/6/2022,Good,5.0,Sales Associate,,reviews,objective,neutral,,pro : fun colleague no target part timer . con : everyone fight sale,0.8757577,11959.0,pro : fun colleague no target part timer . con : everyone fight sale
13349,13349,Charles & Keith,23/4/2022,Job,5.0,Sales Executive,,reviews,objective,neutral,,pro : learn alot thing fashion knowledge . con : stressful deal target,0.92103136,11971.0,pro : learn alot thing fashion knowledge . con : stressful deal target
13359,13359,Charles & Keith,5/2/2022,Pretty good,5.0,ECommerce Executive,,reviews,objective,neutral,,pro : management leader take care employee . con : sometimes head n't know want,0.8964121,11981.0,pro : management leader take care employee . con : sometimes head n't know want
13361,13361,Charles & Keith,7/2/2022,Good work environment,5.0,Customer Service Associate,,reviews,objective,neutral,,"pro : work part time sale rep company , pleasant experience fun team . con : pay low service job , 1 shift long standing hour",0.8804594,11983.0,"pro : work part time sale rep company , pleasant experience fun team . con : pay low service job , 1 shift long standing hour"
