,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
195,195,Charles & Keith,2020-12-22,Poor Atmosphere  at Work,1.0,Sales Operations,Singapore,reviews,subjective,negative,en,"pro : n't even know say .. con : low salary , long hour work , poor office ikea desk ecommerce",0.8357863,,
741,741,Charles & Keith,2016-01-19,Very Rigid Workplace,1.0,Anonymous Employee,Singapore,reviews,subjective,negative,en,"pro : grow fashion name asia pacific .. con : fill young bubbling staff , unfortunately culture rigid - top management unreceptive good change . hierarchy prominent office , whilst department regard great others . company overall unappreciative worker ; feedback comment often disregard . also tendency micromanagement . dreadfully uncreative fashion label .",0.9307364,,
773,773,Charles & Keith,2022-09-26,Work until u died with real cases,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : company 100 % pretentious , love charity publicity event show great people . con : expect u work full exhaustion , no work life balance , pay u not peanut hull , lot con really scary tell hr together",0.88435924,,
895,895,Charles & Keith,2015-10-13,Stable but uninspiring,1.0,,Singapore,reviews,subjective,positive,en,pro : - good branding nice office gym - big pantry staff lounge - fashionable relaxed dress code - colleague generally nice - get promote stay long - good orientation programme - top-down approach manager like micromanage . good people enjoy instruct work . - stable environment . great people n't like change come new idea .. con : - strict hr policy : salary dock clock late . work late no extra . ironic like talk `` flexible working hour `` really n't . - not open innovation . no push improve efficiency .,0.52460337,,
1191,1191,Charles & Keith,2022-08-25,Thoughts on CK,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : fun colleague hang . con : hr thing favour good side , result unfair decision fail realise extremely demoralise exist employee see clear disparity treatment hod extremely insensitive rude typical family business , sometimes place relation logic . hod relate way , make hard give constructive feedback",0.921598,,
1255,1255,Charles & Keith,2022-08-22,Façade,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : ( 1 ) nicer co-worker understand work culture willing help ( 2 ) flexible working hour dress code not turdy casual ( 3 ) tgef , knock early first friday month . con : ( 1 ) goal plan execute often contradict ( 2 ) pretentious - encourages openness tell no right wrong ask honest feedback . reality 's trap test loyalty ( 3 ) non-anonymous , non-impartial - forget bring personal complaint feedback hr since probably bad . hod probably friend 'll get target back something mention feel like complaint . make thing bad , context intention feedback distort diminish credibility team .",0.9249921,,
1271,1271,Charles & Keith,2018-07-02,Don’t waste your talent,1.0,Management Associate,,reviews,subjective,negative,en,"pro : - . con : - political retail management ( favourite one get promotion regardless qualification ) - culture diversity team without team work . try not offence anyone “ culture ” , ( group ) spread unrealistic rumour destroy reputation .",0.8531524,,
4737,4737,Charles & Keith,12/8/2022,-,5.0,-,Malaysia,benefits,subjective,positive,,"good salary , life insurans , medical bonus",0.75386834,3359.0,"good salary , life insurans , medical bonus"
4738,4738,Charles & Keith,12/8/2022,-,5.0,-,Malaysia,benefits,subjective,positive,,good salary benefit employee,0.81358904,3360.0,good salary benefit employee
4743,4743,Charles & Keith,21/3/2022,-,5.0,-,Singapore,benefits,subjective,positive,,awesome experience company,0.8502984,3365.0,awesome experience company
4744,4744,Charles & Keith,27/2/2022,-,5.0,-,Singapore,benefits,subjective,positive,,wide various benefit perk employee,0.64773893,3366.0,wide various benefit perk employee
4746,4746,Charles & Keith,9/2/2022,-,5.0,-,Singapore,benefits,subjective,positive,,fast pace friendly colleague,0.78844494,3368.0,fast pace friendly colleague
4748,4748,Charles & Keith,3/1/2022,-,5.0,-,Singapore,benefits,subjective,positive,,"company follow mandate benefit government , offer attractive incentive perform well .",0.56563175,3370.0,"company follow mandate benefit government , offer attractive incentive perform well ."
4752,4752,Charles & Keith,30/10/2021,-,5.0,-,Singapore,benefits,subjective,positive,,great benefit package,0.8622268,3374.0,great benefit package
4762,4762,Charles & Keith,24/3/2020,-,1.0,-,Singapore,benefits,subjective,negative,,management n't great store supervisor . depend get understanding supervisor,0.39796624,3384.0,management n't great store supervisor . depend get understanding supervisor
4763,4763,Charles & Keith,28/1/2020,-,5.0,-,Singapore,benefits,subjective,negative,,"like company organise christmas party bring child office . party , addition christmas buffet lunch also free ice-cream ( udder ) , gongcha bubble tea , photobooth , caricature artist , henna tattoo etc . really fun colleague especially kid . get see work dont worry childcare arrangement day allow go home early party . aspect benefit enjoy earn time hour work beyond hour . mean work really late day weekend , take time work follow week schedule permit . flexible take 1-2 hour time start work later take time towards end day ( mean short work day day ) . company , executive dont get hour pay back , really appreciate work-hours flexibility parent . lastly , short work day every 1st friday month . , never “ luxury ” previous company work .",0.501931,3385.0,"like company organise christmas party bring child office . party , addition christmas buffet lunch also free ice-cream ( udder ) , gongcha bubble tea , photobooth , caricature artist , henna tattoo etc . really fun colleague especially kid . get see work dont worry childcare arrangement day allow go home early party . aspect benefit enjoy earn time hour work beyond hour . mean work really late day weekend , take time work follow week schedule permit . flexible take 1-2 hour time start work later take time towards end day ( mean short work day day ) . company , executive dont get hour pay back , really appreciate work-hours flexibility parent . lastly , short work day every 1st friday month . , never “ luxury ” previous company work ."
4769,4769,Charles & Keith,22/11/2018,-,1.0,-,Singapore,benefits,subjective,negative,,little no benefit part timer . even store hit monthly target n't think get reward . ft get commission even store voucher . pt work equally hard still underpaid .,0.8086839,3391.0,little no benefit part timer . even store hit monthly target n't think get reward . ft get commission even store voucher . pt work equally hard still underpaid .
13325,13325,Charles & Keith,11/9/2022,Working Culture,5.0,Retail Sales Associate,,reviews,subjective,positive,,pro : aic always take care fellow team member . festival season organize bonding . surprise happy part team .. con : pay not high compare company long working hour .,0.5016,11947.0,pro : aic always take care fellow team member . festival season organize bonding . surprise happy part team .. con : pay not high compare company long working hour .
13331,13331,Charles & Keith,31/8/2022,"Progressive, nice people but not techy",5.0,Anonymous Employee,Singapore,reviews,subjective,negative,,"pro : ab team , flexi medical benefit , hr give surprise new born voucher . colleague receive compassionate wreath money . progressive culture , mgt encourages continuous learn improvement , development programme provide opportunity rotate learn different role . con : many unconstructive change , manual work , bit low tech , slow internet , mgt rush many aspiration , ad hoc change requirement misalignment among confuse us work level colleague defensive protective",0.5993575,11953.0,"pro : ab team , flexi medical benefit , hr give surprise new born voucher . colleague receive compassionate wreath money . progressive culture , mgt encourages continuous learn improvement , development programme provide opportunity rotate learn different role . con : many unconstructive change , manual work , bit low tech , slow internet , mgt rush many aspiration , ad hoc change requirement misalignment among confuse us work level colleague defensive protective"
13333,13333,Charles & Keith,24/8/2022,Good for fresh grad.,1.0,Sales Executive,,reviews,subjective,negative,,pro : fresh graduate brand experience work renowned company . con : ops management no direction toxic culture . possible please stop birthday giftings political cause alot unnecessary unhappiness,0.88599306,11955.0,pro : fresh graduate brand experience work renowned company . con : ops management no direction toxic culture . possible please stop birthday giftings political cause alot unnecessary unhappiness
13339,13339,Charles & Keith,21/6/2022,Senior Software Engineer,5.0,Senior Software Engineer,Singapore,reviews,subjective,positive,,"pro : good environment , helpful , management good . con : increment low , otherwise good",0.5000403,11961.0,"pro : good environment , helpful , management good . con : increment low , otherwise good"
13340,13340,Charles & Keith,20/6/2022,Good company with good colleagues,5.0,Regional Ecommerce Manager,,reviews,subjective,positive,,pro : - good mentorship management team - good boss colleague - good welfare - lot good opportunity company . con : - n't con salary could something company look,0.7571911,11962.0,pro : - good mentorship management team - good boss colleague - good welfare - lot good opportunity company . con : - n't con salary could something company look
13355,13355,Charles & Keith,8/4/2022,Toxic “family”,1.0,Anonymous Employee,,reviews,subjective,negative,,pro : learn dont stay long . con : toxic environment toxic culture fake positivity/caring no wlb no long term vision senior management deadwood,0.9022135,11977.0,pro : learn dont stay long . con : toxic environment toxic culture fake positivity/caring no wlb no long term vision senior management deadwood
13358,13358,Charles & Keith,14/3/2022,Fashion Forward; People Backward,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : successful sg fashion startup international presence . brand name good stepping stone resume .. con : people backward company talk take good care employee , actually not care much . aim like lvmh pay like local sme . employee get pay well he/she `` inner circle `` management team . employee overload overwork , task beyond scope expertise . pay n't match amount effort time put business . limited development opportunity employee upskill reskill perform additional task . deal underperformance , reason give lack agility , lack open-mindedness lack innovativeness clearly absurd employee juggle much work time .",0.92238307,11980.0,"pro : successful sg fashion startup international presence . brand name good stepping stone resume .. con : people backward company talk take good care employee , actually not care much . aim like lvmh pay like local sme . employee get pay well he/she `` inner circle `` management team . employee overload overwork , task beyond scope expertise . pay n't match amount effort time put business . limited development opportunity employee upskill reskill perform additional task . deal underperformance , reason give lack agility , lack open-mindedness lack innovativeness clearly absurd employee juggle much work time ."
13363,13363,Charles & Keith,28/2/2022,"Pretty outside, Chaotic inside",1.0,Anonymous Employee,Singapore,reviews,subjective,negative,,"pro : casual environment , alot youngster get meet people different department . con : poor communication lack guidance . high turn rate expect meeting clueless staff department . hire fresh graduate pay less market rate big company , feedback useless blame . yet receive ot pay even probation ( 6 month probation ) lot say no proper action .",0.9339826,11985.0,"pro : casual environment , alot youngster get meet people different department . con : poor communication lack guidance . high turn rate expect meeting clueless staff department . hire fresh graduate pay less market rate big company , feedback useless blame . yet receive ot pay even probation ( 6 month probation ) lot say no proper action ."
13370,13370,Charles & Keith,15/1/2022,Good for initial exposure but not a place to stay long term,1.0,Administrative Coordinator,,reviews,subjective,negative,,"pro : spacious office look outside . con : poor work environment bad lighting- great aesthetic eyesight deteriorate long work . tight work space precovid . mgt attempt modern like product push not see blindspots , conservative mgt style . bias , pet future , dont waste yr time gg mile u not pet . take talent elsewhere move get experience . not place mover shaker , likely would find constrain , overwork , underpaid , unrecognised .",0.92733836,11992.0,"pro : spacious office look outside . con : poor work environment bad lighting- great aesthetic eyesight deteriorate long work . tight work space precovid . mgt attempt modern like product push not see blindspots , conservative mgt style . bias , pet future , dont waste yr time gg mile u not pet . take talent elsewhere move get experience . not place mover shaker , likely would find constrain , overwork , underpaid , unrecognised ."
13372,13372,Charles & Keith,7/12/2021,Good welfare,5.0,Anonymous Employee,,reviews,subjective,positive,,"pro : good welfare , nice environment work office , stylish .. con : not much , probably need review certain department 's management .",0.6949632,11994.0,"pro : good welfare , nice environment work office , stylish .. con : not much , probably need review certain department 's management ."
13379,13379,Charles & Keith,29/11/2021,Disappointing Management,1.0,Financial Services Representative,Singapore,reviews,subjective,negative,,"pro : good co-worker ceo , however may need look people manage people .. con : don ’ appreciate effort , double standard unfair treat management",0.75149494,12001.0,"pro : good co-worker ceo , however may need look people manage people .. con : don ’ appreciate effort , double standard unfair treat management"
