,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
165,165,Cheil Worldwide,2019-11-18,Big Brother Culture of oppression,1.0,Senior Management,"London, England",reviews,subjective,negative,en,pro : really nice canteen/relaxation area courtyard . good location .. con : strange place ever work ! odd atmosphere . usually totally silent office- hear pen drop side room . strange agency ! nobody look happy fun- everyone incredibly stress . always felt like everyone watch check whole time ( actually ! ) . cheil almost entirely control korean office team spend considerable amount time ‘ reporting back ’ daily basis . total lack trust us ( korea ) point couldn ’ really contribute anything felt like puppet . unrewarding team totally demoralise . come great idea solution consistently disregard korea . not role sign felt impossible contribute anything positive due bizarre orwellian culture control repression . definitely not ( anyone half brain ambition . ),0.9420151,,
372,372,Cheil Worldwide,2021-09-10,Don’t let the “brand name” full you,1.0,Creative,"Plano, TX",reviews,subjective,negative,en,"pro : get “ samsung ” client resume . con : management joke , workflow inconsistent , no guidelines… figure lot thing , none people know",0.90124786,,
431,431,Cheil Worldwide,2021-10-20,Minus,1.0,Account Manager,Frankfurt am Main,reviews,subjective,negative,en,pro : young international english campaign korean . con : low wage overhours unpaid pressure not compatible family life bad recognition,0.8150642,,
466,466,Cheil Worldwide,2019-01-23,Team Assistant,1.0,Team and Project Assistant,"Southwark, England",reviews,subjective,negative,en,"pro : - really good intelligent colleague - try inclusive integrated - free yoga class - lot free time work - basically work samsung look impressive cv . con : - high level management talk korean time meeting without explain happen - extremely unorganised - weird awkwardness borderline rivalry within company people 1st floor 3rd floor - no creativity manifest , everything spoon fed chew korea us swallow aka publish - digital agency software old fred flintstone ; actual hard copy invoice save file despite digital agency - no 1-2-1 line manager not care growth unless korea - no one racist feel like victim racism not korean - tell incompetent inexperienced without ever review promote people korean ( work year half one review say pass probation also month later ) - 90 % job contract never review contract time unless keep pester , eg ; work no contract three month no body know long extend contract , hr could not get hold employee line manager . - promise pay training give someone else opportunity - someone else korean , e.g ; give agile training staff temporarily exchange student refuse give permanent staff want grow , not discreetly . - hot mental health apart give free access headspace mediate app n't actually implement practice make work space less stressful - hr finance team extremely weak , unorganised , blasé unreliable - digital agency everything move slow - lastly , not korean , prepare feel unappreciated , uncomfortable , awkward dispensable .",0.9227508,,
503,503,Cheil Worldwide,2021-08-22,Good place to work,5.0,Senior Business Manager,Seoul,reviews,subjective,positive,en,"pro : great colleague , good environment , well pay . con : long work hour , not much",0.7356069,,
555,555,Cheil Worldwide,2018-03-11,TOXIC!,1.0,Anonymous Employee,"London, England",reviews,subjective,negative,en,"pro : coffee nice ... , nothing positive say .. con : - samsung , agency would n't survive without . - constant flow unimaginative , uninspiring work ... deliver daily ! - demanding , unrealistic deadline client ca n't say no ! - barely permanent member staff . freelancer last 3 month . huge staff turnover make unsettling . leave bad egg ! - no internal process , zero desire change outdated approach 'old guard ' make life difficult . - internal politics , favouritism/nepotism management . 'clickly ' atmosphere . - endless meeting justify existence micromanaging . - rat infest building windows 95 laptop .",0.94360363,,
805,805,Cheil Worldwide,2019-07-16,Group head media,5.0,Group Head,"Gurgaon, Haryana",reviews,subjective,positive,en,pro : good company work . con : far know no con,0.80571043,,
863,863,Cheil Worldwide,2020-07-06,Untrustworthy and non-transparent. AVOID,1.0,Anonymous Employee,"London, England",reviews,subjective,negative,en,pro : . nice coffee ’ . con : management untrustworthy staff often keep dark go every decision make shareholder samsung mind no protection employee people generally unhappy distinct lack good work create . rely case study year ago no form training whatsoever severe lack progression opportunity avoid,0.9109947,,
951,951,Cheil Worldwide,2021-09-27,Golden Cage,1.0,Strategic Planner,"Gurgaon, Haryana",reviews,subjective,negative,en,pro : good & timely salary swanky office . con : no growth terrible management inhuman no request entertain nothing would see light day,0.37290704,,
956,956,Cheil Worldwide,2022-03-30,Good company,5.0,Planning Director,"Gurgaon, Haryana",reviews,subjective,positive,en,pro : good work culture . ethic compliance strictly adhared .. con : no con . everything isbprocess orient .so okay,0.69869745,,
1006,1006,Cheil Worldwide,2020-03-24,-,5.0,-,Taiwan,benefits,subjective,positive,en,"time compensation provide , rare among advertising company .",0.7796029,,
1120,1120,Cheil Worldwide,2019-02-27,finance team,1.0,Finance Team,,reviews,subjective,negative,en,"pro : no pro bad experience , koren culture , . con : high workload , high turnover rate",0.7206424,,
1142,1142,Cheil Worldwide,2018-08-10,Endless hell,1.0,,,reviews,subjective,negative,en,"pro : speechless , dreadful , politic toxic . con : every work come title challenge",0.79334253,,
1152,1152,Cheil Worldwide,2022-08-22,It was a nightmare company,1.0,English Copywriter,Dubai,reviews,subjective,negative,en,"pro : good colleague talent .. con : work us long hour weekend . also , go hit worldwide scandal make people redundant poor sicken excuse . give excuse n't perform . funny `` non performer `` part winning project . work front centre .",0.9185504,,
1185,1185,Cheil Worldwide,2016-02-22,Chaotic,1.0,Anonymous Employee,"London, England",reviews,subjective,negative,en,"pro : samsung , talented team , integrate , location agency . con : bad internal communication , poor management , politics , lack process , many `` permalances ``",0.8501521,,
1198,1198,Cheil Worldwide,2022-06-15,Bad culture,1.0,Deputy General Manager,,reviews,subjective,negative,en,"pro : tax benefit , leave encashment policy . con : poor work culture , extremely office politics , repetitive work",0.5854409,,
1241,1241,Cheil Worldwide,2022-05-05,Not an agency,1.0,Anonymous Employee,,reviews,subjective,negative,en,pro : basically bad place work .. con : corean staff underqualified non professional .,0.7094706,,
1252,1252,Cheil Worldwide,2021-06-22,Not an agency - any review above 2 stars is probably fake,1.0,Director,,reviews,subjective,negative,en,"pro : - . con : - incompetent management - company not look employee - no client - samsung part owner agency - no skilled people , good people get - management samsung order",0.90129524,,
1254,1254,Cheil Worldwide,2021-03-08,Worst Cheil in the world? Maybe...,1.0,Anonymous Employee,Singapore,reviews,subjective,negative,en,"pro : pay well deem worth . con : work cheil singapore office . bad account service team ever come across life . utterly incompetent , even messenger client agency . miserable environment , history employ terrible md , range megalomaniac conmen .",0.92164177,,
1269,1269,Cheil Worldwide,2021-04-22,No... just no!,1.0,Anonymous Employee,,reviews,subjective,negative,en,pro : work nice project . con : manager really bad,0.6972466,,
1331,1331,Cheil Worldwide,2021-04-12,Just don't,1.0,Senior Creative,"Gurgaon, Haryana",reviews,subjective,negative,en,pro : money 's good enough guess .. con : horrible senior management . politics day . no creative freedom . timing . ca n't late . soul crush environment .,0.89799464,,
1353,1353,Cheil Worldwide,2022-09-12,-,1.0,-,United Kingdom,benefits,subjective,negative,en,terrible benefit package arguably industry worst support maternity paternity . no investment people,0.9000493,,
4378,4378,Cheil Worldwide,29/4/2021,-,5.0,-,United Kingdom,benefits,subjective,positive,,good perk good people,0.8535187,3000.0,good perk good people
4380,4380,Cheil Worldwide,31/1/2021,-,5.0,-,United Kingdom,benefits,subjective,positive,,good benefit cheil,0.8437701,3002.0,good benefit cheil
4383,4383,Cheil Worldwide,15/8/2022,-,5.0,-,United Arab Emirates,benefits,subjective,positive,,health insurance really good : ),0.8255507,3005.0,health insurance really good : )
4417,4417,Cheil Worldwide,23/3/2022,-,5.0,-,Hong Kong,benefits,subjective,positive,,wonderful medical welfare benefit !,0.8393572,3039.0,wonderful medical welfare benefit !
4419,4419,Cheil Worldwide,27/8/2022,-,5.0,-,India,benefits,subjective,positive,,great working place . employee centric,0.84558713,3041.0,great working place . employee centric
4427,4427,Cheil Worldwide,3/9/2020,-,5.0,-,India,benefits,subjective,positive,,"everything good , wither salary package benefit , ensure get good compensation salary package",0.58832407,3049.0,"everything good , wither salary package benefit , ensure get good compensation salary package"
4428,4428,Cheil Worldwide,14/2/2020,-,1.0,-,India,benefits,subjective,negative,,"cheil india know good paymaster . change management , worst hr management negotiate unnecessarily . without even understand kind talent hiring",0.8737965,3050.0,"cheil india know good paymaster . change management , worst hr management negotiate unnecessarily . without even understand kind talent hiring"
4437,4437,Cheil Worldwide,21/5/2021,-,5.0,-,South Korea,benefits,subjective,positive,,in-house restaurant really good,0.8389363,3059.0,in-house restaurant really good
4438,4438,Cheil Worldwide,16/4/2020,-,5.0,-,South Korea,benefits,subjective,positive,,good profit share rate year,0.75534666,3060.0,good profit share rate year
4450,4450,Cheil Worldwide,17/2/2021,-,5.0,-,Nigeria,benefits,subjective,positive,,lovely team accomodating,0.81922513,3072.0,lovely team accomodating
4451,4451,Cheil Worldwide,25/2/2021,-,5.0,-,Poland,benefits,subjective,positive,,"good basic benefit , gym membership , health care bonus .",0.7490932,3073.0,"good basic benefit , gym membership , health care bonus ."
4453,4453,Cheil Worldwide,24/6/2022,-,5.0,-,Serbia,benefits,subjective,positive,,"good , good",0.76178604,3075.0,"good , good"
4455,4455,Cheil Worldwide,17/6/2021,-,5.0,-,Singapore,benefits,subjective,positive,,"good benefit ! career growth , good colleague",0.8499304,3077.0,"good benefit ! career growth , good colleague"
4458,4458,Cheil Worldwide,19/4/2019,-,1.0,-,Singapore,benefits,subjective,negative,,poor group insurance benefit miserly management incompetent stingy enough cheap employee benefit . overly calculative bureaucratic process claim benefit appear attempt frustrate claim aid penny pinching .,0.93077904,3080.0,poor group insurance benefit miserly management incompetent stingy enough cheap employee benefit . overly calculative bureaucratic process claim benefit appear attempt frustrate claim aid penny pinching .
10932,10932,Cheil Worldwide,20/7/2022,Toxic culture of blatant favouritism,1.0,Anonymous Employee,Singapore,reviews,subjective,negative,,"pro : relatively good employee benefit , willing pay view constant turnover .. con : management condoning blatant favouritism couple creatives . typical either 're welcome inner circle one 're not . toxic culture power play ego feeding .",0.7887468,9554.0,"pro : relatively good employee benefit , willing pay view constant turnover .. con : management condoning blatant favouritism couple creatives . typical either 're welcome inner circle one 're not . toxic culture power play ego feeding ."
10933,10933,Cheil Worldwide,15/7/2022,Wouldn’t recommend to any creatives,1.0,Creative,Singapore,reviews,subjective,negative,,"pro : annual bonus good pay . con : singapore office bad place creative . poor leadership no direction give . upper management take sweet time approve work reject work last minute . take idea doesn ’ give credit . no work life balance , toxic work environment . colleague encourage work overtime even no work . wouldn ’ recommend anyone work .",0.93724513,9555.0,"pro : annual bonus good pay . con : singapore office bad place creative . poor leadership no direction give . upper management take sweet time approve work reject work last minute . take idea doesn ’ give credit . no work life balance , toxic work environment . colleague encourage work overtime even no work . wouldn ’ recommend anyone work ."
