,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
130,130,Circles.Life,2021-12-03,"Exciting business, particularly SaaS. Not for the feint of heart...",5.0,Founder's Office,Singapore,reviews,objective,neutral,en,pro : - always innovate ; launch saas business year operate b2c business show founder 's foresight - opportunity always work `` start-ups within start-ups `` - high caliber people average - shine quality delivery ; no hierarchy . con : - chaotic ( hyper-growth company ) - require cultural fit . no point fit square circle,0.58970076,,
295,295,Circles.Life,2016-09-11,Ok,1.0,,,reviews,objective,neutral,en,pro : flexible work environment entry level graduate . con : no career progression long run,0.93131226,,
337,337,Circles.Life,2020-11-24,"Great vision, disrupting the market",5.0,Senior Software Engineer,Singapore,reviews,objective,neutral,en,"pro : circle manage disrupt sector n't see innovation long time . pace innovation , much much learn . get punch beyond weight category . find answer go , keep challenge .. con : sometimes code quality take toll not enough time always adhere process .",0.72266304,,
414,414,Circles.Life,2018-12-13,Unprofessional HRs,1.0,Anonymous Employee,,reviews,objective,neutral,en,pro : promising tech start-up singapore . con : hr unprofessional work .,0.8923945,,
851,851,Circles.Life,2020-02-28,DON'T JOIN,1.0,Operations,,reviews,objective,neutral,en,pro : 1. pantry full snack fruit 2. fast-paced culture . con : management team disrespectful enforce team solve issue ot weekend .,0.828408,,
4473,4473,Circles.Life,3/10/2019,-,5.0,-,India,benefits,objective,neutral,,"competitive salary , participation circle csop , flexi work culture , medical reimbursement actuals , maternity paternity leave",0.83906907,3095.0,"competitive salary , participation circle csop , flexi work culture , medical reimbursement actuals , maternity paternity leave"
4479,4479,Circles.Life,1/7/2022,-,1.0,-,Singapore,benefits,objective,neutral,,no proper health insurance coverage,0.49767137,3101.0,no proper health insurance coverage
11419,11419,Circles.Life,13/10/2022,One of the best workplaces I've worked at,5.0,Analyst,Singapore,reviews,objective,neutral,,pro : challenge environment enable work grow . con : high stress environment . not everyone,0.9313375,10041.0,pro : challenge environment enable work grow . con : high stress environment . not everyone
11432,11432,Circles.Life,16/6/2022,On a transformational journey,5.0,Platform Team,,reviews,objective,neutral,,pro : investing platform focus engineering fundamental transformational journey b2c saas face challenge way - great learn opportunity motivate young team keen learning grow strong engineering leadership come place . con : office space room improvement,0.7476147,10054.0,pro : investing platform focus engineering fundamental transformational journey b2c saas face challenge way - great learn opportunity motivate young team keen learning grow strong engineering leadership come place . con : office space room improvement
11437,11437,Circles.Life,26/6/2022,Work at your own risk,1.0,Software Engineer,,reviews,objective,neutral,,"pro : easy interview , fun work environment , young , fast pace . con : not nurture , far location . dirty toilet .",0.8067547,10059.0,"pro : easy interview , fun work environment , young , fast pace . con : not nurture , far location . dirty toilet ."
