,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
122,122,Circles.Life,2019-08-22,Dont believe anything that the company or HR or management says,1.0,Software Engineer,Bangalore,reviews,subjective,negative,en,"pro : 1. start culture , no concrete process 2. no normalization 3. get experience back office name full fledge development center . con : 1. hr deceives term stock salary . 2. no clear vision management india center 3. development team get work like support team singapore office 4. micromanagement till core",0.77299607,,
460,460,Circles.Life,2022-02-08,Poor tech leadership,1.0,Senior Software Engineer,Singapore,reviews,subjective,negative,en,pro : marketing paint good picture company outside . phone bill reimbursement . con : team focus put good rating/review reply review glassdoor . really spend time solve actual problem would great . tech practises really poor top level leadership n't understand tech . read/watch youtube videos give advice & write newsletter . scratchback culture tech leader praise well . zero learn fire fighting,0.7798951,,
567,567,Circles.Life,2020-08-03,Circles.Hell - Your Slavedriving Nightmare,1.0,Anonymous Employee,Singapore,reviews,subjective,negative,en,"pro : • strong consumer branding - family friend * think * 're good work good company . • phone bill subsidy - n't pay phone bill . • easy get hire - circles.life quite bad rep employer , n't much competition apply join .. con : • slavedriving culture - long work hour expect . literally work 9 way 9 pm , 's norm . 've see folk work past midnight even regularly weekend . • no respect personal time - 're pretty much expect work standby 24/7 . founder senior manager text outside work hour weekend , expect work thing immediately . even leave . • lousy ceo - typical ex-consultant know talk big not execute . pretty much sum lack leadership steer company current mess . claim listen feedback actually n't . surround people feed validation instead good idea . • culture dishonesty - company build web lie admittedly strong marketing . surface , look like innovative company . underneath , 's patchwork makeshift block put together look like functional business . fake till make - claim best telco singapore n't even provide decent network coverage . • meagre compensation - fair , pay market average . thing consider , long working hour plus impending karma participate lie make compensation package meagre best .",0.92412055,,
569,569,Circles.Life,2022-06-14,Broke my life,1.0,Senior Software Engineer,Singapore,reviews,subjective,negative,en,"pro : get free water coffee . con : expect work 24x7 round year . no time go 5 minute walk . no way learn anything technical . learn spineless someone . dozen people spineless together . anyone ever give real feedback , ask question get fired . anyone still around no option , depend job legal status singapore . trust , 3rd world country life well degrade helhole .",0.93084615,,
571,571,Circles.Life,2021-08-21,Don't join at any cost! Run away! Don't believe in the rating more than 3 :-),1.0,Senior Software Engineer,Singapore,reviews,subjective,negative,en,"pro : time salary mobile bill device reimbursement breadth wise learn monthly team lunch . con : 1.the founder leader talk lot fail occasion . 2.the stay silently destroy career . 3.long work hour everyday , literally work 9am midnight 4.in name ownership work weekend attend call midnight 5.no hike increment 6.cheap labour camp , mostly hire india low salary",0.92345834,,
599,599,Circles.Life,2020-12-29,-,5.0,-,Singapore,benefits,subjective,positive,en,great csop program high performer . space explorer program allow people get upfront 6 month csops currently value around $ 1m . great year see people get multiple time .,0.80904,,
781,781,Circles.Life,2020-02-26,Come here to get disrespected and underappreciated,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : 1. food 2. pantry 3. cleaning attendant nice . con : 1. not respect weekend , n't buy startup culture . tell thing get tough , mean shout , call expect work 24/7 not appreciate 2. not think long term , strategy not work 2 day , 's scrapped 3. boss not care not hesitate fire 4. ecosystem department torn apart , tell take 20 % paycut `` founder `` yet not allow design team help . n't want get paycut , tell find another department , yet go department , tell no headcount . essentially force hand resign ( pretty sure illegal ) 5. mass firing . please really look review , positive one not seem real everyone tire stress no one know get fire next 6. share opinion new product , watch throw feedback bin think know . execute plan , watch get upset no one want product blame bad marketing",0.9475083,,
857,857,Circles.Life,2018-09-20,Great Experience,5.0,Software Engineer,Singapore,reviews,subjective,positive,en,pro : - motivate friendly colleague - modern technology stack - company great direction ambition - free food . con : many people join company need office space,0.49459714,,
902,902,Circles.Life,2016-10-02,Circles.Life: Bad culture and management,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : free lunch , fridge pantry free flow muruku pantry get life . con : bad culture , co-founders sarcastic sometimes demeaning . nothing promise interview true . `` flat `` structure mean cofounder unilterally veto decision override , even lead project . always pretend want improve culture workplace welfare `` open discussion `` nothing change . no idea funding whether start able sustain , worrisome mid career . raise salary issue . promise revision n't happen . talk nice change reality stingy pay talent .",0.9475738,,
1119,1119,Circles.Life,2022-03-06,Terrible leadership and staff attrition,1.0,Anonymous Employee,Sydney,reviews,subjective,negative,en,pro : stock option ability great company . con : terrible leadership lot fake promise not much collaborative leadership,0.83724785,,
