,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
202,202,Integrated Health Information Systems,2021-08-23,No progression,5.0,IT Support Analyst,Singapore,reviews,objective,neutral,en,pro : good work life balance freedom . con : no progression job train not much help,0.66606426,,
261,261,Integrated Health Information Systems,2021-08-07,Passionate and Experienced,5.0,Senior Specialist,Singapore,reviews,objective,neutral,en,"pro : amazing company , great people , contribution public healthcare institution patient experience .. con : company need control senior management push message instruction action always top no consideration .",0.552906,,
300,300,Integrated Health Information Systems,2022-03-11,Healthcare techonology Industry,5.0,Manager,"Serangoon,",reviews,objective,neutral,en,pro : meaningful fulfilling work project . con : political hard navigate esp people come private sector,0.9200951,,
387,387,Integrated Health Information Systems,2022-01-18,Bad HR practises and working culture,1.0,Analyst,,reviews,objective,neutral,en,pro : company give good salary benefit .. con : much management politics . lack proper governance back 2018,0.8973211,,
529,529,Integrated Health Information Systems,2021-09-02,Good and bad,1.0,Data Analyst,,reviews,objective,neutral,en,"pro : job security , overall compensation package . con : lot emphasis reorganisation rather fix fundamental problem",0.92324656,,
580,580,Integrated Health Information Systems,2021-09-29,Good place,5.0,Anonymous Employee,,reviews,objective,neutral,en,pro : work life balance flexible timing . con : process improve,0.9347331,,
624,624,Integrated Health Information Systems,2020-08-21,-,5.0,-,Singapore,benefits,objective,neutral,en,one company offer 21 day annual leave first join .,0.81109273,,
1260,1260,Integrated Health Information Systems,2022-05-05,Low stress,5.0,Staffing Coordinator/Recruiter,"Tigard, OR",reviews,objective,neutral,en,pro : straightforward low stress great team . con : slow sometimes 're not careful get boring,0.6706821,,
4013,4013,Integrated Health Information Systems,23/6/2022,-,5.0,-,Singapore,benefits,objective,neutral,,comprehensive insurance self dependent . many opportunity attend seminar training .,0.6114764,2635.0,comprehensive insurance self dependent . many opportunity attend seminar training .
4024,4024,Integrated Health Information Systems,7/4/2022,-,5.0,-,Singapore,benefits,objective,neutral,,pay annual leave comparable financial institution .,0.7433841,2646.0,pay annual leave comparable financial institution .
