,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
181,181,Integrated Health Information Systems,2015-01-26,Closed culture,1.0,Senior Systems Specialist,,reviews,subjective,negative,en,"pro : friendly people . stable job would consider work long term .. con : closed culture company people work silo . no info sharing among team . senior management team constantly breathe subordinate ' neck , scream check .",0.52495587,,
301,301,Integrated Health Information Systems,2021-09-16,Rude and impatient HR,1.0,Clinical Informatics Analyst,,reviews,subjective,negative,en,pro : ä¢ excellent love work non career growth company .. con : ä¢ condescend remark female hr . ‚ä¢ top management almost non existent feedback channel . ‚ä¢ extremely slow work/interview process .,0.8777584,,
307,307,Integrated Health Information Systems,2022-05-18,Suitable for those already in gov sector,1.0,Anonymous Employee,,reviews,subjective,negative,en,pro : procedure drive suitable love toxic environment . con : political doesn‚äôt put employee first,0.61495596,,
589,589,Integrated Health Information Systems,2021-10-25,If I have no Other Choices,1.0,Manager,,reviews,subjective,negative,en,"pro : market remuneration package benefit . con : super toxic environment ( no synergy across depts ) , high attrition rate ( explain pro ) , no work-life balance ( constantly disturb ) , many middle management .",0.87931794,,
860,860,Integrated Health Information Systems,2022-06-10,Don't join if you love your family and health,1.0,Middle Management,,reviews,subjective,negative,en,pro : heard use good company . vision mission good . helpful colleague . con : no work life balance . expect work 24x7 even non urgent activity issue . boss call anytime indiscriminately . many tedious unnecessary process design make work longer hard . ( shake head despair common greeting . ) mistake not forget nor forgive .,0.861849,,
884,884,Integrated Health Information Systems,2021-06-12,Good company to work,5.0,Systems Analyst,Singapore,reviews,subjective,positive,en,pro : singapore 's health tech agency good benefit like bonus good environment work ( depends team work ) . con : none . good experience . manager dominate,0.72716665,,
987,987,Integrated Health Information Systems,2016-01-11,-,5.0,-,Singapore,benefits,subjective,positive,en,great team ! nice manager willing-to-help senior,0.85414815,,
988,988,Integrated Health Information Systems,2022-07-06,-,5.0,-,Singapore,benefits,subjective,positive,en,good healthcare insurance materntiy benefit,0.659725,,
1192,1192,Integrated Health Information Systems,2019-12-04,Assistant manager,1.0,,,reviews,subjective,negative,en,"pro : benefit , pay ok , that‚äôs .. con : it‚äôs sad working environment . everybody‚äôs face sad angry . not work , culture . feel like cancer cell activate work environment .",0.90943587,,
1256,1256,Integrated Health Information Systems,2022-08-30,Not a company to join!,1.0,Assistant Director,Singapore,reviews,subjective,negative,en,"pro : great benefit , bonus , market pay , staff welfare like pantry item , gift birthday , access udemy train .. con : despite pro , management squeeze not attend training , use perk , think creatively , ? red flag hiring process choose give benefit doubt , bad decision . organisation not govt completely behaves like govt agency . least govt senior leader lead . lot inefficiency red tape get bad inexperienced leader .",0.9317148,,
3995,3995,Integrated Health Information Systems,11/12/2021,-,5.0,-,United States,benefits,subjective,positive,,benefit good . thanks .,0.8286407,2617.0,benefit good . thanks .
4001,4001,Integrated Health Information Systems,14/9/2022,-,5.0,-,Singapore,benefits,subjective,positive,,good benefit package,0.83374405,2623.0,good benefit package
4006,4006,Integrated Health Information Systems,27/8/2022,-,5.0,-,Singapore,benefits,subjective,positive,,work life balance good benefit,0.8170016,2628.0,work life balance good benefit
4025,4025,Integrated Health Information Systems,31/3/2022,-,5.0,-,Singapore,benefits,subjective,positive,,"good benefit package , competitive salary",0.6963133,2647.0,"good benefit package , competitive salary"
4026,4026,Integrated Health Information Systems,23/3/2022,-,5.0,-,Singapore,benefits,subjective,positive,,good number al bonus,0.85300267,2648.0,good number al bonus
4035,4035,Integrated Health Information Systems,7/12/2021,-,5.0,-,Singapore,benefits,subjective,positive,,bonus really good,0.8228512,2657.0,bonus really good
4048,4048,Integrated Health Information Systems,22/5/2021,-,5.0,-,Singapore,benefits,subjective,positive,,"mobile allowance , leave good bonus payout",0.599653,2670.0,"mobile allowance , leave good bonus payout"
4062,4062,Integrated Health Information Systems,21/1/2021,-,5.0,-,Singapore,benefits,subjective,positive,,good benefit permanent employee,0.8363808,2684.0,good benefit permanent employee
4076,4076,Integrated Health Information Systems,10/6/2020,-,5.0,-,Singapore,benefits,subjective,positive,,good leave 21 day allowance mobile . good insurance .,0.8230489,2698.0,good leave 21 day allowance mobile . good insurance .
4084,4084,Integrated Health Information Systems,19/7/2019,-,1.0,-,Singapore,benefits,subjective,positive,,good annual leave . 21 day grade 3. no day work ot .,0.8324379,2706.0,good annual leave . 21 day grade 3. no day work ot .
4103,4103,Integrated Health Information Systems,3/4/2016,-,5.0,-,Singapore,benefits,subjective,positive,,"best thing : attractive number annual leaf , extra family care leave , flexi benefit , good bonus , good training provide staff",0.7126314,2725.0,"best thing : attractive number annual leaf , extra family care leave , flexi benefit , good bonus , good training provide staff"
4105,4105,Integrated Health Information Systems,8/7/2015,-,5.0,-,Singapore,benefits,subjective,positive,,good amount vacation leave staff . healthcare benefit - mother - quite good subsidy,0.8569578,2727.0,good amount vacation leave staff . healthcare benefit - mother - quite good subsidy
7421,7421,Integrated Health Information Systems,13/9/2022,Good workplace for starter,5.0,Applications Support Analyst,"Sengkang New Town,",reviews,subjective,positive,,pro : everything okay pace . manager nice depend department individual . pay relatively follow industry standard . con : hard convert perm staff low pay increment every year,0.5470005,6043.0,pro : everything okay pace . manager nice depend department individual . pay relatively follow industry standard . con : hard convert perm staff low pay increment every year
7426,7426,Integrated Health Information Systems,2/10/2022,Poor structure and guidance,1.0,Lead Engineer,"Serangoon,",reviews,subjective,negative,,pro : money good amount work expect . con : work culture bad . management direction bad . project rebaselined rebaselined,0.8124993,6048.0,pro : money good amount work expect . con : work culture bad . management direction bad . project rebaselined rebaselined
7431,7431,Integrated Health Information Systems,14/9/2022,No direction and Poor management,1.0,Senior Lead Analyst,,reviews,subjective,negative,,"pro : people nice . however , not chance hang everyone busy .. con : lot meeting culture . lunch time work . due poor management , team member suffer work late almost every day .",0.65619975,6053.0,"pro : people nice . however , not chance hang everyone busy .. con : lot meeting culture . lunch time work . due poor management , team member suffer work late almost every day ."
7437,7437,Integrated Health Information Systems,13/9/2022,Worst Company Ever Joined,1.0,Lead Analyst,"Serangoon,",reviews,subjective,negative,,pro : probably none except al .. con : assign job totally scope reason team member not capable complete task commit .,0.5551864,6059.0,pro : probably none except al .. con : assign job totally scope reason team member not capable complete task commit .
7468,7468,Integrated Health Information Systems,25/5/2022,Recommended as a 3-4 year tour for exposure/networking,5.0,Senior Manager,Singapore,reviews,subjective,positive,,"pro : supportive boss plenty project learn n't expect hand-holding spoon-feeding . great benefit reasonable pay .. con : nothing major tbh extremely fast-paced environment , not thing . lack work/life balance time 's expect give 's fast pace .",0.56705886,6090.0,"pro : supportive boss plenty project learn n't expect hand-holding spoon-feeding . great benefit reasonable pay .. con : nothing major tbh extremely fast-paced environment , not thing . lack work/life balance time 's expect give 's fast pace ."
7473,7473,Integrated Health Information Systems,26/6/2022,A company that needs a major overhaul.,1.0,Systems Lead,,reviews,subjective,negative,,"pro : jobless , retired spend countless month reject company go join ihis .. con : terrible working culture , full politics work level . boss cushy pay ignorant choose not see . process show stopper , spend majority time catering adhere process , time well spend enhance product technology . hr lack professionalism , many red flag .",0.92378604,6095.0,"pro : jobless , retired spend countless month reject company go join ihis .. con : terrible working culture , full politics work level . boss cushy pay ignorant choose not see . process show stopper , spend majority time catering adhere process , time well spend enhance product technology . hr lack professionalism , many red flag ."
7477,7477,Integrated Health Information Systems,12/6/2022,Top level not the main issue. The main issue lies with your Reporting Officer,1.0,Human Resources,,reviews,subjective,negative,,"pro : attractive bonus , hybrid work arrangement , contribute back society health tech company .. con : please join company enjoy micro-managed dictator . use hybrid work arrangement monitor bos via skype report work via whatsapp weekday ? addition , weekly team lunch must attend . otherwise , must explain absent . high turnover rate low team morale couple heavy workload cause team demoralize . management also incapable make decision since must listen partner .",0.7566615,6099.0,"pro : attractive bonus , hybrid work arrangement , contribute back society health tech company .. con : please join company enjoy micro-managed dictator . use hybrid work arrangement monitor bos via skype report work via whatsapp weekday ? addition , weekly team lunch must attend . otherwise , must explain absent . high turnover rate low team morale couple heavy workload cause team demoralize . management also incapable make decision since must listen partner ."
7485,7485,Integrated Health Information Systems,27/4/2022,Very good supportive boss,5.0,Manager,,reviews,subjective,negative,,"pro : good benefit staff welfare . con : messy , poor change management , always reorg .",0.69551593,6107.0,"pro : good benefit staff welfare . con : messy , poor change management , always reorg ."
