,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
208,208,Keppel Offshore & Marine,2021-09-07,ship building,5.0,Project Manager,Chennai,reviews,objective,neutral,en,pro : project management ship building industry . con : oil gas industry experience pip,0.9263588,,
209,209,Keppel Offshore & Marine,2017-02-14,Not good,1.0,Anonymous Employee,,reviews,objective,neutral,en,"pro : like govt service , no challenge . con : no carrer financial growth",0.88297045,,
237,237,Keppel Offshore & Marine,2021-11-29,Recommend,5.0,Mechanical Engineer,,reviews,objective,neutral,en,"pro : kind colleague , keep learning , good culture . con : le task , slow progress , less initiative",0.9008247,,
281,281,Keppel Offshore & Marine,2022-03-01,Mamagement,1.0,Engineer,,reviews,objective,neutral,en,pro : transport provide incoming go . con : no career progration . lousy benefit,0.83753175,,
285,285,Keppel Offshore & Marine,2017-10-09,Employees are not the focus and priority,1.0,Anonymous Employee,,reviews,objective,neutral,en,"pro : old culture , slow moving , regular hour . con : no consideration employee . future pet staff bos .",0.5228523,,
401,401,Keppel Offshore & Marine,2020-07-21,Good company & well established,5.0,Anonymous Employee,,reviews,objective,neutral,en,pro : good management guidance management trainee programme allow job rotation .. con : location long working hour,0.8895607,,
407,407,Keppel Offshore & Marine,2022-03-24,Better people and process management required,1.0,Anonymous Employee,,reviews,objective,neutral,en,pro : exposure variety function .. con : quality control staff morale lack .,0.91980845,,
421,421,Keppel Offshore & Marine,2019-08-25,Highly recommended for young and motivated graduates,5.0,Graduate Engineer,"Tuas,",reviews,objective,neutral,en,pro : 1. steep learn curve . personally feel learn least amount time fresh graduate . 2. good balance site work office work ( not like desk bound job ) 3. bonus 4. keppel brand name 5. company transport . con : 1. work life balance 2. ot pay little low workload . atleast well company no ot pay expect work ot .,0.5535077,,
514,514,Keppel Offshore & Marine,2022-05-29,Offshore construction company,1.0,Graduate Engineer,Singapore,reviews,objective,neutral,en,pro : company bus eye open experience offshore construction . con : long travel work . long working hour .,0.91015416,,
753,753,Keppel Offshore & Marine,2022-02-28,Old School Singapore Company,1.0,Process Automation Engineer,Singapore,reviews,objective,neutral,en,"pro : cheap canteen , good name outsider . con : wayang culture , seniority , outdated , backwards",0.522415,,
882,882,Keppel Offshore & Marine,2020-06-21,Good,5.0,Program Manager,Singapore,reviews,objective,neutral,en,pro : fast good quick review salary . con : take time access match,0.80122954,,
909,909,Keppel Offshore & Marine,2020-02-01,Production Section Manager,5.0,Anonymous Employee,,reviews,objective,neutral,en,pro : good flexibility good team work . con : long hour need run project,0.88206977,,
3928,3928,Keppel Offshore & Marine,4/3/2022,-,1.0,-,Singapore,benefits,objective,neutral,,close no benefit : yearly dental claim zoo visit,0.86631125,2550.0,close no benefit : yearly dental claim zoo visit
3929,3929,Keppel Offshore & Marine,19/11/2021,-,5.0,-,Singapore,benefits,objective,neutral,,government align ’ ok,0.71028477,2551.0,government align ’ ok
3932,3932,Keppel Offshore & Marine,7/10/2021,-,1.0,-,Singapore,benefits,objective,neutral,,non-existence benefit usual 14 day mc etc,0.52029055,2554.0,non-existence benefit usual 14 day mc etc
3934,3934,Keppel Offshore & Marine,5/4/2021,-,1.0,-,Singapore,benefits,objective,neutral,,great productivity bonus supplement low basic salary mean remuneration package highly dependent productivity bonus ; overtime pay engineer ( $ 7 per hour ),0.6652579,2556.0,great productivity bonus supplement low basic salary mean remuneration package highly dependent productivity bonus ; overtime pay engineer ( $ 7 per hour )
3951,3951,Keppel Offshore & Marine,28/7/2019,-,1.0,-,Singapore,benefits,objective,neutral,,ot cap $ 8 perhour even weekend public holiday,0.7391302,2573.0,ot cap $ 8 perhour even weekend public holiday
3964,3964,Keppel Offshore & Marine,20/2/2018,-,5.0,-,Singapore,benefits,objective,neutral,,ensured work stability yearly company performance bonus . side commit extra long work hour include weekend commitment load production meeting attendance include lunch hour,0.78977686,2586.0,ensured work stability yearly company performance bonus . side commit extra long work hour include weekend commitment load production meeting attendance include lunch hour
3976,3976,Keppel Offshore & Marine,9/8/2016,-,5.0,-,Singapore,benefits,objective,neutral,,"productivity bonus best , year may get 11 month",0.51611894,2598.0,"productivity bonus best , year may get 11 month"
3980,3980,Keppel Offshore & Marine,23/6/2016,-,1.0,-,Singapore,benefits,objective,neutral,,often write due lack opportunity clear .,0.7618706,2602.0,often write due lack opportunity clear .
6765,6765,Keppel Offshore & Marine,21/8/2022,End of era,1.0,Manager,,reviews,objective,neutral,,pro : nil . insolvency offer no real learn new comer . con : opportunity cost . could get good start else,0.6431564,5387.0,pro : nil . insolvency offer no real learn new comer . con : opportunity cost . could get good start else
6767,6767,Keppel Offshore & Marine,14/7/2022,Good company,5.0,Maintenance Technician,,reviews,objective,neutral,,pro : good bonus good salary pay . con : heavy industry safety must,0.8076637,5389.0,pro : good bonus good salary pay . con : heavy industry safety must
6770,6770,Keppel Offshore & Marine,10/8/2022,.,1.0,Anonymous Employee,,reviews,objective,neutral,,"pro : lot exposure different field . con : no welfare , work life balance , indecisive management",0.64208895,5392.0,"pro : lot exposure different field . con : no welfare , work life balance , indecisive management"
6775,6775,Keppel Offshore & Marine,31/5/2022,Review of KOM,5.0,Security Manager,,reviews,objective,neutral,,pro : diversity melt pot workforce . con : may need work long hour,0.924424,5397.0,pro : diversity melt pot workforce . con : may need work long hour
6781,6781,Keppel Offshore & Marine,29/4/2022,Working Environment,5.0,Senior Engineer,,reviews,objective,neutral,,"pro : no politic , colleague helpful . con : project schedule tight , need ot",0.89848846,5403.0,"pro : no politic , colleague helpful . con : project schedule tight , need ot"
6783,6783,Keppel Offshore & Marine,3/6/2022,Review: Keppel Shipyard,1.0,Human Resources Executive,Singapore,reviews,objective,neutral,,pro : generally friendly helpful colleague . con : - market pay - non-existent benefit ( annual $ 100 dental ) - traditional practice way run - generally administrative - early working hour,0.8555486,5405.0,pro : generally friendly helpful colleague . con : - market pay - non-existent benefit ( annual $ 100 dental ) - traditional practice way run - generally administrative - early working hour
