,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
488,488,Keppel Offshore & Marine,2018-07-31,Fitter,1.0,,,reviews,subjective,negative,en,pro : no pro . serio dusly dont believe try .. con : discrimination uniform . many foreigner .,0.628513,,
873,873,Keppel Offshore & Marine,2022-03-15,Ni e company,5.0,Dedicated Driver,Johor Bahru,reviews,subjective,positive,en,pro : good benefit fun . con : nothing con good,0.80193,,
1163,1163,Keppel Offshore & Marine,2021-07-24,Avoid this company,1.0,Executive,,reviews,subjective,negative,en,"pro : good learning ground , no . con : bad culture , politic work environment , bad management , harsh environment ( physically & mentally )",0.7831626,,
1235,1235,Keppel Offshore & Marine,2019-08-22,prepare to sacrifice alot,1.0,Piping Engineer,Singapore,reviews,subjective,negative,en,"pro : learn management technical skill . con : long hour , poor management , dirty , hot , smelly",0.64666575,,
1297,1297,Keppel Offshore & Marine,2020-12-30,Eye opening experience,1.0,Engineer,,reviews,subjective,negative,en,pro : good exposure shipbuilding/repair industry .. con : bad working hour condition . benefit salary bad .,0.7742924,,
1342,1342,Keppel Offshore & Marine,2022-04-26,-,1.0,-,Singapore,benefits,subjective,negative,en,poor benefit no direction company,0.88681906,,
1373,1373,Keppel Offshore & Marine,2015-12-10,-,1.0,-,Singapore,benefits,subjective,negative,en,ridiculous dental benefit . low number leaf ( start 14 cap 18 ) .,0.85099375,,
3922,3922,Keppel Offshore & Marine,27/7/2022,-,5.0,-,Singapore,benefits,subjective,positive,,medical free sure,0.5303132,2544.0,medical free sure
3924,3924,Keppel Offshore & Marine,6/8/2022,-,1.0,-,Singapore,benefits,subjective,negative,,cant worse . not competitive,0.63668466,2546.0,cant worse . not competitive
3925,3925,Keppel Offshore & Marine,16/6/2022,-,1.0,-,Singapore,benefits,subjective,negative,,toxic top heavy environment,0.762733,2547.0,toxic top heavy environment
3933,3933,Keppel Offshore & Marine,16/6/2021,-,1.0,-,Singapore,benefits,subjective,negative,,"no upfront payment visit company doctor panel yard doctor . however , polyclinic private clinic , need fork expense not claim .",0.7084698,2555.0,"no upfront payment visit company doctor panel yard doctor . however , polyclinic private clinic , need fork expense not claim ."
3936,3936,Keppel Offshore & Marine,21/10/2020,-,5.0,-,Singapore,benefits,subjective,positive,,work environment quite good . learn lot thing experience engineer .,0.84147865,2558.0,work environment quite good . learn lot thing experience engineer .
3941,3941,Keppel Offshore & Marine,23/6/2020,-,1.0,-,Singapore,benefits,subjective,negative,,low basic offer fresh graduate premise high bonus end year . yearly increment disappointing . package nowhere competitive not benchmarked industry average,0.75289595,2563.0,low basic offer fresh graduate premise high bonus end year . yearly increment disappointing . package nowhere competitive not benchmarked industry average
3949,3949,Keppel Offshore & Marine,28/7/2019,-,1.0,-,Singapore,benefits,subjective,negative,,low salary compare company . medical benefit not line minimum guideline provide mom 's employment act .,0.5227629,2571.0,low salary compare company . medical benefit not line minimum guideline provide mom 's employment act .
3953,3953,Keppel Offshore & Marine,12/1/2019,-,1.0,-,Singapore,benefits,subjective,negative,,"best part : stable job , usually 13th month bad part : low bonus progression slow wage freeze previous year",0.51433915,2575.0,"best part : stable job , usually 13th month bad part : low bonus progression slow wage freeze previous year"
3954,3954,Keppel Offshore & Marine,23/10/2018,-,1.0,-,Singapore,benefits,subjective,positive,,'s really nothing special come benefit company offer employee except offer job expect pay amount .,0.55500495,2576.0,'s really nothing special come benefit company offer employee except offer job expect pay amount .
3955,3955,Keppel Offshore & Marine,4/10/2018,-,1.0,-,Singapore,benefits,subjective,positive,,best knock time .,0.75372356,2577.0,best knock time .
3967,3967,Keppel Offshore & Marine,28/10/2017,-,1.0,-,Singapore,benefits,subjective,negative,,low pay . low increment . scholar promote . low work life balance . stable job singaporean .,0.5477602,2589.0,low pay . low increment . scholar promote . low work life balance . stable job singaporean .
6754,6754,Keppel Offshore & Marine,2/2/2022,No,5.0,Software Engineer,"Jurong West New Town,",reviews,subjective,positive,,pro : good working environment . friendly people . con : no bonus increment not great,0.5495692,5376.0,pro : good working environment . friendly people . con : no bonus increment not great
6761,6761,Keppel Offshore & Marine,7/9/2022,IT Analyst,1.0,IT Analyst,,reviews,subjective,negative,,"pro : really ca n't think anything . con : bad culture , far location , market salary",0.76093113,5383.0,"pro : really ca n't think anything . con : bad culture , far location , market salary"
6768,6768,Keppel Offshore & Marine,18/8/2022,Waste of time,1.0,Senior Engineer,Singapore,reviews,subjective,negative,,pro : nothing much benefit mention ! . con : no clear direction management . no career progression .,0.5027451,5390.0,pro : nothing much benefit mention ! . con : no clear direction management . no career progression .
6771,6771,Keppel Offshore & Marine,26/7/2022,Controversial Work Culture -- Not for everyone,1.0,Superintendent,,reviews,subjective,negative,,"pro : work ship repaired/build shipyard . many thing see learn .. con : extreme long hour , poor ot compensation . ultra macho work culture . loud voice win , fit people enjoy rowdy meeting . swear site common , need adjust civil life . lunch hour control strictly siren/bell , like school . failure adhere could potentially lead trouble hr/security .",0.8725359,5393.0,"pro : work ship repaired/build shipyard . many thing see learn .. con : extreme long hour , poor ot compensation . ultra macho work culture . loud voice win , fit people enjoy rowdy meeting . swear site common , need adjust civil life . lunch hour control strictly siren/bell , like school . failure adhere could potentially lead trouble hr/security ."
6778,6778,Keppel Offshore & Marine,6/6/2022,Glory days long gone,1.0,Manager,,reviews,subjective,positive,,pro : - good camaraderie colleague ( ironically often bond hardship long hour company ) - good training scheme opportunity available - 18 day start annual leave ( pretty decent ) . con : -,0.7024825,5400.0,pro : - good camaraderie colleague ( ironically often bond hardship long hour company ) - good training scheme opportunity available - 18 day start annual leave ( pretty decent ) . con : -
6787,6787,Keppel Offshore & Marine,16/4/2022,N.a,5.0,Manager,Singapore,reviews,subjective,positive,,pro : friendly fantastic place work . con : far nothing think,0.7910612,5409.0,pro : friendly fantastic place work . con : far nothing think
6796,6796,Keppel Offshore & Marine,26/4/2022,Poor management leadership,1.0,Deputy Commercial Manager,,reviews,subjective,negative,,pro : local mnc nothing great shout . con : poor management leadership disillusion vision,0.7377605,5418.0,pro : local mnc nothing great shout . con : poor management leadership disillusion vision
6799,6799,Keppel Offshore & Marine,12/4/2022,Keepel shipyard operation,1.0,Machinery Engineer,,reviews,subjective,negative,,"pro : easy get job . senior guide .. con : tiring , burn lot weekend . poor management , lot unnecessary rule .",0.7630888,5421.0,"pro : easy get job . senior guide .. con : tiring , burn lot weekend . poor management , lot unnecessary rule ."
6804,6804,Keppel Offshore & Marine,24/3/2022,General  Review,1.0,Engineer,Singapore,reviews,subjective,negative,,"pro : stable income experience marine entrees like know hard truth industry .. con : remuneration come lot literally sweat & hard work . unfortunately due lack lustre culture company , decline shipyard business locally merger speculation , effort put might not sufficient compensate .",0.79429305,5426.0,"pro : stable income experience marine entrees like know hard truth industry .. con : remuneration come lot literally sweat & hard work . unfortunately due lack lustre culture company , decline shipyard business locally merger speculation , effort put might not sufficient compensate ."
