,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
546,546,Mapletree Investments,2017-01-08,"Unprofessional, not recommended.",1.0,Manager,Singapore,reviews,subjective,negative,en,"pro : modern office barely get use .. con : thinking reputable company accept offer , station year , substantial pay cut locally base family . clearly state interview . week , tell relocate developing country many staff resign . overall relocation package bad compare previous company ’ could stay good perk country deploy developed one . raise proper channel , merely told ‘ bad ’ brush aside . many meeting long unproductive zero outcome , project get stall due fear commit direction decision . decision maker high position young inexperienced , no clue make much work abortive staff run round circle .",0.93892723,,
854,854,Mapletree Investments,2021-04-30,Thats good job,5.0,PPC Account Manager,Barcelona,reviews,subjective,positive,en,pro : good company good time . con : nothing say . accept thing,0.8095428,,
961,961,Mapletree Investments,2018-11-27,Bad employer,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : office good , company feed money one concern .. con : management authoritarian , arrogance , political , result orient , shout common attitude , keep change mind constantly usual . staff require work long hour , promotion single less commitment family dedicate time work , pressure top , unhealthy environment , may develop selfish manner work long mapletree , inefficient due bos keep change mind keep creative figure .",0.9046669,,
965,965,Mapletree Investments,2017-07-17,Avoid if you can,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : pay slightly high , probably compensate toxic culture . con : think red tape government sector , corporate politics private sector , merge two ’ mapletree . review aren ’ exaggerating . generally , department work silo politics widespread . choose not play , likely go end roadkill process . not elaborate toxic culture since colleagues/ex-colleagues elaborate detail . say , place good skilled play politics . playground . no choice join , advice : 1. tread care . yes men thrive not ever question boss . 2. don ’ nice . identify target , punching bag people use release stress . boss shout employee , department ’ colleague sometimes shout . ’ heard f-words hurl around . try not take heart appear like easily bully . 3. try become in-crowd . ’ not part in-crowd , ’ ostracize bully . lot single fresh graduate part culture work long hour , family kid think twice try manage . may stay around face-time time week order part in-crowd . 4. improve political skill . somehow . 5. importantly , not ever trust bos people around . toss by-product political battle anytime . really really careful . long story short , no choice join , think carefully whether worth lose soul company possibly damaged need counsel help . proceed wish .",0.93466216,,
986,986,Mapletree Investments,2017-10-01,Bad culture and environment.,1.0,Executive,"Pasir Panjang, ",reviews,subjective,negative,en,"pro : high bonus , mapletree voucher . basically nothing much good compensation package . consider pretty office nice pantry pro .... awhile give mapletree t-shirt recently zoo pass ballot .. con : bad culture many audit check individual staff . simply no trust employee . many sop implement many rule not part sop still get nc audit . company put even willing learn since something wrong , get broadcast def affect bonus promotion . join company high self confidence 'm sure end second year , end zero self confidence depression .",0.904059,,
991,991,Mapletree Investments,2021-12-20,-,5.0,-,Singapore,benefits,subjective,positive,en,good place work,0.8436362,,
1299,1299,Mapletree Investments,2019-09-17,Be prepared to be a slave,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : high bonus compensate time . con : no work life balance , no humanity , no empathy , unrealistic workload , no end peak period , not join unable work beyond working hour prepare walk away without job overwhelmed",0.86337036,,
4786,4786,Mapletree Investments,10/2/2022,-,1.0,-,Singapore,benefits,subjective,positive,,perk good company,0.8560307,3408.0,perk good company
4788,4788,Mapletree Investments,3/12/2021,-,5.0,-,Singapore,benefits,subjective,negative,,best - attractive remuneration package worst - attractive remuneration package thing .,0.51797307,3410.0,best - attractive remuneration package worst - attractive remuneration package thing .
4792,4792,Mapletree Investments,10/6/2021,-,5.0,-,Singapore,benefits,subjective,positive,,good benefit good annual salary package,0.8166488,3414.0,good benefit good annual salary package
4793,4793,Mapletree Investments,21/5/2021,-,5.0,-,Singapore,benefits,subjective,positive,,"good bonus , good staff package",0.8445414,3415.0,"good bonus , good staff package"
4794,4794,Mapletree Investments,14/5/2021,-,5.0,-,Singapore,benefits,subjective,positive,,"good company benefit , medical benefit , health benefit",0.6570416,3416.0,"good company benefit , medical benefit , health benefit"
4803,4803,Mapletree Investments,11/8/2020,-,5.0,-,Singapore,benefits,subjective,positive,,good benefit package learn development opportunity,0.71985716,3425.0,good benefit package learn development opportunity
4806,4806,Mapletree Investments,14/10/2019,-,5.0,-,Singapore,benefits,subjective,positive,,"good work life balance able go home early , not much work , manager encourage go home time . not many deadline intern .",0.74791855,3428.0,"good work life balance able go home early , not much work , manager encourage go home time . not many deadline intern ."
4821,4821,Mapletree Investments,16/6/2015,-,5.0,-,Singapore,benefits,subjective,negative,,"best - medical , leave entitlement bad - none",0.81520516,3443.0,"best - medical , leave entitlement bad - none"
13512,13512,Mapletree Investments,4/8/2022,Management sucks,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : nothing good honestly , maybe company 's brand name . con : lot politics , bos scold employee every meeting even use bad word",0.80960673,12134.0,"pro : nothing good honestly , maybe company 's brand name . con : lot politics , bos scold employee every meeting even use bad word"
13522,13522,Mapletree Investments,17/5/2022,Interesting,1.0,Senior Manager,,reviews,subjective,negative,,"pro : interestingly , notice point support company ceo go last one year significantly low long time .. con : junior position : good fresh relatively junior people start career mid : better join support senior management god father/ mother company strategy company clear , keep senior people insane bonus , rest cannon fodder . senior mgt anything retain position . lack empathy evident . even hr department unable retain , many key people good performance leave within last 1 year .",0.7653121,12144.0,"pro : interestingly , notice point support company ceo go last one year significantly low long time .. con : junior position : good fresh relatively junior people start career mid : better join support senior management god father/ mother company strategy company clear , keep senior people insane bonus , rest cannon fodder . senior mgt anything retain position . lack empathy evident . even hr department unable retain , many key people good performance leave within last 1 year ."
13531,13531,Mapletree Investments,20/3/2022,"Politics, boss and management don't care about staff",1.0,Marketing,,reviews,subjective,negative,,"pro : no pro cant think anything good say . con : begin surprised see bos scold vulgarity staff . ... toxic environment work , internal politics everywhere well . top approach . mapletree know amongst people real estate industry horrible place work . accept offer probably bad mistake make . 'm happy resign !",0.9446671,12153.0,"pro : no pro cant think anything good say . con : begin surprised see bos scold vulgarity staff . ... toxic environment work , internal politics everywhere well . top approach . mapletree know amongst people real estate industry horrible place work . accept offer probably bad mistake make . 'm happy resign !"
13534,13534,Mapletree Investments,9/1/2022,Review,1.0,Finance,,reviews,subjective,negative,,"pro : good bonus benefit . nice office .. con : long work hour , bad management . inflexible full sop . little tech advancement alot paper work . basically like huge dinosaur not make grow business .",0.83779603,12156.0,"pro : good bonus benefit . nice office .. con : long work hour , bad management . inflexible full sop . little tech advancement alot paper work . basically like huge dinosaur not make grow business ."
13567,13567,Mapletree Investments,7/6/2021,An absolute nightmare. Proceed with caution,1.0,Executive,Singapore,reviews,subjective,positive,,pro : good remuneration good bonus .. con : almost no mentorship leave largely one ’ device . high turnover work ot almost give,0.5279279,12189.0,pro : good remuneration good bonus .. con : almost no mentorship leave largely one ’ device . high turnover work ot almost give
13571,13571,Mapletree Investments,9/5/2021,Okay,1.0,Treasury Executive,,reviews,subjective,negative,,"pro : good bonus remuneration , although base pay low .. con : poor internal process . alot paperwork",0.51482576,12193.0,"pro : good bonus remuneration , although base pay low .. con : poor internal process . alot paperwork"
13585,13585,Mapletree Investments,10/2/2021,INTERNAL AUDIT,1.0,Internal Auditor,Singapore,reviews,subjective,negative,,"pro : bonus not bad ! . con : quick overdue review : -appraisal appraisal nutshell , pointless . bonus/promotion letter . 've hear , unique dept . time , not , receive letter every dept receive . instance pay credit bank account , letter no sight withhold reason . , unique dept . [ oh guy covid19 okay ] -no value-add work example- work usually excel . one audit , use excel parallel run software , idea . parallel run go year . `` parallel-run `` end ? idea really useful excel , try show form `` data analytics `` lol . skills old batch pioneer staff really need retrain keep time . culture -wo n't waste time talk , read someone else 's review post . hope information help ! ; )",0.93826157,12207.0,"pro : bonus not bad ! . con : quick overdue review : -appraisal appraisal nutshell , pointless . bonus/promotion letter . 've hear , unique dept . time , not , receive letter every dept receive . instance pay credit bank account , letter no sight withhold reason . , unique dept . [ oh guy covid19 okay ] -no value-add work example- work usually excel . one audit , use excel parallel run software , idea . parallel run go year . `` parallel-run `` end ? idea really useful excel , try show form `` data analytics `` lol . skills old batch pioneer staff really need retrain keep time . culture -wo n't waste time talk , read someone else 's review post . hope information help ! ; )"
13591,13591,Mapletree Investments,4/11/2020,Enter at your own risk.,1.0,Customer Service Executive,Singapore,reviews,subjective,negative,,pro : stay money .. con : micro-manage culture . super negative vibe entire office .,0.78534865,12213.0,pro : stay money .. con : micro-manage culture . super negative vibe entire office .
13592,13592,Mapletree Investments,22/10/2020,Not a place to stay for long,1.0,Senior Executive,Singapore,reviews,subjective,negative,,pro : good remuneration benefit package . con : stressful dateline no worklife balance . management indecisive,0.6225068,12214.0,pro : good remuneration benefit package . con : stressful dateline no worklife balance . management indecisive
13594,13594,Mapletree Investments,2/9/2020,No need to consider,1.0,Executive,Singapore,reviews,subjective,negative,,"pro : use give good package work life exchange money . con : inconsiderate management , ridiculous timeline , blame culture , expect one button solution",0.8418207,12216.0,"pro : use give good package work life exchange money . con : inconsiderate management , ridiculous timeline , blame culture , expect one button solution"
13605,13605,Mapletree Investments,12/9/2019,"Plenty of office politics, terrible working culture, limited learning opportunities",1.0,Assistant Manager,Singapore,reviews,subjective,negative,,"pro : many people would say pay good high bonus , reality deflate base pay 15-20 % . calculation don ’ fool . con : working culture terrible , plenty office politics , backstabbing , etc . people enjoy place probably well verse art office politics .",0.902235,12227.0,"pro : many people would say pay good high bonus , reality deflate base pay 15-20 % . calculation don ’ fool . con : working culture terrible , plenty office politics , backstabbing , etc . people enjoy place probably well verse art office politics ."
13617,13617,Mapletree Investments,17/3/2019,Manager,1.0,Manager,Singapore,reviews,subjective,negative,,pro : bonus benefit comparable competitor .. con : authoritarian style work . many office politics . high ranked colleague try form `` group `` . high staff turnover result unreasonable deadline remainder staff . verbal abuse norm department .,0.8433346,12239.0,pro : bonus benefit comparable competitor .. con : authoritarian style work . many office politics . high ranked colleague try form `` group `` . high staff turnover result unreasonable deadline remainder staff . verbal abuse norm department .
13620,13620,Mapletree Investments,18/1/2019,Only if you are looking for a job not a career,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : - office convenient location amenity - decent company want job . young one hold ambition drive , quite waste time unless star align .. con : - look make progression career , good take year another place value 'stop-over ' name-sake move . - department work extremely stack . stick position year not understand never move , instead seem stack . average performer , unless extremely lucky star align , fast take 3-4years move 1 job grade another ( note job grade , not position also hugely dependent manager speak whether level flood new hire ) . lady decide go maternity leave , start zero return . unfortunately , mass 80 % us not consider performer . top performer leave , leave behind accept job not career . - new hire always low caliber . no opportunity give exist staff management think exist staff stagnate ( not motivation issue address ) need new blood . interestingly 'new blood ' not tend want stay long cycle keep happen . - no room progression management not bother development staff . no culture mentoring training not target staff need . blanket training tick box training provide . choose not attend , no budget anything else want . training budget unrealistic figure hr estimate base historical trend . see budget go nowhere never reflective development need . - company little direction ( perhaps us ground level never know ) . top management find no reason communication vision direction , believe people hire job matter staff bonus .",0.9117421,12242.0,"pro : - office convenient location amenity - decent company want job . young one hold ambition drive , quite waste time unless star align .. con : - look make progression career , good take year another place value 'stop-over ' name-sake move . - department work extremely stack . stick position year not understand never move , instead seem stack . average performer , unless extremely lucky star align , fast take 3-4years move 1 job grade another ( note job grade , not position also hugely dependent manager speak whether level flood new hire ) . lady decide go maternity leave , start zero return . unfortunately , mass 80 % us not consider performer . top performer leave , leave behind accept job not career . - new hire always low caliber . no opportunity give exist staff management think exist staff stagnate ( not motivation issue address ) need new blood . interestingly 'new blood ' not tend want stay long cycle keep happen . - no room progression management not bother development staff . no culture mentoring training not target staff need . blanket training tick box training provide . choose not attend , no budget anything else want . training budget unrealistic figure hr estimate base historical trend . see budget go nowhere never reflective development need . - company little direction ( perhaps us ground level never know ) . top management find no reason communication vision direction , believe people hire job matter staff bonus ."
13622,13622,Mapletree Investments,9/11/2018,Retail Marketing,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : pro good bonus include retention bonus well . high turnover rate explain workplace .. con : 1. no interaction senior management team member . 2. instruction pass middle management ( vp , sm level ) . often , direction convey inaccurately due wrong interpretation middle management . make thing bad , middle management not receptive feedback despite fact present . 3. culture top whereby middle management often threaten subordinate senior management us comply no question raise . 3. no work recognition . senior manager claim credit care kpi , expense sabotaging overload unethical practice unproductive work affect team morale . 4. no work life balance . senior manager take time check work inform make last minute change deadline , often result team work night weekend .",0.95134735,12244.0,"pro : pro good bonus include retention bonus well . high turnover rate explain workplace .. con : 1. no interaction senior management team member . 2. instruction pass middle management ( vp , sm level ) . often , direction convey inaccurately due wrong interpretation middle management . make thing bad , middle management not receptive feedback despite fact present . 3. culture top whereby middle management often threaten subordinate senior management us comply no question raise . 3. no work recognition . senior manager claim credit care kpi , expense sabotaging overload unethical practice unproductive work affect team morale . 4. no work life balance . senior manager take time check work inform make last minute change deadline , often result team work night weekend ."
13629,13629,Mapletree Investments,11/3/2018,Only benefits are considered good.,1.0,Executive,Singapore,reviews,subjective,negative,,pro : $ 500 worth voucher use top bonus voucher use vivo restricted .. con : bad work environment especially no good leadership 's bos make minor mistake forever take no matter hard work cautious .,0.8758938,12251.0,pro : $ 500 worth voucher use top bonus voucher use vivo restricted .. con : bad work environment especially no good leadership 's bos make minor mistake forever take no matter hard work cautious .
13636,13636,Mapletree Investments,14/8/2017,Appalling staff turnover and toxic culture,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : office look nice appearance . con : - almost no room progression internally management set unrealistic bar exist staff promote , yet low bar new hire . try look job portal find endless stream job vacancy . please get decent position , should consider join organization , might stick long ( unless play good politics ) - poor communication management operational staff middle management 99 % time filter information top management thought would disseminate . cause alot needless gossiping opaque environment . time staff communication yearly affair tell receive bonus . , good try read news company press/social medium hear management . - process not catch growth business . company expand rapidly flush cash invest , process lag badly people resistance change .",0.9379759,12258.0,"pro : office look nice appearance . con : - almost no room progression internally management set unrealistic bar exist staff promote , yet low bar new hire . try look job portal find endless stream job vacancy . please get decent position , should consider join organization , might stick long ( unless play good politics ) - poor communication management operational staff middle management 99 % time filter information top management thought would disseminate . cause alot needless gossiping opaque environment . time staff communication yearly affair tell receive bonus . , good try read news company press/social medium hear management . - process not catch growth business . company expand rapidly flush cash invest , process lag badly people resistance change ."
13639,13639,Mapletree Investments,11/7/2017,Read the reviews and think twice before joining.,1.0,Anonymous Employee,Singapore,reviews,subjective,negative,,pro : recognize brand good renumeration bonus system every decision number driven . suitable single willing devote personal time/life work .. con : generally senior management verbally abusive towards staff . blame culture prevalent . staff commit work outside office hour leave reward preferred not . high turnover staff preparing get approval paper endorse torturous process . many step perform usually many party require review paper put approval . may take many reworks final approval give . management focus cost cutting measure - work less people lot emphasis control make staff generally fearful make mistake work . management not care teamwork staff morale work staff ground long payroll .,0.93525594,12261.0,pro : recognize brand good renumeration bonus system every decision number driven . suitable single willing devote personal time/life work .. con : generally senior management verbally abusive towards staff . blame culture prevalent . staff commit work outside office hour leave reward preferred not . high turnover staff preparing get approval paper endorse torturous process . many step perform usually many party require review paper put approval . may take many reworks final approval give . management focus cost cutting measure - work less people lot emphasis control make staff generally fearful make mistake work . management not care teamwork staff morale work staff ground long payroll .
13640,13640,Mapletree Investments,5/7/2017,'Best' company,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : literally nothing . perhaps good money money job ! . con : -all manager many many year know 'wayang ' no substance . claim many year astound know nothing ! good show front big boss show damn good everything , management buy everything say . -never cherish employee work hard , fact mark could threat ! not much opportunity give executive promote wayang king queen . work 10 yr never get promote , wayang king get promote level within year . fairness ! -full politics -company pay attention money not people .",0.92339593,12262.0,"pro : literally nothing . perhaps good money money job ! . con : -all manager many many year know 'wayang ' no substance . claim many year astound know nothing ! good show front big boss show damn good everything , management buy everything say . -never cherish employee work hard , fact mark could threat ! not much opportunity give executive promote wayang king queen . work 10 yr never get promote , wayang king get promote level within year . fairness ! -full politics -company pay attention money not people ."
13641,13641,Mapletree Investments,30/6/2017,Executive,1.0,Executive,Singapore,reviews,subjective,negative,,"pro : overall pay package high u get vs competitor industry min bonus even average performer range 2.5-3mths ( exc aws special bonus payout divide monthly pay ) yearly shop voucher vivocity / arc / 18 ts cash benefit 750 every year junior staff mostly friendly willing teach/guide share , ur lucky day u meet someone senior yet friendly genuinely nice still convenient eat place downstairs comprehensive sport amenity free shuttlebus vivocity daily . con : lot backstabbing politicking everyone try bootlick senior management promotion/ gettin boss good book plenty overtime pathetic meal allowance 6 dollar max per claim ( entitle u submit ur receipt u dont claim , u lose ) tight timeline follow leave 6pm near impossible u , ure special specie rude undiplomatic staff especially senior level hr team talk lack tact , not compassionate extremely slow deliver many sop follow management not seem willing change adapt working style environment not way round thing move slowly extremely ridiculous especially big organisation , memos/forms/urgent approval take day day sign may even come back plenty amendment would already exceed timeline , management get no sense urgency prepare huge culture shock ! ! high turnover rate ( stay power average 1year even short ) u wonder u unlucky place certain bus",0.7403864,12263.0,"pro : overall pay package high u get vs competitor industry min bonus even average performer range 2.5-3mths ( exc aws special bonus payout divide monthly pay ) yearly shop voucher vivocity / arc / 18 ts cash benefit 750 every year junior staff mostly friendly willing teach/guide share , ur lucky day u meet someone senior yet friendly genuinely nice still convenient eat place downstairs comprehensive sport amenity free shuttlebus vivocity daily . con : lot backstabbing politicking everyone try bootlick senior management promotion/ gettin boss good book plenty overtime pathetic meal allowance 6 dollar max per claim ( entitle u submit ur receipt u dont claim , u lose ) tight timeline follow leave 6pm near impossible u , ure special specie rude undiplomatic staff especially senior level hr team talk lack tact , not compassionate extremely slow deliver many sop follow management not seem willing change adapt working style environment not way round thing move slowly extremely ridiculous especially big organisation , memos/forms/urgent approval take day day sign may even come back plenty amendment would already exceed timeline , management get no sense urgency prepare huge culture shock ! ! high turnover rate ( stay power average 1year even short ) u wonder u unlucky place certain bus"
