,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
350,350,Mediacorp,2018-02-25,Leave application in system - pple taking advantage,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : good welfare . anyhow take leave . con : staff take advantage leave application . indicate take leave ’ not reflect team calendar ( ’ pending , system also show . leave staff calendar blank . ) one leave soon every day indicate either medical leave . join july 2017. much leave not indicate team calendar ?",0.87566227,,
459,459,Mediacorp,2016-05-03,Assistant Programming Manager,1.0,Anonymous Employee,,reviews,subjective,negative,en,pro : benefit . everything available one place . location ... con : politics . upper management n't take accountability . no work life balance .,0.51569563,,
482,482,Mediacorp,2022-02-27,Nepotism and bureaucratic envinronment,1.0,Senior Product Executive,"Gurgaon, Haryana",reviews,subjective,negative,en,"pro : well-known monopolised firm local medium industry .. con : one bad experience career life , toxic unproductive environment .",0.7877059,,
538,538,Mediacorp,2021-09-26,"Very keep by the book and toxic place, no room for improvement",1.0,Anonymous Employee,Singapore,reviews,subjective,negative,en,"pro : aws aws thing drive stay . start open mind change . con : keep book , stubborn . no room upskill & almost no one willing improve good . comfort zone , hence result “ box ” … . barely creativity close mind . industrial news receive tend quite outdated filtered . though get open change , reluctant way . proud not quite correct thing , thing effective efficient way . don ’ know word use term even correct still stubbornly use back comfortable . really don ’ recommend fresh grad join isn ’ much learn tend “ bully ” “ senior ” teach ineffective way work . no room improvement . not enough senior guide junior , senior not skilled effective thing . direction look isn ’ always clear . though give reference , end result no near look ask time ask make thing “ big ” initial propose reference “ sleek ” “ simple ” . budgeting money… money mind . result , creative element replace affect end look . almost zero communication , result sometimes inconsistency one whole production . 1. especially dramas , production yet split different team . tell effective produce drama . however , different direction inconsistency shoot end always result “ fixing post ” . budget another prob “ quotation ” come “ fixing post ” … . always need “ no budget ” . always editor , director , assistant director executive producer give different comment result no idea listen . however end , tell follow eps ’ instruction . 2. variety show , request looks/design , due budget , in-house produce provide . however , wasn ’ use change ( outsource ) designer/editors . initial designer/artist never inform . issue appear blame initial designer/artist ask him/her make amendment accordingly . furthermore , issue definitely win ’ find ’ problem , 1st step “ solve ” issue head initial in-house designer/artist point finger . demand solution deadline tight… lot miscommunications back stabbing . careful say , always put “ friendly ” “ easy go ” mask talk people . general people like put word one ’ mouth , avoid blame wrong doings . even cheap small issue blow , not give weird analogy wasn ’ relatable relevant issue .",0.93899274,,
643,643,Mediacorp,2022-07-08,-,1.0,-,Singapore,benefits,subjective,negative,en,"no ot pay intern despite extensive ot hour production department . transport claim grab etc early call time ( 5am+/- ) , claim take long process .",0.8552663,,
674,674,Mediacorp,2020-02-07,-,1.0,-,Singapore,benefits,subjective,positive,en,nth much worth mention,0.5654145,,
875,875,Mediacorp,2021-08-07,Top heavy company with bad work culture.,1.0,Assistant Project Manager,,reviews,subjective,negative,en,"pro : well protect employment fulltime permanent job , especially high management level .. con : company top heavy . many boss . little worker . low level job sub par salary . work culture rife tribalism , responsibility shirking , victimisation , blame nepotism promote politick & bootlick instead actual work . inter-department communication non existent . everyone work enclosed space without teamwork . boss much power make non work-related task outside job scope personal gain . lot conflict interest purchase favourite vendor , potentially due power give boss . appraisal system work downwards management never fault . stay away company 're fresh graduate . join mediacorp look retirement home passive income ! good luck !",0.94297874,,
885,885,Mediacorp,2022-08-09,Good place,5.0,Account Manager,Singapore,reviews,subjective,positive,en,pro : good commission put work great colleague dynamic . con : not much . love time mediacorp,0.7056598,,
911,911,Mediacorp,2014-11-05,A Media Company's culture eats strategy for Lunch!,1.0,Anonymous,Singapore,reviews,subjective,negative,en,"pro : compare global medium company , absolutely no point comparison . 're good elsewhere . promotion benefit not well design reward achievement neither promotion announce . lot strange hr policy bureaucratic n't apply current employment standard . government nature . however , much self-inflicted censorship pain . company 's hr policy design protect company not staff growth .. con : poor office culture due `` top `` heavy legacy issue whereby many vps , svps , even evps irrelevant not re-skilled keep time especially area move onto mobile digital tv via multi-screens . compensation pathetic compare mncs 're reward bos favour . not work competency driven , people relation driven . training senior mgmt vps . staff often ask pay training though related work even ask take leave attend work related training . shock , horror dismay , see boss attend conference training free couple day ago , request training reject term like use `` not sanction `` boss bump conference training centre . 's appalling , boss would even spring surprise gate-crashing sneak conference steal ideas/content/ cite 're boss , try associate network head back office write cryptic email demand page report write conference 've ask take personal leave cost training/seminar/conference . company 's culture people manager really suck , hope government intervenes otherwise , sink ship shall .",0.9472661,,
990,990,Mediacorp,2019-12-10,-,5.0,-,Singapore,benefits,subjective,positive,en,'s 21 day leave health insurance benefit employee good .,0.8019418,,
