,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
284,284,My First Skool,2021-01-13,Understanding bosses,5.0,Child Care Assistant,Singapore,reviews,objective,neutral,en,pro : principal teacher understand fun environment child . con : pay low physical work,0.92668414,,
825,825,My First Skool,2021-08-28,Great school,5.0,Childcare Teacher,Singapore,reviews,objective,neutral,en,pro : great teamwork supportive colleague .. con : much paperwork complete,0.49550757,,
12676,12676,My First Skool,23/8/2022,Principal,5.0,Assistant Teacher,"Bedok New Town, ",reviews,objective,neutral,,pro : good slaray structure pay high market rate . con : hr not look matter deeply biasness key success hierarchy organisation .,0.7082186,11298.0,pro : good slaray structure pay high market rate . con : hr not look matter deeply biasness key success hierarchy organisation .
12686,12686,My First Skool,4/8/2022,Issa scam,1.0,Infant Teacher,"Sengkang New Town, ",reviews,objective,neutral,,pro : performance bonus annual wage salary laptop 1 hr break dress . con : no work life balance ratio child : teacher high endless paperwork still hbl,0.8889618,11308.0,pro : performance bonus annual wage salary laptop 1 hr break dress . con : no work life balance ratio child : teacher high endless paperwork still hbl
12688,12688,My First Skool,10/6/2022,Good place to work,5.0,Preschool Teacher Assistant,,reviews,objective,neutral,,pro : job fun fast pace . con : lot paper work,0.823901,11310.0,pro : job fun fast pace . con : lot paper work
12691,12691,My First Skool,11/7/2022,No Work Life Balance,1.0,Full Time Teacher,,reviews,objective,neutral,,"pro : training , seminar , freebie , event , resource . con : no work life balance over-time time",0.9121772,11313.0,"pro : training , seminar , freebie , event , resource . con : no work life balance over-time time"
12693,12693,My First Skool,24/5/2022,Take good care of your employee,5.0,English Teacher,,reviews,objective,neutral,,pro : good staff welfare meal provide . con : much administrative stuff low staff well,0.8207293,11315.0,pro : good staff welfare meal provide . con : much administrative stuff low staff well
12717,12717,My First Skool,10/1/2022,-,5.0,Student Care Mentor,Singapore,reviews,objective,neutral,,pro : good colleague able communicate well . con : no disadvantage find,0.5940055,11339.0,pro : good colleague able communicate well . con : no disadvantage find
12725,12725,My First Skool,5/11/2021,Excellent school to work in,5.0,Child Care Teacher,"Tampines New Town, ",reviews,objective,neutral,,pro : happy work environment work . con : not think,0.90958494,11347.0,pro : happy work environment work . con : not think
12733,12733,My First Skool,23/8/2021,Workload,1.0,EnglishTeacher,,reviews,objective,neutral,,pro : good high salary . free lunch ..... con : heavy workload . no work life balance . ot everyday .. although 's pay still tire .,0.5395108,11355.0,pro : good high salary . free lunch ..... con : heavy workload . no work life balance . ot everyday .. although 's pay still tire .
12743,12743,My First Skool,12/3/2021,Improves your knowledge on how childcare works,5.0,Lead Teacher,Western Islands,reviews,objective,neutral,,pro : good benefit appreciative parent long time .. con : ready challenging colleague,0.8310573,11365.0,pro : good benefit appreciative parent long time .. con : ready challenging colleague
12750,12750,My First Skool,15/1/2021,Good place to work,5.0,English Teacher,,reviews,objective,neutral,,pro : good career progress benefit . con : lot paperwork,0.81673825,11372.0,pro : good career progress benefit . con : lot paperwork
12751,12751,My First Skool,29/12/2020,Review as a relief teacher at My First Skool,5.0,Relief Teacher,"Sengkang New Town, ",reviews,objective,neutral,,"pro : teacher friendly helpful .. con : non-trained relief teacher , lot uncertainty different class different teacher",0.861438,11373.0,"pro : teacher friendly helpful .. con : non-trained relief teacher , lot uncertainty different class different teacher"
12759,12759,My First Skool,12/11/2020,Good salary,5.0,English Teacher,,reviews,objective,neutral,,pro : salary benefit . career progression . con : paper work admin work,0.9301542,11381.0,pro : salary benefit . career progression . con : paper work admin work
