,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
192,192,Navitas,2017-02-22,Nice company,5.0,Anonymous Employee,,reviews,objective,neutral,en,pro : nice work culture relaxed environment . con : limited career development future,0.89469665,,
408,408,Navitas,2020-05-07,Digital strategy long overdue,1.0,Anonymous Employee,"Perth, Western Australia",reviews,objective,neutral,en,pro : great people frontline . con : digital strategy stick 1985,0.82340264,,
516,516,Navitas,2022-09-29,Good employer,5.0,International Admissions Officer,,reviews,objective,neutral,en,"pro : training , communication self development , understand . con : not much annual leave place , pretty low wage",0.9060325,,
4831,4831,Navitas,2/5/2015,-,5.0,-,United Kingdom,benefits,objective,neutral,,"excellent eva bonus performance bonus scheme . good leave allowance.good death accident service benefit . poor hr function due lack dedicated staff area historically , appear heave address",0.38242644,3453.0,"excellent eva bonus performance bonus scheme . good leave allowance.good death accident service benefit . poor hr function due lack dedicated staff area historically , appear heave address"
4834,4834,Navitas,9/2/2021,-,1.0,-,United Kingdom,benefits,objective,neutral,,"average , legal requirement",0.69959015,3456.0,"average , legal requirement"
4839,4839,Navitas,1/12/2020,-,5.0,-,Australia,benefits,objective,neutral,,work-life balance great,0.5842913,3461.0,work-life balance great
4843,4843,Navitas,14/7/2021,-,1.0,-,Australia,benefits,objective,neutral,,not sure kind benefit even offer 9 year plus navitas,0.5411442,3465.0,not sure kind benefit even offer 9 year plus navitas
4849,4849,Navitas,10/10/2017,-,1.0,-,Australia,benefits,objective,neutral,,no benefit casual teacher .,0.4978614,3471.0,no benefit casual teacher .
4850,4850,Navitas,13/9/2015,-,5.0,-,Australia,benefits,objective,neutral,,pay well annual salary review bonus payment . also salary sacrifice employee share scheme .,0.73222417,3472.0,pay well annual salary review bonus payment . also salary sacrifice employee share scheme .
13753,13753,Navitas,14/7/2022,Good,5.0,Anonymous Employee,,reviews,objective,neutral,,pro : good stability work environment . con : nothing negative experience,0.86842495,12375.0,pro : good stability work environment . con : nothing negative experience
13756,13756,Navitas,21/6/2022,Great company,5.0,Lecturer,,reviews,objective,neutral,,"pro : modern , universal design , professional development . con : location , lack full time - ongoing contract",0.9183201,12378.0,"pro : modern , universal design , professional development . con : location , lack full time - ongoing contract"
13760,13760,Navitas,3/6/2022,Good company culture,5.0,Accountant,,reviews,objective,neutral,,"pro : good company culture , staff friendly . con : pay not competitive",0.8481264,12382.0,"pro : good company culture , staff friendly . con : pay not competitive"
13765,13765,Navitas,7/4/2022,Great opportunities,5.0,Anonymous Employee,Sydney,reviews,objective,neutral,,pro : business leadership team clear vision . inspire purpose transform life education .. con : not meet many colleague due covid,0.8839605,12387.0,pro : business leadership team clear vision . inspire purpose transform life education .. con : not meet many colleague due covid
13770,13770,Navitas,1/3/2022,Great people,5.0,Teacher,Sydney,reviews,objective,neutral,,pro : fellow teacher always great . con : pay n't great probably par school,0.56767505,12392.0,pro : fellow teacher always great . con : pay n't great probably par school
13781,13781,Navitas,27/11/2021,Loved working here,5.0,Regional Manager,,reviews,objective,neutral,,"pro : workflow , create good relationship market , lot travel . con : no room grow",0.82028776,12403.0,"pro : workflow , create good relationship market , lot travel . con : no room grow"
13782,13782,Navitas,20/11/2021,Good position,5.0,Anonymous Employee,,reviews,objective,neutral,,"pro : good team , positive work vibe . con : less training provide join",0.84307337,12404.0,"pro : good team , positive work vibe . con : less training provide join"
13787,13787,Navitas,27/10/2021,Good company,5.0,Teacher,,reviews,objective,neutral,,"pro : good company work , professional . con : english language school always fear industry collapse",0.90058285,12409.0,"pro : good company work , professional . con : english language school always fear industry collapse"
13788,13788,Navitas,19/10/2021,Great place to work,5.0,Marketing Coordinator,,reviews,objective,neutral,,"pro : benefit , flexible schedule , purpose , pd . con : not much opportunity grow",0.91126937,12410.0,"pro : benefit , flexible schedule , purpose , pd . con : not much opportunity grow"
13796,13796,Navitas,24/8/2021,Great place to work!,5.0,Marketing Manager,Dubai,reviews,objective,neutral,,"pro : - . con : like business entity , saw grow pain team well-structured robust system policy place .",0.5838594,12418.0,"pro : - . con : like business entity , saw grow pain team well-structured robust system policy place ."
13797,13797,Navitas,23/8/2021,Best Pathway Education Provider,5.0,Sales Branch Coordinator,Kathmandu,reviews,objective,neutral,,pro : many pathway option student .. con : less scholarship student .,0.9275815,12419.0,pro : many pathway option student .. con : less scholarship student .
13803,13803,Navitas,14/7/2021,Supportive and multicultural school,5.0,Anonymous Employee,,reviews,objective,neutral,,"pro : supportive , creative , multicultural environment . highly professional , open-minded colleague .. con : rigid mechanism make small change .",0.88894814,12425.0,"pro : supportive , creative , multicultural environment . highly professional , open-minded colleague .. con : rigid mechanism make small change ."
13810,13810,Navitas,4/6/2021,Great team,5.0,Account Manager,"Oxford, England",reviews,objective,neutral,,pro : amazing great place work . con : constraint work individually difficult,0.56803024,12432.0,pro : amazing great place work . con : constraint work individually difficult
13812,13812,Navitas,25/5/2021,Decent company,5.0,Learning Advisor,Brisbane,reviews,objective,neutral,,pro : plenty opportunity professional personal development .. con : depend entirely team end - may surround good people bad people would tough pin company either way .,0.49634054,12434.0,pro : plenty opportunity professional personal development .. con : depend entirely team end - may surround good people bad people would tough pin company either way .
13813,13813,Navitas,24/6/2021,Awful,1.0,Admissions Officer,"Oxford, England",reviews,objective,neutral,,pro : no pro work .. con : everything . nothing good company,0.46592122,12435.0,pro : no pro work .. con : everything . nothing good company
13821,13821,Navitas,23/3/2021,workplace view,5.0,Administration Manager,"Boston, MA",reviews,objective,neutral,,pro : great flexibility workplace . con : constant change direction year year,0.8790898,12443.0,pro : great flexibility workplace . con : constant change direction year year
13822,13822,Navitas,22/3/2021,great place to work,5.0,Teacher,Sydney,reviews,objective,neutral,,"pro : excellent work culture , great people . con : large organisation , profit driven business",0.714771,12444.0,"pro : excellent work culture , great people . con : large organisation , profit driven business"
