,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
331,331,Navitas,2021-03-07,Favourites,1.0,Manager,,reviews,subjective,negative,en,"pro : no pro worth mention . con : want progress , better make friend senior management n't question decision .",0.78846735,,
404,404,Navitas,2020-03-04,AVOID:Terrible company to work for!,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : no pro ! . con : - poor management area business . - constant changes- love make rule go without inform employee . - high staff turnover speaks , everyone miserable work . staff overwork pay . - terrible hr , always suck manager don ’ waste time energy come anything push door speak . - incompetent manager no management/ people skill . - poor recruitment strategy - no professional development - toxic work environment - company couldn ’ care less well-being list go on……",0.9480001,,
530,530,Navitas,2020-08-22,Toxic work culture,1.0,Administration,,reviews,subjective,negative,en,"pro : decent salary , not fast paced . con : upper management chaotic disorganize , bleed rest organisation . rarely promote internally , instead prefer hire outside , speak toxic work culture experience work . hr clueless not interested employee retention satisfaction .",0.9144309,,
534,534,Navitas,2018-12-27,Good Company  & Place to Learn,5.0,Anonymous Employee,,reviews,subjective,positive,en,pro : good company place learn . con : nothing specific big say,0.67074674,,
797,797,Navitas,2011-10-23,A great human and professional experience,5.0,Intern,Melbourne,reviews,subjective,positive,en,"pro : experience navitas really great . intern bit hard compare normal job enjoy workplace people lot . good working hour , good work/life balance , understand company manager , great company culture , etc . get reward hard work motivate . good employee empowerment .. con : manager ' competency leadership skill could question , no issue . career development opportunity may limit .",0.74752516,,
919,919,Navitas,2019-09-24,Very fair employer,5.0,English Teacher,Sydney,reviews,subjective,positive,en,pro : great fellow staff good mix student .. con : not always enough teaching hour .,0.7036241,,
941,941,Navitas,2018-01-17,I can't possibly believe all the positive comments,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : decent pay mindful lack benefit . con : personal opinion base actual experience company : - 've never heard toxic environment - much backstabbing badmouthing amaze people still want long term carrier - truly old boy club - start 10-15 year ago rub shoulder founder everyone else ? great .. otherwise need wary exist relationship , nepotism careful step mined field - extreme lack flexibility 've see - work home see `` no working `` 're really bad luck child need flexibility - work-life balance ? no in-lieu-of day weekend-long event conference - general sense 're team 's payroll , 're full-time slave organization boss - whatsapps time day night , non-stop availability expect ( though not explicitly request ) - 've accept weekend meeting work , early morning late night call , come need flexibility look child encounter hostility , even little 1.5h morning",0.93991345,,
1122,1122,Navitas,2019-07-24,Horrendous,1.0,Manager,,reviews,subjective,negative,en,pro : try think one . con : seem crazy 2019 nepotism rife large organisation . inept senior leadership team . complete lack system process maturity . don ’ treat people well,0.86194885,,
1129,1129,Navitas,2017-01-09,Once great company badly let down by new management,1.0,Senior Management,,reviews,subjective,negative,en,pro : great people across globe selling give worthy product education service .. con : poor new management team bad idea no real commercial experience extremely poor hr department demotivated workforce - 50 % u.k. workforce move past 12 month,0.8950662,,
1212,1212,Navitas,2020-02-18,Such disgrace management,1.0,Office Administrator,,reviews,subjective,negative,en,"pro : literally no pro . con : .management certain hr member absolute bully . .vile treatment staff specially certain ethnic minority staff treat awfully . .completely run awful management high staff turn . .any complaint management turn around say issue not regardless 15 complaint manager . protect dear life .there multiple complaint manger instead high management deal professionally slyly hid complaint make “ arc improvement ” . freedom speech apply certain ethnicity . .what awful place .this company say pride self diversity fairness ’ complete opposite . .if brown noser luck get far company don ’ go work good go much suck management . .if don ’ like find silly reason sake , never see company run nasty bunch. . one staff member late minute don ’ like staff member give warning however another staff member late consistent basis staff member like management never speak . .over work pay .they never get overtime hour right despite complaint every month staff , would think would careful ’ people pay nooooo track overtime hour manger incompetent get right .",0.95394284,,
