,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
556,556,OKX,2021-05-06,Young and energetic work environment,5.0,Anonymous Employee,,reviews,objective,neutral,en,"pro : - flexible , young energetic working environment - friendly people ! - promising industry - good career prospect . con : fast grow industry thing change every second . need time patience company become organised well-structured .",0.6636269,,
681,681,OKX,2022-06-12,-,5.0,-,Singapore,benefits,objective,neutral,en,food allowance $ 20 day !,0.7036815,,
888,888,OKX,2022-09-13,"Positive Culture, great benefits and young population",5.0,Manager,Hong Kong,reviews,objective,neutral,en,"pro : - work young population , everyone agile , smart energetic . - team apac region country globalised project , hk , singapore , malaysia , dubai , u.s. , many . - large degree autonomy lead project , learn grow together . - attractive competitive company benefit , include learn fund , gym allowance meal benefit . 's company work/life balance growth mindset .. con : -",0.7123406,,
3560,3560,OKX,3/10/2022,-,5.0,-,Hong Kong,benefits,objective,neutral,,gym allowance 6k per month,0.7869943,2182.0,gym allowance 6k per month
3561,3561,OKX,13/9/2022,-,5.0,-,Hong Kong,benefits,objective,neutral,,current renew leave benefit package stun reach peak market . company become people care culture .,0.69792634,2183.0,current renew leave benefit package stun reach peak market . company become people care culture .
3562,3562,OKX,13/9/2022,-,5.0,-,Hong Kong,benefits,objective,neutral,,20 day al per year fitness allowance meal allowance ot meal allowance learn & development fund,0.80673045,2184.0,20 day al per year fitness allowance meal allowance ot meal allowance learn & development fund
3565,3565,OKX,3/5/2022,-,5.0,-,Hong Kong,benefits,objective,neutral,,"flexible work arrangement , learn team building budget",0.76079386,2187.0,"flexible work arrangement , learn team building budget"
3569,3569,OKX,26/8/2022,-,5.0,-,Singapore,benefits,objective,neutral,,"food credit voucher , ot meal provide",0.7859843,2191.0,"food credit voucher , ot meal provide"
4853,4853,OKX,5/4/2022,Wonderful experience,5.0,Senior Talent Acquisition Specialist,,reviews,objective,neutral,,"pro : people nice , great culture , collaborative work recognise sg office .. con : fast pace environment , since it⊙s hyper-growth stage",0.6403511,3475.0,"pro : people nice , great culture , collaborative work recognise sg office .. con : fast pace environment , since it⊙s hyper-growth stage"
4868,4868,OKX,21/9/2022,TA Manager,5.0,Talent Acquisition Manager,,reviews,objective,neutral,,pro : - nice office - friendly colleague - young team - exposure different project & team business - food & drink ! - weekly sport event - work life balance . con : pace work fast set sop even follow sop .,0.587801,3490.0,pro : - nice office - friendly colleague - young team - exposure different project & team business - food & drink ! - weekly sport event - work life balance . con : pace work fast set sop even follow sop .
4873,4873,OKX,13/9/2022,Willing to listen & make improvement,5.0,Officer,Hong Kong,reviews,objective,neutral,,"pro : - lot employee benefit ( new & upgrade time time ) - fun employee activity ( volunteer work , festive celebration , badminton etc . ) - provide feedback related team , take consideration & make improvement - responsive ( even make enquiry office hour ) . con : much announcement chat group sometimes , need pay attention",0.5819403,3495.0,"pro : - lot employee benefit ( new & upgrade time time ) - fun employee activity ( volunteer work , festive celebration , badminton etc . ) - provide feedback related team , take consideration & make improvement - responsive ( even make enquiry office hour ) . con : much announcement chat group sometimes , need pay attention"
4875,4875,OKX,9/9/2022,Excellent pay and employee benefits with moderate work life balance,5.0,Senior Software Engineer,Hong Kong,reviews,objective,neutral,,"pro : excellent pay employee benefit moderate work life balance . con : software developer company , mandarin speaking skill preferable , however improve gradually firm go international .",0.73534083,3497.0,"pro : excellent pay employee benefit moderate work life balance . con : software developer company , mandarin speaking skill preferable , however improve gradually firm go international ."
4878,4878,OKX,27/8/2022,Best experience.,5.0,Cyber Security Specialist,"Beijing, Beijing",reviews,objective,neutral,,pro : high income low work hour .. con : crypto currency exchange not stable long term .,0.8619286,3500.0,pro : high income low work hour .. con : crypto currency exchange not stable long term .
4884,4884,OKX,30/6/2022,Great working culture in a growing crypto exchange,5.0,Anonymous Employee,Hong Kong,reviews,objective,neutral,,-,0.61981183,3506.0,-
4889,4889,OKX,6/6/2022,Good company,5.0,Anonymous Employee,Hong Kong,reviews,objective,neutral,,"pro : - nice office - friendly colleague - flexible working hour - food & drink ! . con : immature management , still ton room grow",0.7478103,3511.0,"pro : - nice office - friendly colleague - flexible working hour - food & drink ! . con : immature management , still ton room grow"
