,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
848,848,OKX,2020-07-28,Active Team,5.0,Sales Representative,Hong Kong,reviews,subjective,positive,en,"pro : young teamates . really active . communicate directly . really happy join positive team .. con : office renovate , lack meeting room .",0.6854785,,
1158,1158,OKX,2022-07-29,"awful, worst experience",1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : salary pro . con : bad culture , much blame bullying , toxic staff everyone restructure okcoin fake ceo , fake 5 star review , even fake employee join us page , fake ?",0.93746257,,
1262,1262,OKX,2021-08-13,Don't join - it's a mess!,1.0,Anonymous Employee,,reviews,subjective,negative,en,pro : competitive salary average benefit . nice office free snack . con : fake positive review . authoritarian management ( beijing style ) . poor management change mind time . 's real mess .,0.8407785,,
3563,3563,OKX,9/8/2022,-,5.0,-,Hong Kong,benefits,subjective,positive,,feel good,0.73953325,2185.0,feel good
3564,3564,OKX,15/7/2022,-,5.0,-,Hong Kong,benefits,subjective,positive,,ok fairly ok,0.7386944,2186.0,ok fairly ok
4855,4855,OKX,28/9/2022,ùå Don't do it. Stay away as far as possible ‚ùå,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : 1. good compensation 2. great perk 3. good brand . con : 1. hire 'quiet ' fire culture . butcher knife hang neck every single second . 'll never know next go . 2. extreme case top-down management . opinion not matter . 's either tell fire . 3. hr/hrbp tell everything 'well ' , 's usually quite opposite . act care , n't ca n't . 4. get pelt vulgarity 'pseudo ' ceo . people think ca n't happen . know . n't shock . 's thing . 5. company hire non-chinese speaking talent meeting document chinese . n't know chinese , 's problem . 6 . .... many whatever con think , 's probably happen . read review search okcoin glassdoor .",0.9362287,3477.0,"pro : 1. good compensation 2. great perk 3. good brand . con : 1. hire 'quiet ' fire culture . butcher knife hang neck every single second . 'll never know next go . 2. extreme case top-down management . opinion not matter . 's either tell fire . 3. hr/hrbp tell everything 'well ' , 's usually quite opposite . act care , n't ca n't . 4. get pelt vulgarity 'pseudo ' ceo . people think ca n't happen . know . n't shock . 's thing . 5. company hire non-chinese speaking talent meeting document chinese . n't know chinese , 's problem . 6 . .... many whatever con think , 's probably happen . read review search okcoin glassdoor ."
4856,4856,OKX,28/9/2022,China culture,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : good salary fringe benefit . con : weak management product , chinese mindset , top no integrity .",0.65892804,3478.0,"pro : good salary fringe benefit . con : weak management product , chinese mindset , top no integrity ."
4857,4857,OKX,6/9/2022,Don't ruin your career,1.0,Product Manager,,reviews,subjective,negative,,"pro : - . con : super toxic work environment , give feedback company result sudden termination certain colleague . 're tell , even though might not make sense . developer worry job security , keep critical information resistant change . product manager ca n't effectively push feature .",0.916941,3479.0,"pro : - . con : super toxic work environment , give feedback company result sudden termination certain colleague . 're tell , even though might not make sense . developer worry job security , keep critical information resistant change . product manager ca n't effectively push feature ."
4862,4862,OKX,11/3/2022,Good Worklife,5.0,Talent Acquisition Manager,Singapore,reviews,subjective,positive,,"pro : good work life balance colleague . con : none , everything good",0.75055766,3484.0,"pro : good work life balance colleague . con : none , everything good"
4864,4864,OKX,16/11/2021,"Great place to work at, freedom's all yours",5.0,Business Development Manager,Singapore,reviews,subjective,positive,,"pro : great work-life balance , never micro manage . con : none , yeah really",0.78105843,3486.0,"pro : great work-life balance , never micro manage . con : none , yeah really"
