,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
251,251,Panasonic Avionics Corporation,2017-06-19,flexible work environment with competitive pay and a relaxed culture,5.0,Software Technician I,"Lake Forest, CA",reviews,objective,neutral,en,"pro : love work panasonic avionics . management flexible , treat respect . nature work , time , repetitive , time learn lot fun . also love co-worker become good friend many .. con : work second shift , 4pm 12:30am . drag sometimes , least sleep 'd like !",0.5291354,,
378,378,Panasonic Avionics Corporation,2020-06-26,Bleak future,1.0,Project Coordinator,"Lake Forest, CA",reviews,objective,neutral,en,"pro : change management help move thing forward , change slow it⊙s apparent review . con : not flexible agile change , not adapt",0.87832004,,
847,847,Panasonic Avionics Corporation,2021-04-26,Great place,5.0,Technician,"London, England",reviews,objective,neutral,en,pro : wondeful staff always willing assist . con : salary not best,0.89317715,,
878,878,Panasonic Avionics Corporation,2018-07-27,Great company to work for!,5.0,Anonymous Employee,,reviews,objective,neutral,en,"pro : lot opportunity go around , always able learn something new .. con : reorg process bring additional stress job",0.89188135,,
899,899,Panasonic Avionics Corporation,2022-05-23,Moving in the Right Direction,5.0,Senior Project Manager,"Irvine, CA",reviews,objective,neutral,en,"pro : compensation benefit improve since covid-19 crisis : unlimited vacation day , attractive wfh policy . con : lose gray matter crisis difficult rebuild",0.8897926,,
969,969,Panasonic Avionics Corporation,2020-08-06,Great company to work with,5.0,Quality Inspector,Dubai,reviews,objective,neutral,en,"pro : good salary good additional benefit . con : long work hour , strict environment",0.8555328,,
1138,1138,Panasonic Avionics Corporation,2021-03-19,"ASSEMBLER III (Tool Coordinator, Procurement & Facilities)",5.0,Assembler (III),Sharjah,reviews,objective,neutral,en,"pro : 1. company general reputation . 2.reputation key leader . 3.admiration products/services . 4.admiration company initiative ( market campaign , community 5. involvement , train program ) 6.company culture value . 7.company growth/success .. con : part cost buster program covid impact , facility shift mexico completely shut operation ( department ) dubai .",0.7472221,,
1213,1213,Panasonic Avionics Corporation,2021-12-11,Supply chain,5.0,Senior Engineer,"Lake Forest, CA",reviews,objective,neutral,en,"pro : decent work culture , flex hour . con : career progression little slow",0.91401595,,
3729,3729,Panasonic Avionics Corporation,26/8/2022,-,5.0,-,United States,benefits,objective,neutral,,health care amaze well company vacation ( pto ) policy,0.6424371,2351.0,health care amaze well company vacation ( pto ) policy
3735,3735,Panasonic Avionics Corporation,26/5/2022,-,5.0,-,United States,benefits,objective,neutral,,"unlimited vacation , hybrid schedule , healthcare",0.5611295,2357.0,"unlimited vacation , hybrid schedule , healthcare"
3763,3763,Panasonic Avionics Corporation,8/8/2021,-,5.0,-,United States,benefits,objective,neutral,,401k match 50 % contribution 8 % salary .,0.8153649,2385.0,401k match 50 % contribution 8 % salary .
3784,3784,Panasonic Avionics Corporation,18/2/2021,-,5.0,-,United States,benefits,objective,neutral,,panasonic avionics offer 401k plan matching contribution,0.8148208,2406.0,panasonic avionics offer 401k plan matching contribution
3803,3803,Panasonic Avionics Corporation,10/8/2020,-,5.0,-,United States,benefits,objective,neutral,,"401 k , life insurance , health , dental , tuition ....",0.7773854,2425.0,"401 k , life insurance , health , dental , tuition ...."
3856,3856,Panasonic Avionics Corporation,14/1/2017,-,5.0,-,United States,benefits,objective,neutral,,"many good benefit , lack mentorship program . 401k match top compare company industry .",0.487224,2478.0,"many good benefit , lack mentorship program . 401k match top compare company industry ."
3859,3859,Panasonic Avionics Corporation,17/11/2016,-,5.0,-,United States,benefits,objective,neutral,,401 100 percent match year ago change,0.61359483,2481.0,401 100 percent match year ago change
3879,3879,Panasonic Avionics Corporation,24/8/2015,-,1.0,-,United States,benefits,objective,neutral,,could temp 3 year one make .,0.5534698,2501.0,could temp 3 year one make .
3894,3894,Panasonic Avionics Corporation,11/2/2015,-,5.0,-,United States,benefits,objective,neutral,,"health insurance best 've ever . company pay contribution small . also cover alternative health care acupuncture , chiropractic , massage therapy , naturapathic medicine .",0.48250633,2516.0,"health insurance best 've ever . company pay contribution small . also cover alternative health care acupuncture , chiropractic , massage therapy , naturapathic medicine ."
6069,6069,Panasonic Avionics Corporation,22/10/2019,Incompetence at the highest level,1.0,Not Disclosed,Singapore,reviews,objective,neutral,,"pro : benefit decent . fair pay . good work/life balance . location .. con : market share shrink rapid pace . overstaffed desperate need large layoff , instead opt incremental reduction avoid california warn requirement .",0.63685393,4691.0,"pro : benefit decent . fair pay . good work/life balance . location .. con : market share shrink rapid pace . overstaffed desperate need large layoff , instead opt incremental reduction avoid california warn requirement ."
6078,6078,Panasonic Avionics Corporation,1/10/2022,great company,5.0,Maintenance Services Representative,"San Francisco, CA",reviews,objective,neutral,,"pro : hire immediately , improve career . con : n't license , salary low",0.8933185,4700.0,"pro : hire immediately , improve career . con : n't license , salary low"
6082,6082,Panasonic Avionics Corporation,2/10/2022,"Looked Good, but OH MY!",1.0,Program Administrator,,reviews,objective,neutral,,"pro : great benefit , decent team member .. con : terribly document conflict training . manually intensive work instruction guideline . like deal 19th century business practice . management becomes defensive challenge conflict instruction .",0.5242889,4704.0,"pro : great benefit , decent team member .. con : terribly document conflict training . manually intensive work instruction guideline . like deal 19th century business practice . management becomes defensive challenge conflict instruction ."
6088,6088,Panasonic Avionics Corporation,16/8/2022,Getting left behind,5.0,Sr. Engineer,,reviews,objective,neutral,,"pro : good work environment , good middle management . con : industry change fast , hard time keep , dependent economic factor business plan",0.9100347,4710.0,"pro : good work environment , good middle management . con : industry change fast , hard time keep , dependent economic factor business plan"
6090,6090,Panasonic Avionics Corporation,12/8/2022,Great company to work for!,5.0,product quality staff engineer,"Irvine, CA",reviews,objective,neutral,,pro : people friendly flexible work hour nice office give big bonus ( base performance company revenue ) . con : merit increase little low .,0.85589576,4712.0,pro : people friendly flexible work hour nice office give big bonus ( base performance company revenue ) . con : merit increase little low .
6095,6095,Panasonic Avionics Corporation,7/7/2022,Great department,5.0,Media Manager,,reviews,objective,neutral,,pro : lot room growth great management .. con : transition office in-office make work process difficult .,0.86364657,4717.0,pro : lot room growth great management .. con : transition office in-office make work process difficult .
6099,6099,Panasonic Avionics Corporation,20/6/2022,msr,5.0,Member Service Representative I (MSR I),"San Francisco, CA",reviews,objective,neutral,,pro : good benefit good insurance good work culture easy work good co worker . con : low pay little/no pay raise little differntial pay odd shift not much room grow undermanned,0.703307,4721.0,pro : good benefit good insurance good work culture easy work good co worker . con : low pay little/no pay raise little differntial pay odd shift not much room grow undermanned
6103,6103,Panasonic Avionics Corporation,18/7/2022,company needs a restructuring,1.0,Anonymous Employee,"Lake Forest, CA",reviews,objective,neutral,,"pro : good health benefit 401k plan . con : huge disconnect sale engineering , management not know , work frustrating",0.6164707,4725.0,"pro : good health benefit 401k plan . con : huge disconnect sale engineering , management not know , work frustrating"
6112,6112,Panasonic Avionics Corporation,13/5/2022,The Langley facility was the best place to be,5.0,Certifying Staff,"Langley, England",reviews,objective,neutral,,"pro : flexible timing , helpful staff , well organise , good manager , good work ethic .. con : employee tend stick even good opportunity outside panasonic avionics corporation ( langley )",0.5866936,4734.0,"pro : flexible timing , helpful staff , well organise , good manager , good work ethic .. con : employee tend stick even good opportunity outside panasonic avionics corporation ( langley )"
6122,6122,Panasonic Avionics Corporation,1/5/2022,Architect,1.0,Architect,,reviews,objective,neutral,,pro : new management post pandemic growth . con : date technology management,0.91387546,4744.0,pro : new management post pandemic growth . con : date technology management
6143,6143,Panasonic Avionics Corporation,13/2/2022,Career Growth,1.0,Finance Manager,"Irvine, CA",reviews,objective,neutral,,pro : great place learn diverse product business . con : absolutely no growth even verbally promise .,0.7012066,4765.0,pro : great place learn diverse product business . con : absolutely no growth even verbally promise .
6150,6150,Panasonic Avionics Corporation,11/12/2021,Perfect place to work in,5.0,Warehouse Operative,Dubai,reviews,objective,neutral,,pro : follow international standard healthy work environment .. con : lack freedom speak stagnant growth career orient .,0.9056738,4772.0,pro : follow international standard healthy work environment .. con : lack freedom speak stagnant growth career orient .
6152,6152,Panasonic Avionics Corporation,28/11/2021,Great place to work!,5.0,Program Administrator II,"Irvine, CA",reviews,objective,neutral,,pro : good work environment . people helpful friendly . fully work home soon transition hybrid .. con : aviation industry highly affected pandemic lot talent let go . company much effort steady recovery take year .,0.6146798,4774.0,pro : good work environment . people helpful friendly . fully work home soon transition hybrid .. con : aviation industry highly affected pandemic lot talent let go . company much effort steady recovery take year .
6164,6164,Panasonic Avionics Corporation,8/10/2021,Entry level salary,5.0,Maintenance Service Representative,"Fort Worth, TX",reviews,objective,neutral,,"pro : panasonic good benefit , 401k , health insurance . con : overall company posse , good étique",0.6755082,4786.0,"pro : panasonic good benefit , 401k , health insurance . con : overall company posse , good étique"
6169,6169,Panasonic Avionics Corporation,9/9/2021,A fine company to work for.,5.0,Financial Analyst,,reviews,objective,neutral,,pro : good benefit . employee treat fairly .. con : growth advancement slow .,0.79219764,4791.0,pro : good benefit . employee treat fairly .. con : growth advancement slow .
6175,6175,Panasonic Avionics Corporation,3/9/2021,Good,5.0,Marketing,"Lake Forest, CA",reviews,objective,neutral,,pro : great company work .. con : challenge time industry covid-19,0.6935165,4797.0,pro : great company work .. con : challenge time industry covid-19
