,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
112,112,Recruit Express,2013-08-02,"Childish, school-liked , unethical & unprofessional environment",1.0,Consultant,Singapore,reviews,subjective,negative,en,"pro : commission good u make sale , however , give current recruitment industry lot recruitment firm also pay commission scheme . u like environment focus play , fight surround kid gossipy mother , definitely environment . con : unethical practice , hr team not know hr process lack updated mom rule regulation hr like gossip behind employee , ceo love dig personal life u not good book , no matter much $ u earn company still find way criticize u. employee allow behave childishly , criticism pas personal comment attack others . survive , u need join clan behave similarly like rest gossip criticize . lot cat fight employee unneccessary long meeting discuss non- work related issue . unless u presentable ceo book , n't even think get praise hard work . promotion base timing ceo like u , u promote rapidly . company hire lot temporary recruitment consultant `` help `` sale hot period , actually fill gap coz many `` manager `` one subordinate omo .",0.94456,,
119,119,Recruit Express,2020-03-02,Non appreciative environment,1.0,Recruitment Consultant,,reviews,subjective,negative,en,"pro : good start place fresh grad learn rope . con : ceo tskes thing grant . well dont mind severely underpaid thing take . incentive pay not transparent , not surprise tell contribute employer 's cpf behalf .",0.875826,,
178,178,Recruit Express,2017-01-04,Recruit Express Malaysia - Real scenario,1.0,Recruiter,Kuala Lumpur,reviews,subjective,negative,en,"pro : -fun colleague -strategic office location bukit bintang -can learn lot thing recruitment . con : -very manual base company lot paperwork no system database store candidate detail -call candidate collect database although no real vacancy -need share pc consultant no proper workstation -not transparent term incentive calculation ( consultant not know formula ) -commission consultant not get pay client pay 3rd month -very high target set paycut 20 % n't hit target -a lot people wont stay long company turnover rate high -expect stay back typical mentality ( longer stay back , hardworking ) . people stay back nothing office want escape traffic jam -lady bos like judge sometimes look people . -currently 5 consultant .",0.9128506,,
206,206,Recruit Express,2015-02-13,worst company i joined.,1.0,Recruitment Consultant,Singapore,reviews,subjective,negative,en,"pro : monetary good search firm provide much good .. con : bos company j one rude old lecher . love talk big pass wrong value manager consultant . comment not waste time indian malay candidate useless . not waste time join . resign confirmation , require serve 2 week notice pay 2 week salary 'training ' cost no training give . good search firm . cheater company candidate , company employee .",0.9307742,,
215,215,Recruit Express,2019-06-20,It was the worst job/practices I’ve ever experienced.,1.0,Human Resources,"Jurong East New Town, ",reviews,subjective,negative,en,"pro : isn ’ much pro start . colleague ok , salary fluctuates due sale nature . common trait easily industry .. con : unethical - dump job candidate fulfill quota commission . could also mean possibility applicant bad fit , practice shove nevertheless . applicant unsuccessful fussy interview , move next target leave hang . nature , tendency force applicant take whatever job dish , want cooperation . fast pace seem like result matter , no one go question . not much guidance well , ‘ survive ’ good not , next good player .",0.9305991,,
390,390,Recruit Express,2021-06-26,Don’t bother to consider RE,1.0,Recruiter,,reviews,subjective,negative,en,"pro : , without eye open experience win ’ believe current time still culture practice .. con : take consideration full timer . apply 80/20 rule , 2nd month 3rd month doesn ’ hit target 3times payroll cost , deduct 20 % salary . well , technically ’ legal . put 80 % basic 20 % deductible component mom term loa . lucky , get take employment license early engage deal permanent role hit kpi . not , good luck ! handle contract role . besides commission per contract role $ 8 . addition , feel don ’ well kpi . win ’ confirm regardless many month . , resign 2weeks notice 2weeks penalty . deem penalty company loss term training cost . actual fact , no proper training provide . job training sale talk session ceo . recover 2weeks salary . short , losing end don ’ sound hr . anw , hr team also useless . “ yes ” man mode . no point . maybe try complain mom ? another side lack resource , consultant share computer use general email address . pathetic much . guess , quite sale drive distinct culture work . hence , glad didn ’ stay long recognise not sale material . thanks mr sim look . wouldn ’ . thank .",0.9138247,,
813,813,Recruit Express,2019-01-01,Not a Place to Stay Long,1.0,Consultant,,reviews,subjective,negative,en,pro : - good colleague - place learn 360 recruitment . con : high turnover rate - say hr briefing not apply company - no system key candidate detail -no system save client list ( might encounter repeat call client ) - procedure manual take long time complete - 2 1 share computer practice- not efficient work - minimal training provide expect know everything- need catch fast unless lecture - minimum benefit new comer . benefit entitle confirmation - probation minimum 6 month go 1 year get 20 % paycut ’ hit sale - ot must - poor management system - need work saturday no air-con provide,0.9170725,,
900,900,Recruit Express,2018-01-27,Exploiting its people,1.0,Senior Executive,Singapore,reviews,subjective,negative,en,"pro : - . con : - no work-life balance - contract sign real working duration day different . - micro manage - unsympathetic ceo director , sarcastic word - benefit decrease year - company doesn ’ practise preach",0.86646765,,
943,943,Recruit Express,2020-10-03,STUPID MANAGEMENT,1.0,Senior Recruitment Consultant,Singapore,reviews,subjective,negative,en,"pro : not single positive review . con : management team suck . expect work like dog every single day . people stay long repetitive work cold call candidate find new client . ’ . always like groom professional , show ! . would show much earn look people . fact not skillful industry anyways . work 10 year earn 4k-5k . traditional mindset . idiotic management ! reason position commitment company not ability skill . front act like nice . obnoxious company full toxic people . overwork underpaid ! regret join company .",0.93512154,,
946,946,Recruit Express,2016-02-16,HR intern,1.0,,,reviews,subjective,negative,en,"pro : bos encourage nice , fast pace time pas v fast . con : erm not sure company go bankrupt soon 3 people share one outdated computer , chair also not enough , meeting room also not enough . 5 people one phone line . extremely profit driven company okay give us lousy equipment work want us . big bos also quite 'tiko ' pretty girls please beware ! ! ! ! stay far far away !",0.8898227,,
