,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
135,135,Resorts World Sentosa,2021-01-23,Part time,5.0,Casual,Singapore,reviews,objective,neutral,en,pro : flexible work schedule friendly colleague . con : management sometimes may side guest even though follow sop,0.9106116,,
418,418,Resorts World Sentosa,2022-04-23,SDL Machine Translation and Iconic Translation...,5.0,Machine Learning Engineer,,reviews,objective,neutral,en,"pro : design implement solution interest problem intersection ai software engineering .... con : improve quality machine translation model across wide range language develop state-of-the-art adaptation capability , include technique life-long learning build improve machine translation quality .",0.8940049,,
520,520,Resorts World Sentosa,2015-04-12,Facility Engineer for Universal Studio Singapore,5.0,Anonymous Employee,,reviews,objective,neutral,en,"pro : best work facity engineer , alot challanging engineerng job keep theme park presentable condition guest . con : need imrove alot system harden facility system .",0.7678028,,
760,760,Resorts World Sentosa,2021-04-01,Happy people working,5.0,Sales Associate,Singapore,reviews,objective,neutral,en,"pro : wonderful people around park .. con : manager unforgiving , don ’ know .",0.6791226,,
985,985,Resorts World Sentosa,2020-07-16,a big family,5.0,Senior Cashier,Singapore,reviews,objective,neutral,en,pro : good benefit salary not bad . con : far good lah,0.549355,,
1116,1116,Resorts World Sentosa,2019-01-02,Not a healthy place,1.0,Anonymous Employee,,reviews,objective,neutral,en,pro : lot exposure work integrated resort .. con : extreme slim chance career advancement opportunity .,0.91320145,,
1159,1159,Resorts World Sentosa,2021-06-20,not bad,5.0,Aquatic Safety Attendant,Singapore,reviews,objective,neutral,en,pro : pretty chill job water . con : far inconvenient,0.48802245,,
1196,1196,Resorts World Sentosa,2021-09-01,-,5.0,Ride Attendant,,reviews,objective,neutral,en,pro : meet nice people ( team member & visitor ) . con : meet unpleasant people ( visitor ),0.8092346,,
4289,4289,Resorts World Sentosa,13/6/2021,-,1.0,-,Singapore,benefits,objective,neutral,,"not much look forward 's come mnc company . not many career progression ,",0.7122816,2911.0,"not much look forward 's come mnc company . not many career progression ,"
4313,4313,Resorts World Sentosa,15/10/2020,-,5.0,-,Singapore,benefits,objective,neutral,,"health insurance , maternity leave , annual leave , off-in-lieu , paternity leave , work home , employee discount , free meal",0.6174496,2935.0,"health insurance , maternity leave , annual leave , off-in-lieu , paternity leave , work home , employee discount , free meal"
4319,4319,Resorts World Sentosa,12/6/2020,-,5.0,-,Singapore,benefits,objective,neutral,,"benefit consist park admission , staff discount f & b outlet around rws preview halloween horror night",0.4913771,2941.0,"benefit consist park admission , staff discount f & b outlet around rws preview halloween horror night"
4323,4323,Resorts World Sentosa,1/1/2020,-,5.0,-,Singapore,benefits,objective,neutral,,"free staff meal , medical ( co-pay 10 % ) , dental ( cap $ 150 ) , discount shop n restaurant , free ticket personal use discount ticket family & friend ( blackout period )",0.5829573,2945.0,"free staff meal , medical ( co-pay 10 % ) , dental ( cap $ 150 ) , discount shop n restaurant , free ticket personal use discount ticket family & friend ( blackout period )"
