,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
101,101,Resorts World Sentosa,2015-05-31,"A place for JOB, not career",1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : adequate benefit like staff meal , company transport , free ticket etc fun helpful co-worker , impressionable student . con : progression non-existent , staff look apply internal opening management side guest not actively protect staff pay miserable level commitment expect poor work-life balance annual salary increment high turnover , good not socialise much co-worker",0.63863677,,
272,272,Resorts World Sentosa,2021-11-25,No Career Progression,1.0,Anonymous Employee,,reviews,subjective,negative,en,pro : enjoy attraction perk . 's .. con : certain department hire foreign talent refuse create career progression local talent . instead director department thinking get rid local talent keep high pay job .,0.74920356,,
311,311,Resorts World Sentosa,2022-03-20,Rundown,1.0,FME,"Warminster, PA",reviews,subjective,negative,en,"pro : free meal , understand bos particular department .. con : bad workplace team keep info ’ drown alone , ’ hot small team walk whole rws . no workbench service item , no desktop access intranet . paper filing water shut shower director instruction equipment rundown want save electrical bill . director leave rws kpi gain . backstabbing place want free drink buy . place laugh stock . hope change mindset . engineer no hand approach . never go day . increment joke hardship daily . prepare take old rusty equipment find tool job .",0.9477701,,
313,313,Resorts World Sentosa,2019-01-01,"Only ""big"" in name but operating like an SME.",1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : 1. great level colleague middle management try understand guide along . 2. decent exposure due diverse business nature .. con : 1. long working hour inflexible working schedule . 2. top management little input ground level . 3. political infighting even amount senior management . 4. indecisiveness , massive change make constantly due lack clear vision goal .",0.7168145,,
405,405,Resorts World Sentosa,2021-10-31,Good experience!,5.0,Anonymous Employee,,reviews,subjective,positive,en,"pro : fun learn lot deal guest . con : not much con , maybe travel long",0.6323989,,
473,473,Resorts World Sentosa,2022-05-08,Good environment,5.0,Aquatic Safety Attendant,,reviews,subjective,positive,en,pro : - friendly lead - fun positive workmate . con : -,0.7836583,,
513,513,Resorts World Sentosa,2021-11-06,Love it,5.0,Project Executive,,reviews,subjective,positive,en,"pro : able see backend operation see night time park , everyone super friendly work hod friendly .. con : hmmm nothing much .",0.80684257,,
553,553,Resorts World Sentosa,2018-12-17,Best Employer Goes To Them! (NOT),1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : 1. always ask staff purchase product not sell public . last minute desperate measure . 2. dental amount good see dentist year . 3. expect re-organisation every 3-6 month without tell . 4. hr much heart staff n't really bother . 5. must work weekend . expect top management . 6. enjoy belittle management , join ! . con : 1. plenty department within company . 2. generous benefit quite useless . 3. plenty empowerment staff seek approval every step way . 4. stay away .",0.9200258,,
632,632,Resorts World Sentosa,2022-05-23,-,1.0,-,Singapore,benefits,subjective,negative,en,not comprehensive not transparent,0.6703448,,
673,673,Resorts World Sentosa,2020-12-21,-,1.0,-,Singapore,benefits,subjective,positive,en,benefit staff meal cut,0.54363406,,
738,738,Resorts World Sentosa,2022-03-22,Lack of transparency,1.0,Manager,,reviews,subjective,negative,en,pro : free food staff cafeteria . con : non-existent communication leadership team hr re-organisation . change implement sake top management decision no clear purpose .,0.7980581,,
817,817,Resorts World Sentosa,2021-05-28,Not bad,5.0,Anonymous Employee,,reviews,subjective,positive,en,pro : cool workplace . con : meh everything alright guess,0.74392563,,
923,923,Resorts World Sentosa,2022-01-10,Do not join! Very high turnover rate,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : large company infinite department . con : senior management verbally abusive prone change mind . constant restructuring transferring team leader around , extremely disruptive work . rank file staff treat liability instead asset . cliqueish gossipy environment . mostly cantonese-speaking due high number malaysian pr",0.9178429,,
935,935,Resorts World Sentosa,2019-09-21,Down trending work place,1.0,,,reviews,subjective,negative,en,"pro : free preview ticket occasion . con : insufficient people amount work need doesn ’ care high turnover rate office bully exist , care less people feel health overtime everyday weekend work require",0.87478626,,
1002,1002,Resorts World Sentosa,2022-05-22,-,1.0,-,Singapore,benefits,subjective,positive,en,ticket discount worth mention,0.58571744,,
1089,1089,Resorts World Sentosa,2013-04-04,Frustrated working for Resorts World Sentosa,1.0,Senior IT Executive,Singapore,reviews,subjective,negative,en,"pro : good benefit compensation like 30 % discount theme park provide feel meal . con : lazy work environment , employee n't initiative ( n't kick , n't move ) , weak middle management , employee play game work hour , rude co-worker .",0.7801292,,
1204,1204,Resorts World Sentosa,2019-11-14,Poor in-house Creative,1.0,Creative,Singapore,reviews,subjective,negative,en,"pro : call kampong spirit .. con : highly bureaucratic , fearful environment , actively practice favouritism . lousy marketing creative ever .",0.7596658,,
1224,1224,Resorts World Sentosa,2013-03-20,Not the kind of culture I was looking for,1.0,Executive,Singapore,reviews,subjective,negative,en,pro : get learn alot set phrase . con : bad culture people see hardworking work really late despite inefficient,0.7308178,,
1229,1229,Resorts World Sentosa,2020-01-11,Worst Ever company,1.0,Commis Pastry,,reviews,subjective,negative,en,"pro : pro free ticket attraction , discount restaurant . con : bad management , salaries bad unfair employee work long time.ot not even correctly pay ! !",0.8950584,,
1244,1244,Resorts World Sentosa,2021-08-24,nah,1.0,Table Games Dealer,Singapore,reviews,subjective,negative,en,pro : free meal medical discount . con : poor management wrong way business,0.7603444,,
1296,1296,Resorts World Sentosa,2022-04-20,life at rws,1.0,Lifeguard,,reviews,subjective,negative,en,"pro : staff benefit , meal uniform . con : toxic , terrible work culture , general toxic water park",0.8118635,,
1327,1327,Resorts World Sentosa,2022-03-12,Don't bother if the bosses don't bother,1.0,Anonymous Employee,,reviews,subjective,negative,en,pro : great colleague well 50 % perk . con : boss ridiculous selfish think not people,0.59160334,,
