,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
341,341,SMRT,2021-04-27,Sallary and benefits,5.0,Bus Captain,"Ang Mo Kio New Town, ",reviews,objective,neutral,en,"pro : good sallary package , benefit , bonus . con : long work hour , shif , short break time",0.8103484,,
396,396,SMRT,2018-08-17,"Good learning environment and great colleagues, need more experienced leaders though",5.0,Human Resources Manager,Singapore,reviews,objective,neutral,en,pro : work flexibility understanding boss . con : need drive productivity under-used depts,0.9351695,,
416,416,SMRT,2022-07-21,OK job,1.0,Assistant Station Manager,Singapore,reviews,objective,neutral,en,pro : nothing much . no takeway work . con : hard get leaf . must find coverage,0.8362065,,
430,430,SMRT,2019-02-04,Mechanical Technician,5.0,Locomotive Technician,"Bishan New Town, ",reviews,objective,neutral,en,pro : able work independently also team player willingness learn senior staff part team company . con : ca n't talk malay language,0.9088159,,
447,447,SMRT,2022-05-03,Executive,5.0,Executive,,reviews,objective,neutral,en,"pro : good manager , bonus benefit . con : slow progression pay increment",0.8917359,,
1302,1302,SMRT,2021-12-05,"Slow career progression, low basic salary",1.0,Anonymous Employee,,reviews,objective,neutral,en,pro : good co worker stable job even pandemic stable bonus payout around 2-3 month . con : slow progression avg basic salary payout unfair pay amount job assign,0.6835356,,
4582,4582,SMRT,28/3/2022,-,5.0,-,Singapore,benefits,objective,neutral,,"• entitle aws performance bonus ( performance bonus subject individual ’ company ’ performance ) • 16 day annual leave per calendar year • 2 day elder care leave per calendar year • 21 day sick leave per calendar year , 60 day hospitalization necessary • outpatient medical benefit 15 % co-payment basis general consultation ; company pay 85 % bill , cap $ 600 per calendar year • enhance flexible benefit $ 700 per calendar year • free travel public transport singapore",0.7464116,3204.0,"• entitle aws performance bonus ( performance bonus subject individual ’ company ’ performance ) • 16 day annual leave per calendar year • 2 day elder care leave per calendar year • 21 day sick leave per calendar year , 60 day hospitalization necessary • outpatient medical benefit 15 % co-payment basis general consultation ; company pay 85 % bill , cap $ 600 per calendar year • enhance flexible benefit $ 700 per calendar year • free travel public transport singapore"
4589,4589,SMRT,7/2/2022,-,5.0,-,Singapore,benefits,objective,neutral,,"free transport train bus . flexi benefit .. u progress high longer , get - basically u use claim holiday , staycation , health screening , childcare , digital etc ..",0.510853,3211.0,"free transport train bus . flexi benefit .. u progress high longer , get - basically u use claim holiday , staycation , health screening , childcare , digital etc .."
4618,4618,SMRT,18/2/2021,-,5.0,-,Singapore,benefits,objective,neutral,,closely line mom reconmendation,0.7174044,3240.0,closely line mom reconmendation
4621,4621,SMRT,8/1/2021,-,5.0,-,Singapore,benefits,objective,neutral,,free transport yearly 2-5 % increment depend rating .,0.7367396,3243.0,free transport yearly 2-5 % increment depend rating .
4632,4632,SMRT,24/3/2019,-,5.0,-,Singapore,benefits,objective,neutral,,"free travel pas singapore main thing many look forward . medical , travel accomodation claim . still many perk company offer day pas .",0.52833855,3254.0,"free travel pas singapore main thing many look forward . medical , travel accomodation claim . still many perk company offer day pas ."
12144,12144,SMRT,31/7/2022,Good career,5.0,Assistant Engineer,Singapore,reviews,objective,neutral,,pro : good colleague good supervisor . con : 7 work day rotate shift,0.51389056,10766.0,pro : good colleague good supervisor . con : 7 work day rotate shift
12167,12167,SMRT,9/8/2022,Good work balance,5.0,Technical Officer,,reviews,objective,neutral,,"pro : good place retire , recommend not first timer .. con : must top performer recognise",0.8262845,10789.0,"pro : good place retire , recommend not first timer .. con : must top performer recognise"
12196,12196,SMRT,23/6/2022,Review,5.0,Anonymous Employee,,reviews,objective,neutral,,pro : excellent work environment flexible work rest cycle . con : stand job site,0.893321,10818.0,pro : excellent work environment flexible work rest cycle . con : stand job site
12219,12219,SMRT,28/5/2022,Do not recommend,1.0,Sales Coordinator,Singapore,reviews,objective,neutral,,"pro : fair wage , hybrid work mode .. con : efficiency others expense . upper management `` efficient `` mean less work , . prepare marry job . everyone 's concern avoid blame .",0.47836033,10841.0,"pro : fair wage , hybrid work mode .. con : efficiency others expense . upper management `` efficient `` mean less work , . prepare marry job . everyone 's concern avoid blame ."
12240,12240,SMRT,6/3/2022,Executive,5.0,Manager,Singapore,reviews,objective,neutral,,pro : broad exposure engineering maintenance . con : man management tough people,0.9230711,10862.0,pro : broad exposure engineering maintenance . con : man management tough people
12244,12244,SMRT,3/3/2022,Good,5.0,Technical Officer,"Jurong East New Town, ",reviews,objective,neutral,,"pro : good job , many benefit , stable salary . con : low increment , slow progression",0.8520911,10866.0,"pro : good job , many benefit , stable salary . con : low increment , slow progression"
12245,12245,SMRT,7/4/2022,Best company for nightshift work,1.0,Senior Executive,"Tuas, ",reviews,objective,neutral,,pro : long period nightshift work available experience .. con : limited number month nightshift work .,0.9022727,10867.0,pro : long period nightshift work available experience .. con : limited number month nightshift work .
12248,12248,SMRT,25/2/2022,Company Ratings,5.0,Senior Ops Specialist,,reviews,objective,neutral,,pro : sustainable career long run .. con : career path could improve .,0.9184678,10870.0,pro : sustainable career long run .. con : career path could improve .
12256,12256,SMRT,14/2/2022,"Moving People, Enhancing Lives",5.0,Director,,reviews,objective,neutral,,pro : free public transport across operator . con : much red tape no clear leadership,0.8263051,10878.0,pro : free public transport across operator . con : much red tape no clear leadership
12260,12260,SMRT,3/2/2022,,5.0,Assistant Engineer,"Bishan New Town, ",reviews,objective,neutral,,pro : flexible working stable job . con : shift work railway line unavoidable,0.93333906,10882.0,pro : flexible working stable job . con : shift work railway line unavoidable
12275,12275,SMRT,6/1/2022,Good,5.0,Senior Engineer,,reviews,objective,neutral,,pro : good working environment supportive management within division . con : many process within organisation,0.91401446,10897.0,pro : good working environment supportive management within division . con : many process within organisation
12276,12276,SMRT,6/2/2022,Low salary,1.0,Section Manager,,reviews,objective,neutral,,"pro : free transport , work life balance . con : low salary compare outside market also within grade , large disparity salary . hr should review adjust lack progression staff",0.60154337,10898.0,"pro : free transport , work life balance . con : low salary compare outside market also within grade , large disparity salary . hr should review adjust lack progression staff"
12282,12282,SMRT,22/12/2021,Good working environment,5.0,Technical Officer,"Old Kallang Airport Estate, ",reviews,objective,neutral,,pro : good work colleague also supervisor . con : work shift tire lack family time,0.891439,10904.0,pro : good work colleague also supervisor . con : work shift tire lack family time
12290,12290,SMRT,28/11/2021,lol,5.0,Technical Officer,"Bedok New Town, ",reviews,objective,neutral,,pro : good working environment good career progression . con : need good understanding roi,0.84538746,10912.0,pro : good working environment good career progression . con : need good understanding roi
