,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
428,428,SMRT,2022-08-25,Poor culture,1.0,Senior Manager,,reviews,subjective,negative,en,"pro : public transport rebate , work location . con : abusive culture , people development weak , leader not walk talk",0.7251861,,
438,438,SMRT,2022-07-21,Poor recognition workplace,1.0,Senior Assistant Engineer,,reviews,subjective,negative,en,pro : best colleague best work environment best manager n't understand staff . con : bias manager poor recognition super slow promotion,0.8077701,,
523,523,SMRT,2022-03-22,A lot of red tapes,1.0,Engineer Management Associate,,reviews,subjective,negative,en,"pro : high bonus range 3-5 month exclude aws . con : low increment , lot useless people still stay job",0.76123446,,
1125,1125,SMRT,2022-03-22,"Worst place to be, even worst than civil service",1.0,"Senior Manager, Plans",,reviews,subjective,negative,en,"pro : - . con : - misrepresentation jd agree application job start - master delegator director nothing besides `` networking `` official work hour - director not respond submission work hour respond late night require immediate response no matter late night - director prefer give instruction learn purely word instead guide deck handbook - poor mentorship - director threaten employee previous hire fire , terrorize new hire power position - director lazy work instead delegate senior manager manager bidding - senior manager make much low market rate gaslighted thank organization terrible opportunity",0.94622004,,
1166,1166,SMRT,2021-04-19,Take this job if you're masochistic and like being stepped on,1.0,Executive,,reviews,subjective,negative,en,"pro : iron rice bowl . 's .. con : ever-changing job scope senior management hate ground staff ground staff hat senior management middle manager bad place ex-saf regular everywhere , similar saf term style president pay lip service listen grind staff justify deflect everything bring",0.93574715,,
4584,4584,SMRT,21/3/2022,-,5.0,-,Singapore,benefits,subjective,positive,,"king freebie honestly , give many care package almost monthly",0.8068661,3206.0,"king freebie honestly , give many care package almost monthly"
4590,4590,SMRT,13/12/2021,-,5.0,-,Singapore,benefits,subjective,positive,,overtime well take care,0.63067484,3212.0,overtime well take care
4597,4597,SMRT,15/10/2021,-,5.0,-,Singapore,benefits,subjective,positive,,good bonus package . typically 4 mths .,0.8060429,3219.0,good bonus package . typically 4 mths .
4604,4604,SMRT,28/7/2021,-,5.0,-,Singapore,benefits,subjective,positive,,free train bus ride,0.6866745,3226.0,free train bus ride
4608,4608,SMRT,8/7/2021,-,5.0,-,Singapore,benefits,subjective,positive,,"free transportation islandwide , lots annual leave , flexible work shift",0.5924913,3230.0,"free transportation islandwide , lots annual leave , flexible work shift"
4609,4609,SMRT,19/5/2021,-,5.0,-,Singapore,benefits,subjective,positive,,good place,0.82541114,3231.0,good place
4634,4634,SMRT,8/9/2019,-,1.0,-,Singapore,benefits,subjective,positive,,free select public transport ride,0.57255346,3256.0,free select public transport ride
4637,4637,SMRT,20/1/2019,-,1.0,-,Singapore,benefits,subjective,negative,,"no comment . sham singapore , nus ntu ee/eee graduate , please not work .",0.83202267,3259.0,"no comment . sham singapore , nus ntu ee/eee graduate , please not work ."
4641,4641,SMRT,3/1/2018,-,5.0,-,Singapore,benefits,subjective,positive,,one best benefit package company sg . many type leave available . flexible work environment . claim time u prefer not claim ot pay . reliable work colleague boss .,0.60034096,3263.0,one best benefit package company sg . many type leave available . flexible work environment . claim time u prefer not claim ot pay . reliable work colleague boss .
12152,12152,SMRT,14/9/2022,Good Working Environment and Staff,5.0,Traffic Service Controller,,reviews,subjective,positive,,pro : great environment nice colleague work . con : time work hold back,0.49852332,10774.0,pro : great environment nice colleague work . con : time work hold back
12173,12173,SMRT,14/9/2022,Not great,1.0,Management Trainee,"Paya Lebar, ",reviews,subjective,negative,,"pro : free transport stable , wont fire . con : poor salary scheme 1 % increment every time",0.6112872,10795.0,"pro : free transport stable , wont fire . con : poor salary scheme 1 % increment every time"
12177,12177,SMRT,25/7/2022,SMRT Culture is great,5.0,Anonymous Employee,,reviews,subjective,positive,,pro : nice structure easy get thing . con : red tape various process,0.51327145,10799.0,pro : nice structure easy get thing . con : red tape various process
12216,12216,SMRT,4/6/2022,Military Rule,1.0,Assistant Engineer,,reviews,subjective,negative,,"pro : colleague keep right state mind .. con : military environment . employment know cheer full nice old bird cardiac arrest work , ask nicely help print pay slip , not sure . almost cry saw salary $ 1700 . n't even dare ask anything . could n't believe people treat spend year work among salary top management almost 10 time without much knowledge transportation .",0.86914855,10838.0,"pro : colleague keep right state mind .. con : military environment . employment know cheer full nice old bird cardiac arrest work , ask nicely help print pay slip , not sure . almost cry saw salary $ 1700 . n't even dare ask anything . could n't believe people treat spend year work among salary top management almost 10 time without much knowledge transportation ."
12220,12220,SMRT,28/5/2022,Think twice before joining SMRT,1.0,HR-Executive,,reviews,subjective,negative,,"pro : colleague supportive helpful . no pro point worth mention .. con : typical saf style , manage hierarchical company , no work life balance , poor time management deadline give complete certain work , illogical & irrelevant process procedure , backdate management style , 80 % time administrative work .",0.88931966,10842.0,"pro : colleague supportive helpful . no pro point worth mention .. con : typical saf style , manage hierarchical company , no work life balance , poor time management deadline give complete certain work , illogical & irrelevant process procedure , backdate management style , 80 % time administrative work ."
12221,12221,SMRT,22/4/2022,Good company,5.0,Assistant Engineer,"Bishan New Town, ",reviews,subjective,positive,,"pro : step stone , good benefit good company . con : not much look forward",0.84185565,10843.0,"pro : step stone , good benefit good company . con : not much look forward"
12234,12234,SMRT,21/3/2022,Worked in the legal department as an intern,5.0,Intern,,reviews,subjective,positive,,pro : good working environment . nice people .. con : no con . experience smrt good .,0.77456623,10856.0,pro : good working environment . nice people .. con : no con . experience smrt good .
