,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
456,456,ST Aerospace,2021-07-07,Nil,1.0,Technician,Singapore,reviews,objective,neutral,en,pro : medical bonus ok ok ok. con : low salary pay long hour,0.87639815,,
493,493,ST Aerospace,2015-01-14,Aircraft. Mechanic,1.0,Apg Mechanic,,reviews,objective,neutral,en,"pro : work different aircraft occasionally . con : early , late hour , not enough overtime .",0.85568136,,
582,582,ST Aerospace,2016-06-29,APG Mechanic,1.0,Apg Mechanic,"San Antonio, TX",reviews,objective,neutral,en,pro : lot opportunity work area aircraft . learn job train .. con : would not give decent raise direct employee put lot time good work . cent whole dollar .,0.7428141,,
3585,3585,ST Aerospace,9/4/2022,-,1.0,-,Singapore,benefits,objective,neutral,,basic benefit company .,0.7190278,2207.0,basic benefit company .
3594,3594,ST Aerospace,23/6/2019,-,1.0,-,Singapore,benefits,objective,neutral,,benefit average . health benefit give via use pay health package get $ 5 per consultation approve medical clinic . dental package $ 100 per year . professional fee cap $ 150 per year . professional magazine subscription cap approximately $ 100 - $ 120 per yea .,0.73193794,2216.0,benefit average . health benefit give via use pay health package get $ 5 per consultation approve medical clinic . dental package $ 100 per year . professional fee cap $ 150 per year . professional magazine subscription cap approximately $ 100 - $ 120 per yea .
4945,4945,ST Aerospace,20/9/2022,not recommended place for software engineer,1.0,,Singapore,reviews,objective,neutral,,pro : work life balance manageable work load . con : no challenging . repeat work old school,0.89348173,3567.0,pro : work life balance manageable work load . con : no challenging . repeat work old school
4956,4956,ST Aerospace,20/6/2022,Working a lot,1.0,Aircraft Maintenance Technician,"Paya Lebar,",reviews,objective,neutral,,"pro : many ots make money . con : low basic salary need ot , lots work ..",0.9085402,3578.0,"pro : many ots make money . con : low basic salary need ot , lots work .."
4964,4964,ST Aerospace,21/3/2022,Good,5.0,Anonymous Employee,,reviews,objective,neutral,,"pro : experience good , alot learn . con : location quite far town",0.6779337,3586.0,"pro : experience good , alot learn . con : location quite far town"
4975,4975,ST Aerospace,26/10/2021,great working enviroment,5.0,Material Coordinator,"Changi Village,",reviews,objective,neutral,,pro : work environment really good . con : expect salary low,0.49138603,3597.0,pro : work environment really good . con : expect salary low
5002,5002,ST Aerospace,16/4/2021,Non supportive management,1.0,Operation Executive,,reviews,objective,neutral,,pro : used share purchase program serf force saving . no longer available . con : basic pay low . require perform least 3 man 's job draw 1 man low pay salary,0.7027565,3624.0,pro : used share purchase program serf force saving . no longer available . con : basic pay low . require perform least 3 man 's job draw 1 man low pay salary
5007,5007,ST Aerospace,21/12/2020,Good company to grow,5.0,Engineering,,reviews,objective,neutral,,pro : good company . con : give quite low salary,0.51173335,3629.0,pro : good company . con : give quite low salary
5009,5009,ST Aerospace,31/12/2020,No welfare,1.0,Licensed Aircraft Engineer,Singapore,reviews,objective,neutral,,"pro : good pay job compare company . con : no welfare , long work hour",0.7813775,3631.0,"pro : good pay job compare company . con : no welfare , long work hour"
