,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
260,260,ST Aerospace,2017-04-03,Good company if you want to retire but no chance for advancement. Everyone is too comfortable in here.,1.0,Assistant Engineer,Singapore,reviews,subjective,negative,en,pro : opportunity work old aircraft work experienced engineer . stable job n't fire employee . exposure many old aircraft .. con : poor management . self centered management . bad employee welfare . alot favoritism . 1 min ask employee ot next minute ask employee take flexi/ annual leave . no chance career advancement management .,0.9047769,,
376,376,ST Aerospace,2022-01-03,Workplace,1.0,Quality Inspector,Singapore,reviews,subjective,negative,en,pro : job scope alright everything order . good step stone .. con : lot people keep pressure fast you‚äôre work alone handle lot task no one help . force ot everyday task already finish . toxic environment lot politics . no progression no work life balance .,0.8314712,,
3583,3583,ST Aerospace,12/10/2021,-,5.0,-,Singapore,benefits,subjective,positive,,good bonus good time,0.8331736,2205.0,good bonus good time
3586,3586,ST Aerospace,20/9/2021,-,5.0,-,Singapore,benefits,subjective,positive,,great bonus shift allowance,0.84989023,2208.0,great bonus shift allowance
3599,3599,ST Aerospace,5/3/2019,-,1.0,-,Singapore,benefits,subjective,negative,,nothing great n no awareness,0.47134018,2221.0,nothing great n no awareness
3600,3600,ST Aerospace,7/9/2018,-,1.0,-,Singapore,benefits,subjective,positive,,ideal place people love play politics much .political place,0.7631291,2222.0,ideal place people love play politics much .political place
4938,4938,ST Aerospace,25/10/2020,Great,5.0,Technician,Singapore,reviews,subjective,positive,,pro : great work environment good place work study micromanages . con : qualification matter alot . plenty politics,0.5394252,3560.0,pro : great work environment good place work study micromanages . con : qualification matter alot . plenty politics
4957,4957,ST Aerospace,9/6/2022,"Low Pay, High workload",1.0,Assistant Engineer,,reviews,subjective,negative,,pro : stable job not get retrench . con : pay super low growth non existent no connection .,0.5758429,3579.0,pro : stable job not get retrench . con : pay super low growth non existent no connection .
5005,5005,ST Aerospace,17/3/2021,Never work for this company,1.0,Logistic Supervisor,Singapore,reviews,subjective,negative,,pro : none pro .. con : management like manager director completely incompetent job . resort shout threat threaten subordinate get job . level threat extreme . threat n't work use fear ! ! ! employee treat like manure .,0.9337173,3627.0,pro : none pro .. con : management like manager director completely incompetent job . resort shout threat threaten subordinate get job . level threat extreme . threat n't work use fear ! ! ! employee treat like manure .
5006,5006,ST Aerospace,27/2/2021,Fresh guys don't come here,1.0,Aircraft Technician,,reviews,subjective,negative,,"pro : none , join risk .. con : many talk . micro management , poor salary .",0.6849473,3628.0,"pro : none , join risk .. con : many talk . micro management , poor salary ."
5039,5039,ST Aerospace,19/3/2019,More cons than pros,1.0,,,reviews,subjective,negative,,pro : work life balance . executive employee benefit ok .. con : not graduate local university „ äådo n't join low ball . n't take account past experience attainment bachelor degree . start pay like diploma holder . however „ äåexpectations like degree holder . old staff skivers comfy unwilling take responsibility take people always get job . end day „ äåall get grade appraisal .,0.86588526,3661.0,pro : work life balance . executive employee benefit ok .. con : not graduate local university „ äådo n't join low ball . n't take account past experience attainment bachelor degree . start pay like diploma holder . however „ äåexpectations like degree holder . old staff skivers comfy unwilling take responsibility take people always get job . end day „ äåall get grade appraisal .
5065,5065,ST Aerospace,22/8/2017,Technical Specialist,1.0,Technical Specialist,Singapore,reviews,subjective,negative,,"pro : good learning environment friendly colleague . con : hr / management not value staff , free go whenever not happy . low yearly increment bonus appraisal depend 're favorite club",0.6781437,3687.0,"pro : good learning environment friendly colleague . con : hr / management not value staff , free go whenever not happy . low yearly increment bonus appraisal depend 're favorite club"
5082,5082,ST Aerospace,30/3/2016,Don't join unless you wanna to retire there,1.0,Licensed Aircraft Engineer,"Seletar,",reviews,subjective,negative,,"pro : place retirement , place train , like army camp . con : low salary , lousy management , messy workplace , little welfare benefit . many say .",0.6798026,3704.0,"pro : place retirement , place train , like army camp . con : low salary , lousy management , messy workplace , little welfare benefit . many say ."
5096,5096,ST Aerospace,20/10/2014,A mess,1.0,Licensed Aircraft Engineer,Singapore,reviews,subjective,negative,,"pro : staff walk life , many mean well friendly / easy work . con : inflexible hr personnel unable unwilling anything not directly state sop . favoritism management select staff also result unbalance work environment . middle management tends hide butter thing report top . enforcement `` flexi-time `` no work available project manager want download men . call flexi time mean force go leave pay company back overtime .",0.92049104,3718.0,"pro : staff walk life , many mean well friendly / easy work . con : inflexible hr personnel unable unwilling anything not directly state sop . favoritism management select staff also result unbalance work environment . middle management tends hide butter thing report top . enforcement `` flexi-time `` no work available project manager want download men . call flexi time mean force go leave pay company back overtime ."
5101,5101,ST Aerospace,11/5/2014,av engineer,1.0,Anonymous Employee,,reviews,subjective,positive,,"pro : nothing good u work system . nothing think seriously . good u old experience . con : lot politics , carry ball , malay bos , good luck u. expect u know everything , not fresh graduate",0.51831365,3723.0,"pro : nothing good u work system . nothing think seriously . good u old experience . con : lot politics , carry ball , malay bos , good luck u. expect u know everything , not fresh graduate"
5112,5112,ST Aerospace,2/9/2022,Painter,5.0,Aircraft Painter,,reviews,subjective,positive,,"pro : company good environment great job .. con : should offer health insurance , benefit bonus .",0.5711013,3734.0,"pro : company good environment great job .. con : should offer health insurance , benefit bonus ."
5118,5118,ST Aerospace,28/12/2016,Poorly run organzation,1.0,,,reviews,subjective,negative,,pro : decent pay employee benefit . con : poor leadership nearly senior level . virtually no communication senior management shop personnel . no clear strategic vision . micro-management site leader corporate office . employee treat `` unit production `` rather stakeholder company .,0.8815035,3740.0,pro : decent pay employee benefit . con : poor leadership nearly senior level . virtually no communication senior management shop personnel . no clear strategic vision . micro-management site leader corporate office . employee treat `` unit production `` rather stakeholder company .
