,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
160,160,ST Engineering,2022-07-21,Not worth to come,1.0,Senior Engineer,"Ang Mo Kio New Town,",reviews,subjective,negative,en,"pro : friendly culture fellow engineer ok. con : - company tend ignore engineer go site hands-on work . issue first blame . - department deal classified job , clearance leaving , job pile need go site deployment development . no compensation work , sure engineer continue leave - site without hawker food centre available , engineer travel everyday bring food store hold like salad sandwich , engineer no access fresh food . - yet pay isn⊙t competitive explains not grow compete public company . continue work government job .",0.93439823,,
204,204,ST Engineering,2021-10-12,"ST Engineering Land System.
Doesn't recommend.",1.0,Engineer,Singapore,reviews,subjective,negative,en,"pro : 1. slow relax pace 2. friendly people . con : 1. far behind outside world 2. skill experience gain irrelevant outdated 3. pay increment pathetic 4. simple change improvement workflow culture take forever never . mostly talk no action . 5. quite number engineer incompetence yet arrogant . 6. many mid management zero contribution add no value . n't give direction n't take liability , push low level staff . 7. fresh graduate join leave 2 years ",0.9445772,,
349,349,ST Engineering,2022-09-14,-,5.0,Engineer,"Ang Mo Kio New Town,",reviews,subjective,positive,en,"pro : good well fare , alot internal benefit . con : cant think con",0.8131279,,
353,353,ST Engineering,2022-01-29,Flying with a skeleton crew,1.0,Engineer,,reviews,subjective,negative,en,"pro : n't mind condition , get along quite lot mediocrity without fear reprisal government-industrial complex stability , n't upset bigwig 'll fine . claim family orient . normally wo n't touch holiday .. con : low recognition benefit , low compensation . invert pyramid hierarchy . date thinking . get use pointless thing superior `` look good `` . weak growth opportunity . self-fulfilling fetish scholar . workforce become transitory . colleague probably lack experience , get retrench contracted-service . no loyalty camaraderie . lot layer middle management . boss expect give family time urgent issue jeopardise family time . lot armchair general shadow ruler politics",0.9385786,,
364,364,ST Engineering,2021-06-15,Airman Training Program,1.0,Aircraft Mechanic Trainee,"Pensacola, FL",reviews,subjective,negative,en,"pro : get pay learn job , actually work .. con : no urgency program , incoming trainee tell would 18 month program still train 2 year . program leadership unaware situation . no guarantee get license testing .",0.76456034,,
491,491,ST Engineering,2021-06-19,Please stay away,1.0,Technical Manager,Singapore,reviews,subjective,negative,en,pro : none nothing comment company . please stay away .. con : need covet 10 people n't hire,0.6390686,,
517,517,ST Engineering,2021-06-15,Great Learning Experience,5.0,Senior Internal Auditor,Singapore,reviews,subjective,positive,en,pro : colleague also friend . big team . nice boss well . seldom ot . audit work program really detailed . good place build solid foundation process control . wide variety opportunity audit .. con : compensation . not much flexibility work hour .,0.75637335,,
646,646,ST Engineering,2022-05-10,-,5.0,-,United States,benefits,subjective,positive,en,"really good medical insurance , good pto",0.8514384,,
795,795,ST Engineering,2022-08-08,Toxic HR environment + Poor salary for current HR and other employees,1.0,Senior HR-Executive,"Seletar,",reviews,subjective,negative,en,"pro : no pro share . con : - high turnover rate every week position - toxic hr environment culture - company give excuse not adjust poly uni grad salary - pathetic 1 % annual increment - no progression / opportunity growth - bias appraisal boss - no 360 appraisal unlike establish company - work performance not recognize - team lead no idea work push around subordinate - no work life balance , much workload no one offer help",0.93552923,,
1096,1096,ST Engineering,2020-11-23,Ok workplace,1.0,Software Engineer,,reviews,subjective,negative,en,pro : no pro mention . con : day bad . toxic management .,0.88444704,,
1108,1108,ST Engineering,2022-01-18,little to no direction,1.0,Engineer,,reviews,subjective,positive,en,"pro : high salary , cozy environment , decent people . con : coworkers attitude issue , little no direction work",0.50089276,,
1121,1121,ST Engineering,2022-03-02,Horrible,1.0,Anonymous Employee,,reviews,subjective,negative,en,pro : none . experience move good company .. con : horrible work environment . horrible upper management . ca n't even get hr manager stay .,0.86409336,,
1156,1156,ST Engineering,2013-07-17,"Large, mundane, not a place to stay long in",1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : stable , rarely fire people , provide training , not usually make work weekend late night .. con : boring , pay average , hire even people n't qualify , boss n't much power pay .",0.7482909,,
1216,1216,ST Engineering,2022-07-20,Unknkw,1.0,Engineer,,reviews,subjective,negative,en,pro : poor management poor training . con : super poor management poor training,0.8716773,,
1231,1231,ST Engineering,2021-12-22,Work Experience,1.0,Anonymous Employee,"Sembawang Estate,",reviews,subjective,negative,en,"pro : good colleague , willing help . con : -big disconnect hr , higher-up , -horrible pay -horrible benefit , candidate sacrifice without promise allowance",0.8855232,,
3615,3615,ST Engineering,27/9/2022,-,5.0,-,Singapore,benefits,subjective,positive,,flexible timing good benefit,0.812602,2237.0,flexible timing good benefit
3632,3632,ST Engineering,6/7/2022,-,5.0,-,Singapore,benefits,subjective,positive,,good benefit compensation package overall,0.74170935,2254.0,good benefit compensation package overall
