,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
197,197,SembCorp Marine,2019-03-13,PIPING DESIGNER,5.0,Piping Designer,Singapore,reviews,objective,neutral,en,"pro : sembcorp marine provide innovative engineering solution global offshore , marine energy industry . con : draw upon 50 year track record extensive network facility expertise",0.8780202,,
212,212,SembCorp Marine,2022-04-24,Working Culture,5.0,Engineer,Singapore,reviews,objective,neutral,en,pro : good exposure work large project .. con : work pressure schedule tight .,0.8876159,,
293,293,SembCorp Marine,2021-05-24,N.A.,1.0,Proposal Engineer,"Woodlands New Town, ",reviews,objective,neutral,en,"pro : good corporate structure bonus .. con : delay bonus , gratuity payment . no work/ life balance .",0.8903881,,
298,298,SembCorp Marine,2021-12-09,A day with the engineers,5.0,Admin Assistant,"Tuas, ",reviews,objective,neutral,en,"pro : team work best ! . con : loud , rowdy , male dominance discipline",0.81130916,,
385,385,SembCorp Marine,2021-11-17,No growth,1.0,Engineer,,reviews,objective,neutral,en,"pro : no time , slow pace . con : spend day star space",0.80929226,,
557,557,SembCorp Marine,2019-04-10,Do not bother,1.0,Anonymous Employee,,reviews,objective,neutral,en,pro : like lot malaysian colleague .. con : total waste time work . place true embodiment modern slavery .,0.58530354,,
613,613,SembCorp Marine,2022-08-22,-,5.0,-,Singapore,benefits,objective,neutral,en,c provide many benefit,0.65852547,,
630,630,SembCorp Marine,2019-08-14,-,1.0,-,Singapore,benefits,objective,neutral,en,500 personal flexi & 200 medical year,0.85572004,,
1336,1336,SembCorp Marine,2021-11-04,-,5.0,-,Singapore,benefits,objective,neutral,en,average benefit comparatively others,0.7704291,,
4519,4519,SembCorp Marine,8/3/2022,-,5.0,-,Singapore,benefits,objective,neutral,,"insurance , flexi benefit , child care leave",0.74475586,3141.0,"insurance , flexi benefit , child care leave"
4542,4542,SembCorp Marine,27/3/2019,-,1.0,-,Singapore,benefits,objective,neutral,,no team bond company event . no half day eve major festive celebration,0.6822469,3164.0,no team bond company event . no half day eve major festive celebration
4543,4543,SembCorp Marine,21/3/2019,-,1.0,-,Singapore,benefits,objective,neutral,,place learn not professional career growth .,0.80844665,3165.0,place learn not professional career growth .
4560,4560,SembCorp Marine,7/9/2016,-,1.0,-,Singapore,benefits,objective,neutral,,sgd 400 allowance sgd 200 medical allowance per year,0.78645474,3182.0,sgd 400 allowance sgd 200 medical allowance per year
4561,4561,SembCorp Marine,17/2/2016,-,1.0,-,Singapore,benefits,objective,neutral,,pro medical leave share option annual leave con no shelter provide queue company bus rain 1 canteen,0.7400263,3183.0,pro medical leave share option annual leave con no shelter provide queue company bus rain 1 canteen
11691,11691,SembCorp Marine,12/9/2022,Marain,5.0,Lifting Supervisor,,reviews,objective,neutral,,pro : yes company oil gas ship repair . con : good company take care worker,0.72271353,10313.0,pro : yes company oil gas ship repair . con : good company take care worker
11696,11696,SembCorp Marine,12/9/2022,Good Working Environment,5.0,Administrative Assistant,"Tuas, ",reviews,objective,neutral,,pro : colleague helpful bos understanding flexible . con : salary low get family .,0.93533486,10318.0,pro : colleague helpful bos understanding flexible . con : salary low get family .
