,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
219,219,SembCorp Marine,2020-07-23,Bad company,1.0,Technician,"Sengkang New Town, ",reviews,subjective,negative,en,"pro : work-life balance , clean office , good opportunity study . con : low salary , no bonus , no teamwork , colleague bad mostly foreign worker & expect much low pay worker",0.86268985,,
578,578,SembCorp Marine,2016-11-28,Engineering,1.0,Electrical Engineer,,reviews,subjective,negative,en,pro : big company ! reputation .. con : extremely low salary no proper training . ca n't really find good career path .,0.73154783,,
614,614,SembCorp Marine,2016-08-22,-,1.0,-,Singapore,benefits,subjective,negative,en,"no benefit .. in-house doctor not give mc instead ask rest office even really unwell . no flexible time late , pay cut . company not send external course . conduct house . no motivation get certification life-long learning . stagnate way .",0.92402005,,
1021,1021,SembCorp Marine,2020-03-01,-,5.0,-,Singapore,benefits,subjective,positive,en,best thing get promote easily strive hard work diligently . bonus good company well even period .,0.825123,,
1032,1032,SembCorp Marine,2021-11-05,-,1.0,-,Singapore,benefits,subjective,negative,en,not ideal general,0.5871169,,
1103,1103,SembCorp Marine,2022-09-26,Sucks,1.0,Engineer,"Bedok New Town, ",reviews,subjective,negative,en,"pro : nothing , not recommend . con : no work life balance , poor welfare",0.8361955,,
1178,1178,SembCorp Marine,2022-07-22,Sembcorp Marine,5.0,Project Manager,Singapore,reviews,subjective,negative,en,"pro : boss friendly helpful . con : bad salary , long work hour",0.60080826,,
1203,1203,SembCorp Marine,2020-08-30,Worst employee,1.0,Anonymous Employee,,reviews,subjective,negative,en,pro : brand good resume step stone . con : bad management no grooming staff no standard proper introductory horrible food unbelievable pay,0.8904095,,
1266,1266,SembCorp Marine,2021-04-25,Subtle Racism and Unfair Treatment,1.0,Design Engineer,"Tuas, ",reviews,subjective,negative,en,"pro : basically nothing . free toilet paper hot water drink .. con : subtle racism base nationality skin colour . work unfair treatment towards employee . salary could differ 30 % foreigner , certain type skin colour nationality .",0.8730878,,
1308,1308,SembCorp Marine,2020-01-07,worst company to ever go in,1.0,Commercial,"Tuas, ",reviews,subjective,negative,en,"pro : absolutely nil . please not enter comapny . con : everything imagine terrible working hour , low pay , abusive environment , uncultured uncivilized mentality",0.9061424,,
4509,4509,SembCorp Marine,13/9/2022,-,5.0,-,Singapore,benefits,subjective,positive,,good company work,0.85076904,3131.0,good company work
4516,4516,SembCorp Marine,20/3/2022,-,5.0,-,Singapore,benefits,subjective,positive,,manager take lot responsibility give lot support .,0.7667841,3138.0,manager take lot responsibility give lot support .
4530,4530,SembCorp Marine,17/9/2020,-,1.0,-,Singapore,benefits,subjective,negative,,low pay slow salary increment,0.568184,3152.0,low pay slow salary increment
4533,4533,SembCorp Marine,1/4/2020,-,1.0,-,Singapore,benefits,subjective,negative,,good : good mentor team worst : pantry nothing . work-life balance work-work balance . slow promotion non-competitive pay .,0.6697529,3155.0,good : good mentor team worst : pantry nothing . work-life balance work-work balance . slow promotion non-competitive pay .
4534,4534,SembCorp Marine,4/3/2020,-,1.0,-,Singapore,benefits,subjective,negative,,"basic package 13th month aws , flexiben , work insurance . however poor performance bonus due bad market outlook & g/marine industry .",0.78096217,3156.0,"basic package 13th month aws , flexiben , work insurance . however poor performance bonus due bad market outlook & g/marine industry ."
4546,4546,SembCorp Marine,11/2/2019,-,1.0,-,Singapore,benefits,subjective,negative,,"-they provide medical benefit typical company - worst medical benefit benefit 're provide , except special discount company offer , remove kind bonus everyone",0.8150154,3168.0,"-they provide medical benefit typical company - worst medical benefit benefit 're provide , except special discount company offer , remove kind bonus everyone"
11693,11693,SembCorp Marine,12/10/2022,Project,5.0,Project Manager,,reviews,subjective,positive,,pro : good ’ good workplace . con : not con,0.60118014,10315.0,pro : good ’ good workplace . con : not con
11706,11706,SembCorp Marine,3/9/2022,Salary and work life balance,1.0,Project Engineer,"Sembawang Estate, ",reviews,subjective,negative,,pro : good senior management . .. con : low basic salary ot pay poor work life balance must work weekend,0.60782254,10328.0,pro : good senior management . .. con : low basic salary ot pay poor work life balance must work weekend
11718,11718,SembCorp Marine,26/7/2022,…..,1.0,Supervisor,,reviews,subjective,negative,,pro : salary pay time . con : -toxic culture -expected work ot -expected work weekend -all survival -no work life balance,0.7451,10340.0,pro : salary pay time . con : -toxic culture -expected work ot -expected work weekend -all survival -no work life balance
11721,11721,SembCorp Marine,24/7/2022,Not the best place to work at,1.0,Engineer,"Tuas, ",reviews,subjective,negative,,"pro : • stable job • gain experience • colleague nice friendly ( colleague department say otherwise ) . con : • no properly establish procedure • far , access via company bus . hard get taxi , no nearby bus stop . • company bus must book pay employee ( company pay part , ) • minus salary late • ot pay less half normal hour pay • poor employee benefit • 45 min lunch time • hr hard contact , not reply emails/calls/messages • us old version software . install 2010 ver . microsoft office • get desktop new hire already challenge •often issue , take long time fix",0.90245914,10343.0,"pro : • stable job • gain experience • colleague nice friendly ( colleague department say otherwise ) . con : • no properly establish procedure • far , access via company bus . hard get taxi , no nearby bus stop . • company bus must book pay employee ( company pay part , ) • minus salary late • ot pay less half normal hour pay • poor employee benefit • 45 min lunch time • hr hard contact , not reply emails/calls/messages • us old version software . install 2010 ver . microsoft office • get desktop new hire already challenge •often issue , take long time fix"
11727,11727,SembCorp Marine,13/7/2022,Engineer,1.0,Engineer,,reviews,subjective,negative,,"pro : training ground fresh engineer learn external vendor . con : company culture may not favorable employee expect mutual respect , not value experience employee contribute . internal cross-functional department full conflict . department uphold epc mentality suppress external vendor",0.7905064,10349.0,"pro : training ground fresh engineer learn external vendor . con : company culture may not favorable employee expect mutual respect , not value experience employee contribute . internal cross-functional department full conflict . department uphold epc mentality suppress external vendor"
11740,11740,SembCorp Marine,9/6/2022,Poor top management,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : world class project , always feel cool project report news . con : poor top management strategy hiring , allocate job , evaluate staff . bias nationality race . weak leadership organization structure , production planning , build relationship client .",0.8545856,10362.0,"pro : world class project , always feel cool project report news . con : poor top management strategy hiring , allocate job , evaluate staff . bias nationality race . weak leadership organization structure , production planning , build relationship client ."
11750,11750,SembCorp Marine,3/5/2022,Bad place to work,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : not challenge , low stress . good work life balance . con : poor management , still stick past not willing invest employee equipment",0.70873344,10372.0,"pro : not challenge , low stress . good work life balance . con : poor management , still stick past not willing invest employee equipment"
11765,11765,SembCorp Marine,14/2/2022,good culture,5.0,Anonymous Employee,,reviews,subjective,positive,,pro : working culture good excellent . con : far not find con,0.7600689,10387.0,pro : working culture good excellent . con : far not find con
11771,11771,SembCorp Marine,25/1/2022,worklife,5.0,Senior Materials Coordinator,Singapore,reviews,subjective,positive,,pro : -staffs friendly always helpful -good welfare benefit great worklife balance . con : -can stressful time -bicycle need travel around yard -can far material department main gate,0.77451694,10393.0,pro : -staffs friendly always helpful -good welfare benefit great worklife balance . con : -can stressful time -bicycle need travel around yard -can far material department main gate
11780,11780,SembCorp Marine,29/12/2021,good,5.0,QA/QC Inspector,Singapore,reviews,subjective,positive,,pro : good working envoriment sembcorp marine . con : plesure work good knowldgeble work envoriment day day ship yard differnt type ship come repair upgrade .,0.5276955,10402.0,pro : good working envoriment sembcorp marine . con : plesure work good knowldgeble work envoriment day day ship yard differnt type ship come repair upgrade .
11801,11801,SembCorp Marine,3/11/2021,Great but at the same very bleak,1.0,Assistant Manager,"Tuas, ",reviews,subjective,negative,,"pro : great exposure early career . company ever put young incapable people managerial role lead project . smart one should stay 3 year , learn leave .. con : management feel employee should dedicate life company great company singapore . hypocrisy pinnacle .",0.5000893,10423.0,"pro : great exposure early career . company ever put young incapable people managerial role lead project . smart one should stay 3 year , learn leave .. con : management feel employee should dedicate life company great company singapore . hypocrisy pinnacle ."
11806,11806,SembCorp Marine,16/9/2021,Great Company,5.0,Principal Engineer,,reviews,subjective,positive,,pro : great management lot learn area work .. con : nil . great good,0.7528537,10428.0,pro : great management lot learn area work .. con : nil . great good
