,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
125,125,Surbana Jurong,2021-05-06,Has makings of great company,5.0,General Dogsbody,Asia,reviews,objective,neutral,en,"pro : growth , scale , stability , learn opportunity .. con : legacy issue public n't forget .",0.90788424,,
363,363,Surbana Jurong,2022-08-25,SJ family,5.0,Resident Engineer,Singapore,reviews,objective,neutral,en,pro : work life balance competitive salary variety job . con : mid level management scope work,0.9252057,,
415,415,Surbana Jurong,2022-08-02,Friendly staff,5.0,Computer Programmer,"Colombo, Western",reviews,objective,neutral,en,pro : opportunity expand yoir skill . con : location change yearly lenth travel not sutable everyone,0.9072145,,
434,434,Surbana Jurong,2022-03-27,Most attractive Employee friendly organization,5.0,Senior Manager,,reviews,objective,neutral,en,"pro : opportunity explore skill knowledge , zero tolerance corruption , high standard work environment , easy access top management , supervisor guidance assistance , etc .. con : close monitoring staff activity !",0.86243016,,
562,562,Surbana Jurong,2019-04-09,So so,1.0,Manager,,reviews,objective,neutral,en,pro : nothing comment . no pro . con : no aws bonus year end bonus,0.51772845,,
894,894,Surbana Jurong,2022-06-12,Working experience,1.0,Audio Visual/Video Conference Specialist,,reviews,objective,neutral,en,pro : great benefit good salary scale . con : incompetent manager not listen employee,0.7168716,,
1146,1146,Surbana Jurong,2020-06-08,Internship at Surbana Jurong,5.0,Intern,Singapore,reviews,objective,neutral,en,pro : exposure wide range project . con : mediocre work environment,0.93057585,,
1157,1157,Surbana Jurong,2022-05-14,Flexible but no progress at pay,1.0,Executive Engineer,Singapore,reviews,objective,neutral,en,"pro : flexible work environment , leader approachable . con : slow progress increment",0.9333264,,
1248,1248,Surbana Jurong,2021-11-16,Very good working environment,5.0,Anonymous Employee,,reviews,objective,neutral,en,pro : good workplace competitive environment . con : hierarchical structure difficult rise along heavy politics,0.92742515,,
4676,4676,Surbana Jurong,9/4/2021,-,1.0,-,Singapore,benefits,objective,neutral,,no best . best benefit already take away,0.4512006,3298.0,no best . best benefit already take away
4677,4677,Surbana Jurong,11/3/2021,-,5.0,-,Singapore,benefits,objective,neutral,,18 day leave . dental health check . usual insurance .,0.52350533,3299.0,18 day leave . dental health check . usual insurance .
4683,4683,Surbana Jurong,5/12/2019,-,5.0,-,Singapore,benefits,objective,neutral,,part time flexible hour office option,0.789383,3305.0,part time flexible hour office option
12775,12775,Surbana Jurong,3/8/2022,Faciltiies Operations Manager,5.0,Facilities Manager,"Jurong East New Town, ",reviews,objective,neutral,,"pro : great benefit , & staff welfare . con : work requirments must still meet",0.6264004,11397.0,"pro : great benefit , & staff welfare . con : work requirments must still meet"
12779,12779,Surbana Jurong,28/7/2022,Good start for fresh grads,5.0,Project Engineer,Singapore,reviews,objective,neutral,,"pro : work life balance , friendly colleague . con : no bonus pay , low progression",0.89821184,11401.0,"pro : work life balance , friendly colleague . con : no bonus pay , low progression"
12796,12796,Surbana Jurong,27/5/2022,Engineer,5.0,Engineer,"Bukit Merah Estate, ",reviews,objective,neutral,,"pro : good benefit company offer . con : lack guidance , lot work",0.84080625,11418.0,"pro : good benefit company offer . con : lack guidance , lot work"
12807,12807,Surbana Jurong,1/6/2022,Long working hours,1.0,Facility Engineer,,reviews,objective,neutral,,-,0.61981183,11429.0,-
12837,12837,Surbana Jurong,23/1/2022,Corporate,1.0,Senior Engineer,Singapore,reviews,objective,neutral,,pro : high turnover rate newcomer . con : low turnover rate old staff never see work environment private consultant sg,0.849794,11459.0,pro : high turnover rate newcomer . con : low turnover rate old staff never see work environment private consultant sg
12843,12843,Surbana Jurong,25/11/2021,Strong Work Stability,5.0,Deputy Director,Singapore,reviews,objective,neutral,,"pro : one large architectural company singapore , company stable . branch office many develop new market opportunity rife .. con : process not conducive create ground breaking design . process refine streamline",0.84575456,11465.0,"pro : one large architectural company singapore , company stable . branch office many develop new market opportunity rife .. con : process not conducive create ground breaking design . process refine streamline"
12856,12856,Surbana Jurong,4/10/2021,Good prospects,5.0,Manager,,reviews,objective,neutral,,"pro : good work life balance great potential . con : broad base strategy , lack focus",0.7110241,11478.0,"pro : good work life balance great potential . con : broad base strategy , lack focus"
12859,12859,Surbana Jurong,6/9/2021,work life,5.0,Executive Engineer,Singapore,reviews,objective,neutral,,"pro : lot project learn participate . con : many project , sometime work overtime",0.921772,11481.0,"pro : lot project learn participate . con : many project , sometime work overtime"
12882,12882,Surbana Jurong,9/6/2021,A fantastic Organization for working,5.0,Senior Project Engineer,Singapore,reviews,objective,neutral,,pro : work life balance job security career development lot perk supportive top management . con : hard get ahead .,0.8865218,11504.0,pro : work life balance job security career development lot perk supportive top management . con : hard get ahead .
12887,12887,Surbana Jurong,8/5/2021,Nil na,5.0,Technical Support,Singapore,reviews,objective,neutral,,pro : good working environment take good wellfare employee . con : no comment con,0.5598908,11509.0,pro : good working environment take good wellfare employee . con : no comment con
12895,12895,Surbana Jurong,30/3/2021,Good welfare,5.0,Executive,,reviews,objective,neutral,,"pro : good welfare , medical dental . con : location quite far",0.6775371,11517.0,"pro : good welfare , medical dental . con : location quite far"
12902,12902,Surbana Jurong,4/3/2021,SJ review,5.0,Civil Engineer,"Bukit Merah Estate, ",reviews,objective,neutral,,pro : good colleague work .. con : troublesome project . depend contractor .,0.9125523,11524.0,pro : good colleague work .. con : troublesome project . depend contractor .
12913,12913,Surbana Jurong,11/3/2021,Low Pay,1.0,Engineer,,reviews,objective,neutral,,"pro : quite chill place retire . con : low pay , full politics",0.8147537,11535.0,"pro : quite chill place retire . con : low pay , full politics"
12921,12921,Surbana Jurong,3/2/2021,events,1.0,Event Executive,Singapore,reviews,objective,neutral,,"pro : cant think pro . con : many , no time list",0.884588,11543.0,"pro : cant think pro . con : many , no time list"
12923,12923,Surbana Jurong,22/12/2020,Doing research for current project,5.0,Research Internship,"Jurong West New Town, ",reviews,objective,neutral,,pro : nice experience student research . con : happy work intern,0.8704775,11545.0,pro : nice experience student research . con : happy work intern
