,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
936,936,Surbana Jurong,2019-02-26,Unless you are related to the management you can forget about getting noticed,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : - honestly 's place go long time without work nobody know . people know and/but nothing say . - people generally quite nice . con : one hell bureaucratic think . tell care staff obviously dont . hold `` conversation `` mainly one way . architect ask question obviously didnt go well management know 's not around anymore . midst acquire many company ridiculous price obviously financial sheet suffered- employee understandable . thing like no bonus no increment etc , employee would solider know together . nope , hear management fly first class google facebook campus state `` site visit `` - feel ? bos go trip one top management one domestic flight economy class mr. top management give scathing remark not business class . well well . also , draw relationship tree top management see company related .. run matter .",0.9372698,,
1170,1170,Surbana Jurong,2016-07-31,Not a recomendation company,1.0,Engineer Assistant,Singapore,reviews,subjective,negative,en,pro : good pay not worth . con : -management get many unrealistic goal -bad communication division -bad management,0.8876907,,
1307,1307,Surbana Jurong,2022-06-17,Nil,1.0,Technical Executive,"Bukit Merah Estate, ",reviews,subjective,negative,en,"pro : poor management , workaholic , environment , no ot , not young engineer . con : nothing say , poor management",0.85781485,,
4662,4662,Surbana Jurong,13/8/2022,-,5.0,-,Singapore,benefits,subjective,positive,,good everything . recommened,0.7833694,3284.0,good everything . recommened
4664,4664,Surbana Jurong,19/6/2022,-,5.0,-,Singapore,benefits,subjective,positive,,benefit good especially al,0.7974076,3286.0,benefit good especially al
4678,4678,Surbana Jurong,7/2/2021,-,5.0,-,Singapore,benefits,subjective,positive,,"great private health insurance offer company , couple dental medical checkup benefit .",0.82591915,3300.0,"great private health insurance offer company , couple dental medical checkup benefit ."
4681,4681,Surbana Jurong,18/2/2020,-,5.0,-,Singapore,benefits,subjective,positive,,one best place work,0.7957669,3303.0,one best place work
12764,12764,Surbana Jurong,4/10/2022,Family friendly and good colleagues,5.0,Senior Manager,Singapore,reviews,subjective,positive,,pro : family friendly good colleague . con : not current moment .,0.5070497,11386.0,pro : family friendly good colleague . con : not current moment .
12773,12773,Surbana Jurong,20/8/2022,Working,5.0,Quantity Surveyor,,reviews,subjective,positive,,"pro : great opportunity , great colleague , great culture . con : overload workload ot",0.5742224,11395.0,"pro : great opportunity , great colleague , great culture . con : overload workload ot"
12778,12778,Surbana Jurong,5/9/2022,Too much office politic,1.0,Anonymous Employee,Singapore,reviews,subjective,negative,,"pro : ca n't think pro company . con : people friendly much politic , toxic environment",0.6037914,11400.0,"pro : ca n't think pro company . con : people friendly much politic , toxic environment"
12791,12791,Surbana Jurong,8/7/2022,Welfare - Good for the high position yet horrible for the low position.,1.0,Architectural Assistant,,reviews,subjective,negative,,"pro : none know .. con : bias . staff low end suffer alone . govt already provide work flexibility scheme , take hand not provide benefit staff . give proof evidence personal family struggle cope eventually label `` bad `` not want company . cut bonus force resign . ask kind feedback thru questionaire hold ( celebration ) party resignation . sweet talk name pretense .",0.93219954,11413.0,"pro : none know .. con : bias . staff low end suffer alone . govt already provide work flexibility scheme , take hand not provide benefit staff . give proof evidence personal family struggle cope eventually label `` bad `` not want company . cut bonus force resign . ask kind feedback thru questionaire hold ( celebration ) party resignation . sweet talk name pretense ."
12813,12813,Surbana Jurong,22/5/2022,There is no progression,1.0,Compliance Officer,"Bukit Merah Estate, ",reviews,subjective,negative,,pro : usual medical benefit medical card still available employee cap amount seem low company .. con : rigid management structure repulsive towards improvement system process . many long meeting usually exceed allocated duration drag past lunch hour . opportunity learn progression limit .,0.7287732,11435.0,pro : usual medical benefit medical card still available employee cap amount seem low company .. con : rigid management structure repulsive towards improvement system process . many long meeting usually exceed allocated duration drag past lunch hour . opportunity learn progression limit .
12833,12833,Surbana Jurong,20/2/2022,Poor Working Culture,1.0,IT,,reviews,subjective,negative,,pro : like stable work environment . con : group old employee simply love gossip incompetent job .,0.523598,11455.0,pro : like stable work environment . con : group old employee simply love gossip incompetent job .
12840,12840,Surbana Jurong,8/1/2022,Poor company,1.0,Anonymous Employee,,reviews,subjective,negative,,"pro : process haphazard loop hole exploit . con : poor company structure , poor opportunity growth , negligible no bonus , poor middle management",0.8331158,11462.0,"pro : process haphazard loop hole exploit . con : poor company structure , poor opportunity growth , negligible no bonus , poor middle management"
12849,12849,Surbana Jurong,5/12/2021,Review of SJ,1.0,Executive Architect,Singapore,reviews,subjective,negative,,"pro : big company , never short project . con : people work silo , even within team . limited opportunity career advancement . poor management leadership non-existent . long hour , employee expect take lot extra-curricular work little remuneration . understaffed .",0.8674989,11471.0,"pro : big company , never short project . con : people work silo , even within team . limited opportunity career advancement . poor management leadership non-existent . long hour , employee expect take lot extra-curricular work little remuneration . understaffed ."
12871,12871,Surbana Jurong,15/7/2021,GOODENVIRONMENT,5.0,Resident Technical Officer,Singapore,reviews,subjective,positive,,pro : good excellent work environment . con : no overtime pay hour work,0.73525286,11493.0,pro : good excellent work environment . con : no overtime pay hour work
12878,12878,Surbana Jurong,28/7/2021,Not a place for career progression or development,1.0,Manager,Singapore,reviews,subjective,negative,,"pro : salary pay time . con : lack clarity strategy direction , leader not willing assume responsibility , lack respect ( extremely hierarchical ) care others especially mid- -junior-levels , lack system process",0.80239874,11500.0,"pro : salary pay time . con : lack clarity strategy direction , leader not willing assume responsibility , lack respect ( extremely hierarchical ) care others especially mid- -junior-levels , lack system process"
12903,12903,Surbana Jurong,2/3/2021,nil,5.0,Software Engineer,"Jurong West New Town, ",reviews,subjective,positive,,pro : fun enjoyable omg . con : idk maybe sometimes might imaginary,0.76331824,11525.0,pro : fun enjoyable omg . con : idk maybe sometimes might imaginary
12925,12925,Surbana Jurong,4/1/2021,Poor Culture,1.0,Senior Engineer,Singapore,reviews,subjective,negative,,pro : relatively good pay range project . con : disengage senior management n't talk staff . uncaring environment,0.5621013,11547.0,pro : relatively good pay range project . con : disengage senior management n't talk staff . uncaring environment
12932,12932,Surbana Jurong,18/10/2020,broad company who does facility management,5.0,Facility Executive,Singapore,reviews,subjective,positive,,pro : good experience friendly colleague . con : no con mention,0.56188035,11554.0,pro : good experience friendly colleague . con : no con mention
12938,12938,Surbana Jurong,1/9/2020,Big Company with a Small Company mentality,1.0,Engineer,,reviews,subjective,negative,,"pro : exposure numerous large scale project . pay decent .. con : overwork , lack guidance , lack direction , lack communication . poor work culture . turnover high across department workload overwhelm without proper guidance supervisor . 's also disconnect senior management employee .",0.88177335,11560.0,"pro : exposure numerous large scale project . pay decent .. con : overwork , lack guidance , lack direction , lack communication . poor work culture . turnover high across department workload overwhelm without proper guidance supervisor . 's also disconnect senior management employee ."
12954,12954,Surbana Jurong,1/3/2020,Very Bad IT Department and Miserable Bonus,1.0,Anonymous Employee,Singapore,reviews,subjective,negative,,"pro : 1. 're obedient old worker want find place retire , company department . 2. 're someone still want improve want contribute skill , stay far far away place . 'll good elsewhere , seriously .. con : 1. people n't leave bad company , leave bad manager . work manager neither management , technical people skill . n't listen advise team usually `` disappear `` 's time make decision attend important meeting . 2. workload unevenly distribute n't want manage take action . help , work get . 3. spend time effort work process improvement manager senior staff still insist team follow inefficient process define 15 year ago . quote one manager , `` improvement streamline useless . `` 4. least five year promotion . 'm not even talk promotion management level . 5. lot elderly staff not open collaborate cooperate wait retirement . 6. staff unfairly appraise manager no way staff fairly appraise manager without retaliation manager . 7. whatever strategy pass upper management never effectively reach staff 's filter manager . 8. no aws ( 13th month ) . vb not even one month , around 0.4 0.5 month .",0.9225279,11576.0,"pro : 1. 're obedient old worker want find place retire , company department . 2. 're someone still want improve want contribute skill , stay far far away place . 'll good elsewhere , seriously .. con : 1. people n't leave bad company , leave bad manager . work manager neither management , technical people skill . n't listen advise team usually `` disappear `` 's time make decision attend important meeting . 2. workload unevenly distribute n't want manage take action . help , work get . 3. spend time effort work process improvement manager senior staff still insist team follow inefficient process define 15 year ago . quote one manager , `` improvement streamline useless . `` 4. least five year promotion . 'm not even talk promotion management level . 5. lot elderly staff not open collaborate cooperate wait retirement . 6. staff unfairly appraise manager no way staff fairly appraise manager without retaliation manager . 7. whatever strategy pass upper management never effectively reach staff 's filter manager . 8. no aws ( 13th month ) . vb not even one month , around 0.4 0.5 month ."
12959,12959,Surbana Jurong,17/11/2019,Many opportunities to learn,5.0,Anonymous Employee,,reviews,subjective,positive,,pro : boss open new idea suggestion great colleague teamwork many food choice around office . con : may need find way around get right person approval work organisation big,0.54554796,11581.0,pro : boss open new idea suggestion great colleague teamwork many food choice around office . con : may need find way around get right person approval work organisation big
12975,12975,Surbana Jurong,18/8/2019,Systems Analyst,1.0,Systems Analyst,,reviews,subjective,negative,,"pro : no good reason work . good somewhere else .. con : n't follow proper sdlc deliver project big disadvantage development project . project manager not know suppose potential risk highlight , ignore rather try mitigate . sale delivery much important management rather quality work . help , workload get . senior analyst ask help look task task eventually hold responsible . 's either senior analyst plain lazy not knowledge perform task . n't bother learn well . poor work environment well often hear loud conversation happen office . low annual bonus . low expect even high performance rating .",0.9318188,11597.0,"pro : no good reason work . good somewhere else .. con : n't follow proper sdlc deliver project big disadvantage development project . project manager not know suppose potential risk highlight , ignore rather try mitigate . sale delivery much important management rather quality work . help , workload get . senior analyst ask help look task task eventually hold responsible . 's either senior analyst plain lazy not knowledge perform task . n't bother learn well . poor work environment well often hear loud conversation happen office . low annual bonus . low expect even high performance rating ."
