,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
477,477,Tribal Worldwide,2021-10-14,Toxic,1.0,Account Supervisor,"Dallas, TX",reviews,objective,neutral,en,"pro : need job 2007 .. con : manager focus pop baby offer support training , coach . simply wait year say anything .",0.86602867,,
4219,4219,Tribal Worldwide,28/3/2017,-,5.0,-,Australia,benefits,objective,neutral,,competitive salary . minimum four week vacation : two week vacation start . additional week earn major anniversary . ddb day : one extra week pay vacation annually ( extra day add extend long weekend five statutory holiday day ) . five day pay time office close christmas new year 's day . ddb fuel : $ 500 annually spend personal creativity/inspiration…,0.8080139,2841.0,competitive salary . minimum four week vacation : two week vacation start . additional week earn major anniversary . ddb day : one extra week pay vacation annually ( extra day add extend long weekend five statutory holiday day ) . five day pay time office close christmas new year 's day . ddb fuel : $ 500 annually spend personal creativity/inspiration…
4220,4220,Tribal Worldwide,25/1/2018,-,1.0,-,Australia,benefits,objective,neutral,,no benefit package standard remuneration . remuneration average low end scale .,0.6478415,2842.0,no benefit package standard remuneration . remuneration average low end scale .
4221,4221,Tribal Worldwide,21/5/2015,-,1.0,-,Australia,benefits,objective,neutral,,10 % retain price wv car,0.82862586,2843.0,10 % retain price wv car
4228,4228,Tribal Worldwide,27/6/2019,-,5.0,-,Brazil,benefits,objective,neutral,,"não existe beneficios para freelancer , apenas valor cheio pagamento .",0.6703498,2850.0,"não existe beneficios para freelancer , apenas valor cheio pagamento ."
4240,4240,Tribal Worldwide,10/6/2019,-,1.0,-,Singapore,benefits,objective,neutral,,no dental benefit provide . expect basic company would provide .,0.49966484,2862.0,no dental benefit provide . expect basic company would provide .
10046,10046,Tribal Worldwide,8/6/2022,Overall good culture,5.0,Account Manager,Singapore,reviews,objective,neutral,,pro : good leadership culture decent management . con : slow stagnanting work maybe due nature client,0.82048804,8668.0,pro : good leadership culture decent management . con : slow stagnanting work maybe due nature client
10061,10061,Tribal Worldwide,6/6/2021,Good,1.0,Strategy Director,,reviews,objective,neutral,,pro : good work balance yeah . con : bad pay balance guess,0.48307845,8683.0,pro : good work balance yeah . con : bad pay balance guess
10078,10078,Tribal Worldwide,14/2/2018,Ehjtcjj,5.0,,,reviews,objective,neutral,,pro : family atmosphere . not bad place . con : long hour little food option,0.83488464,8700.0,pro : family atmosphere . not bad place . con : long hour little food option
10082,10082,Tribal Worldwide,28/7/2016,Art Director,5.0,Anonymous Employee,,reviews,objective,neutral,,"pro : abundant opportunity , care boss , busy period lull well .. con : office cram squeezy .",0.76424265,8704.0,"pro : abundant opportunity , care boss , busy period lull well .. con : office cram squeezy ."
10086,10086,Tribal Worldwide,8/4/2014,Fun place to work,5.0,Intern,Singapore,reviews,objective,neutral,,"pro : colleague welcome close-knit , competent dedicated employee , everyone look one another . con : office bit cramped dull look",0.5565316,8708.0,"pro : colleague welcome close-knit , competent dedicated employee , everyone look one another . con : office bit cramped dull look"
10096,10096,Tribal Worldwide,10/10/2021,Starting to hit its straps,5.0,Anonymous Employee,Sydney,reviews,objective,neutral,,pro : new leadership bring new life business . hop opps national client .. con : hard draw line ddb tribal,0.8976561,8718.0,pro : new leadership bring new life business . hop opps national client .. con : hard draw line ddb tribal
10106,10106,Tribal Worldwide,14/2/2021,Great company to work for when starting career,5.0,User Experience Designer,,reviews,objective,neutral,,"pro : work great brand gain wealth experience . people work knowledgeable good learn .. con : part ddb , decision drive rather good tribal .",0.53960735,8728.0,"pro : work great brand gain wealth experience . people work knowledgeable good learn .. con : part ddb , decision drive rather good tribal ."
10110,10110,Tribal Worldwide,29/5/2020,Professional Graveyard,1.0,Account Executive,"New York, NY",reviews,objective,neutral,,pro : everyone great work . con : lack transparency senior leadership,0.7259221,8732.0,pro : everyone great work . con : lack transparency senior leadership
10111,10111,Tribal Worldwide,18/5/2020,WAS a Strong Agency to Work For,1.0,Director,"New York, NY",reviews,objective,neutral,,"pro : talented creative team , strong digital marketing talent , overall good culture within core tribal team . con : organizational restructure put leadership team charge n't understand capability employee .",0.83199817,8733.0,"pro : talented creative team , strong digital marketing talent , overall good culture within core tribal team . con : organizational restructure put leadership team charge n't understand capability employee ."
10120,10120,Tribal Worldwide,2/10/2018,Worst experience ever,1.0,Anonymous Employee,,reviews,objective,neutral,,pro : - perk & compensation - office location - benefit . con : - siloed - dated design process - communication close nothing - no room grow,0.48863316,8742.0,pro : - perk & compensation - office location - benefit . con : - siloed - dated design process - communication close nothing - no room grow
10159,10159,Tribal Worldwide,30/11/2015,asm,1.0,ASM- Assistant Store Manager,,reviews,objective,neutral,,"pro : pay decent , sick day accrue . con : unorganized favoritism , inability get promote",0.66915625,8781.0,"pro : pay decent , sick day accrue . con : unorganized favoritism , inability get promote"
10168,10168,Tribal Worldwide,18/5/2015,Great place to work at,5.0,Anonymous Employee,,reviews,objective,neutral,,"pro : creative , open mind , relaxed time . con : working hour long . always think work .",0.7678429,8790.0,"pro : creative , open mind , relaxed time . con : working hour long . always think work ."
10170,10170,Tribal Worldwide,21/5/2015,Nice building - All things glitter are not gold,1.0,Senior Developer,Melbourne,reviews,objective,neutral,,"pro : nice building , nice coffee machine nice pc . con : lack leadership , management , plan . ratio one ( 1 ) person 20 project obliviously make long hour work .",0.5922233,8792.0,"pro : nice building , nice coffee machine nice pc . con : lack leadership , management , plan . ratio one ( 1 ) person 20 project obliviously make long hour work ."
10171,10171,Tribal Worldwide,24/3/2015,Best place to work,5.0,Intern,,reviews,objective,neutral,,pro : best place work entire advertising agency . con : work life balance sometimes non existent,0.8920156,8793.0,pro : best place work entire advertising agency . con : work life balance sometimes non existent
10173,10173,Tribal Worldwide,23/1/2015,Great Experience,5.0,,,reviews,objective,neutral,,"pro : friendly environment , big client , good location .. con : big company , lack communication unit .",0.9176556,8795.0,"pro : friendly environment , big client , good location .. con : big company , lack communication unit ."
