,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
386,386,Tribal Worldwide,2015-06-03,Under-Achiever in the DDB Family,1.0,Anonymous Employee,"New York, NY",reviews,subjective,negative,en,"pro : none really observable . might worth add `` ddb `` back name elevate reputation , though hard see ddb gain result .. con : new york office . poor leadership team . boast small , boutique operation , actually euphemism inability grow . around 70 employee , exceptionally small headcount digital arm top , global advertising agency . collegial culture , would fine also high-performing . 's not . decent creative product , non-existent strategy analytics product . great place work want fun , not fun place want great work .",0.920729,,
768,768,Tribal Worldwide,2014-08-02,Unambitious,1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : management , outside nosey account folk , uninvolved , talent junior senior level free reign process output .. con : flaccid leadership . non-competitive salary . poor account management focus bend client 's rather produce great work . no communication management employee , vice verse .",0.8602072,,
1127,1127,Tribal Worldwide,2017-08-05,Great Place for Professional Suicide,1.0,Team Manager,"New York, NY",reviews,subjective,negative,en,"pro : suppose like boat storm without rudder , place .. con : * no respect ceo time . disorganized leadership . * no sense organizational skill management pedigree among leadership . * culture `` need mean get ahead `` seem put place one senior manager trick people work . * employee n't like work . join , day one , guy train excuse introduce , go bos quit , effective immediately , come back , apologize , explain tribal miserable place work . leave . really should listen . * terrible compensation little growth potential .",0.9448049,,
1367,1367,Tribal Worldwide,2016-05-06,-,1.0,-,United Kingdom,benefits,subjective,negative,en,project disorganised 're make feel guilty use holiday 're legally entitle .,0.90591615,,
4218,4218,Tribal Worldwide,13/6/2022,-,5.0,-,Canada,benefits,subjective,positive,,best benefit package 've ever . felt deluxe . miss !,0.8185844,2840.0,best benefit package 've ever . felt deluxe . miss !
4234,4234,Tribal Worldwide,14/8/2022,-,5.0,-,Singapore,benefits,subjective,positive,,free breakfast every monday . near mrt,0.728285,2856.0,free breakfast every monday . near mrt
4235,4235,Tribal Worldwide,8/2/2022,-,1.0,-,Singapore,benefits,subjective,negative,,"non existent . medical benefit get cap , no dental .",0.8257461,2857.0,"non existent . medical benefit get cap , no dental ."
10060,10060,Tribal Worldwide,16/9/2021,Worst experience 🤮🤧😷,1.0,Anonymous Employee,Singapore,reviews,subjective,negative,,"pro : get nice laptop lol . con : wasn ’ give much guidance andi throw deep end many project . learn everything alright didn ’ want spoon-fed either . however , would great could receive assistance . moreover , group wasn ’ polite either . always seem almost like sin would ask help . could sense would get annoy text 😕 also , felt place person colour . would make joke language sometimes felt exclude . ’ also hear racist remark two dumbfounded . not one person call say . overall , jt terrible place don ’ recommend .",0.92293745,8682.0,"pro : get nice laptop lol . con : wasn ’ give much guidance andi throw deep end many project . learn everything alright didn ’ want spoon-fed either . however , would great could receive assistance . moreover , group wasn ’ polite either . always seem almost like sin would ask help . could sense would get annoy text 😕 also , felt place person colour . would make joke language sometimes felt exclude . ’ also hear racist remark two dumbfounded . not one person call say . overall , jt terrible place don ’ recommend ."
10090,10090,Tribal Worldwide,14/6/2022,A sinking ship with no captains,1.0,Anonymous Employee,"London, England",reviews,subjective,negative,,"pro : - high profile client - occasional project excite deliver - attempt non-work related activity . con : - uncreative dull project time ( contact form 90 % tech project ) - heavily resourced team often lead `` 0.8 hour project , 1.7 hour project b `` etc . - zero progression , training , support etc . - factory worker style management - anyone without 'chief ' name get ignore . top run company lot red tape . see something break everyone complain ? tough - 's go stay way . - high turnover staff prove company n't care 's employee . - resource get pull project , no time leave deliver , force deliver via evening/weekend work free , no change deadline . - enforce 2 day per week hybrid model ( should employee 's choice not employer 's ) - lot low skilled people various position lead general lack accountability passion project go inevitably budget , deadline fire - various people pm/delivery rude zero empathy nor emotional intelligence believe way manage team micromanage death - decade old tech riddle spaghetti-code no-one arsed fix aside middle-management employee often get laugh ask time fix n't 'make money ' - janky infrastructure ( vpn go depend direction wind blow ) cheap outsource support team slow respond critical blocker even ceo complain powerless fix ( n't want fix 're cheap )",0.92543983,8712.0,"pro : - high profile client - occasional project excite deliver - attempt non-work related activity . con : - uncreative dull project time ( contact form 90 % tech project ) - heavily resourced team often lead `` 0.8 hour project , 1.7 hour project b `` etc . - zero progression , training , support etc . - factory worker style management - anyone without 'chief ' name get ignore . top run company lot red tape . see something break everyone complain ? tough - 's go stay way . - high turnover staff prove company n't care 's employee . - resource get pull project , no time leave deliver , force deliver via evening/weekend work free , no change deadline . - enforce 2 day per week hybrid model ( should employee 's choice not employer 's ) - lot low skilled people various position lead general lack accountability passion project go inevitably budget , deadline fire - various people pm/delivery rude zero empathy nor emotional intelligence believe way manage team micromanage death - decade old tech riddle spaghetti-code no-one arsed fix aside middle-management employee often get laugh ask time fix n't 'make money ' - janky infrastructure ( vpn go depend direction wind blow ) cheap outsource support team slow respond critical blocker even ceo complain powerless fix ( n't want fix 're cheap )"
10094,10094,Tribal Worldwide,7/4/2022,High turn over of staff,1.0,Project Manager,,reviews,subjective,negative,,pro : location nice office breakfast friendly people good event . con : high turn low standard poor operational process overwork pm not appreciate no synergy department execs no idea 's go provide no support . jfdi approach .,0.81521577,8716.0,pro : location nice office breakfast friendly people good event . con : high turn low standard poor operational process overwork pm not appreciate no synergy department execs no idea 's go provide no support . jfdi approach .
