,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
125,125,Surbana Jurong,2021-05-06,Has makings of great company,5.0,General Dogsbody,Asia,reviews,objective,neutral,en,"pro : growth , scale , stability , learn opportunity .. con : legacy issue public n't forget .",0.90788424,,
130,130,Circles.Life,2021-12-03,"Exciting business, particularly SaaS. Not for the feint of heart...",5.0,Founder's Office,Singapore,reviews,objective,neutral,en,pro : - always innovate ; launch saas business year operate b2c business show founder 's foresight - opportunity always work `` start-ups within start-ups `` - high caliber people average - shine quality delivery ; no hierarchy . con : - chaotic ( hyper-growth company ) - require cultural fit . no point fit square circle,0.58970076,,
134,134,Cheil Worldwide,2021-03-17,no future ahead,1.0,Account Manager,Seoul,reviews,objective,neutral,en,pro : lively circumstamces global project many creative people . con : low benefit not interested invest employee,0.9135612,,
135,135,Resorts World Sentosa,2021-01-23,Part time,5.0,Casual,Singapore,reviews,objective,neutral,en,pro : flexible work schedule friendly colleague . con : management sometimes may side guest even though follow sop,0.9106116,,
145,145,Dyson,2021-02-26,Broken culture,1.0,Engineering,"Malmesbury, England",reviews,objective,neutral,en,"pro : free parking , cafe , training , good people leave not many . con : senior management kill company , turn education campus save tax , avoid",0.53956974,,
152,152,Cheil Worldwide,2016-03-19,Creative Director,5.0,Creative Director,Seoul,reviews,objective,neutral,en,pro : good explore new idea .. con : sometime feel quite repetitive work ..,0.81384766,,
157,157,Dyson,2022-03-15,Work culture,5.0,Supervisor,Pune,reviews,objective,neutral,en,pro : top class mnc culture company .. con : salary growth low future .,0.91070384,,
182,182,Dyson,2022-09-14,Flexible and great Management,5.0,Instore Demonstrator,,reviews,objective,neutral,en,pro : working demonstrator grant lot leeway . also n't micromanaged .. con : schedule usually weekend .,0.89637643,,
192,192,Navitas,2017-02-22,Nice company,5.0,Anonymous Employee,,reviews,objective,neutral,en,pro : nice work culture relaxed environment . con : limited career development future,0.89469665,,
197,197,SembCorp Marine,2019-03-13,PIPING DESIGNER,5.0,Piping Designer,Singapore,reviews,objective,neutral,en,"pro : sembcorp marine provide innovative engineering solution global offshore , marine energy industry . con : draw upon 50 year track record extensive network facility expertise",0.8780202,,
202,202,Integrated Health Information Systems,2021-08-23,No progression,5.0,IT Support Analyst,Singapore,reviews,objective,neutral,en,pro : good work life balance freedom . con : no progression job train not much help,0.66606426,,
208,208,Keppel Offshore & Marine,2021-09-07,ship building,5.0,Project Manager,Chennai,reviews,objective,neutral,en,pro : project management ship building industry . con : oil gas industry experience pip,0.9263588,,
209,209,Keppel Offshore & Marine,2017-02-14,Not good,1.0,Anonymous Employee,,reviews,objective,neutral,en,"pro : like govt service , no challenge . con : no carrer financial growth",0.88297045,,
212,212,SembCorp Marine,2022-04-24,Working Culture,5.0,Engineer,Singapore,reviews,objective,neutral,en,pro : good exposure work large project .. con : work pressure schedule tight .,0.8876159,,
235,235,Mapletree Investments,2021-08-10,Fast paced environment,5.0,Anonymous Employee,,reviews,objective,neutral,en,pro : good graduate interested real estate . grate exposure real estate various country asset class generally good bonus . con : generally fast paced environment work environment friendly colleague offer good help location office not cbd,0.69028276,,
237,237,Keppel Offshore & Marine,2021-11-29,Recommend,5.0,Mechanical Engineer,,reviews,objective,neutral,en,"pro : kind colleague , keep learning , good culture . con : le task , slow progress , less initiative",0.9008247,,
251,251,Panasonic Avionics Corporation,2017-06-19,flexible work environment with competitive pay and a relaxed culture,5.0,Software Technician I,"Lake Forest, CA",reviews,objective,neutral,en,"pro : love work panasonic avionics . management flexible , treat respect . nature work , time , repetitive , time learn lot fun . also love co-worker become good friend many .. con : work second shift , 4pm 12:30am . drag sometimes , least sleep 'd like !",0.5291354,,
254,254,Cheil Worldwide,2020-03-24,Idea that spreads,5.0,Copywriter,Taipei,reviews,objective,neutral,en,pro : relatively well employee benefit advertising . con : culture not creative-oriented,0.9152823,,
255,255,ST Engineering,2022-01-29,Worst marine company in Singapore,1.0,Assistant Manager Commercial,,reviews,objective,neutral,en,"pro : stable job work retire . con : low pay low increament long overtime much audit internal qic , pic kaizen project",0.78745306,,
