,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
101,101,Resorts World Sentosa,2015-05-31,"A place for JOB, not career",1.0,Anonymous Employee,,reviews,subjective,negative,en,"pro : adequate benefit like staff meal , company transport , free ticket etc fun helpful co-worker , impressionable student . con : progression non-existent , staff look apply internal opening management side guest not actively protect staff pay miserable level commitment expect poor work-life balance annual salary increment high turnover , good not socialise much co-worker",0.63863677,,
112,112,Recruit Express,2013-08-02,"Childish, school-liked , unethical & unprofessional environment",1.0,Consultant,Singapore,reviews,subjective,negative,en,"pro : commission good u make sale , however , give current recruitment industry lot recruitment firm also pay commission scheme . u like environment focus play , fight surround kid gossipy mother , definitely environment . con : unethical practice , hr team not know hr process lack updated mom rule regulation hr like gossip behind employee , ceo love dig personal life u not good book , no matter much $ u earn company still find way criticize u. employee allow behave childishly , criticism pas personal comment attack others . survive , u need join clan behave similarly like rest gossip criticize . lot cat fight employee unneccessary long meeting discuss non- work related issue . unless u presentable ceo book , n't even think get praise hard work . promotion base timing ceo like u , u promote rapidly . company hire lot temporary recruitment consultant `` help `` sale hot period , actually fill gap coz many `` manager `` one subordinate omo .",0.94456,,
119,119,Recruit Express,2020-03-02,Non appreciative environment,1.0,Recruitment Consultant,,reviews,subjective,negative,en,"pro : good start place fresh grad learn rope . con : ceo tskes thing grant . well dont mind severely underpaid thing take . incentive pay not transparent , not surprise tell contribute employer 's cpf behalf .",0.875826,,
122,122,Circles.Life,2019-08-22,Dont believe anything that the company or HR or management says,1.0,Software Engineer,Bangalore,reviews,subjective,negative,en,"pro : 1. start culture , no concrete process 2. no normalization 3. get experience back office name full fledge development center . con : 1. hr deceives term stock salary . 2. no clear vision management india center 3. development team get work like support team singapore office 4. micromanagement till core",0.77299607,,
131,131,Dyson,2021-08-12,HORRIBLE,1.0,Digital Advisor,,reviews,subjective,negative,en,"pro : remote , remote remote . ’ ! . con : everything else . probably bad place ever work .",0.84114856,,
156,156,Dyson,2019-10-06,A weird cult feeling,1.0,Senior Manager,"Malmesbury, England",reviews,subjective,negative,en,"pro : landscaping nice . variety different type employee .. con : dyson quote want fresh graduate doesn ’ want experienced folk baggage . lot time ‘ baggage ’ employer call best practice , education knowledge . result dyson department senseless hipster wheel everything take long should , folks work long hour achieve less , product price not worth .",0.55368525,,
160,160,ST Engineering,2022-07-21,Not worth to come,1.0,Senior Engineer,"Ang Mo Kio New Town,",reviews,subjective,negative,en,"pro : friendly culture fellow engineer ok. con : - company tend ignore engineer go site hands-on work . issue first blame . - department deal classified job , clearance leaving , job pile need go site deployment development . no compensation work , sure engineer continue leave - site without hawker food centre available , engineer travel everyday bring food store hold like salad sandwich , engineer no access fresh food . - yet pay isn‚äôt competitive explains not grow compete public company . continue work government job .",0.93439823,,
165,165,Cheil Worldwide,2019-11-18,Big Brother Culture of oppression,1.0,Senior Management,"London, England",reviews,subjective,negative,en,pro : really nice canteen/relaxation area courtyard . good location .. con : strange place ever work ! odd atmosphere . usually totally silent office- hear pen drop side room . strange agency ! nobody look happy fun- everyone incredibly stress . always felt like everyone watch check whole time ( actually ! ) . cheil almost entirely control korean office team spend considerable amount time ‘ reporting back ’ daily basis . total lack trust us ( korea ) point couldn ’ really contribute anything felt like puppet . unrewarding team totally demoralise . come great idea solution consistently disregard korea . not role sign felt impossible contribute anything positive due bizarre orwellian culture control repression . definitely not ( anyone half brain ambition . ),0.9420151,,
178,178,Recruit Express,2017-01-04,Recruit Express Malaysia - Real scenario,1.0,Recruiter,Kuala Lumpur,reviews,subjective,negative,en,"pro : -fun colleague -strategic office location bukit bintang -can learn lot thing recruitment . con : -very manual base company lot paperwork no system database store candidate detail -call candidate collect database although no real vacancy -need share pc consultant no proper workstation -not transparent term incentive calculation ( consultant not know formula ) -commission consultant not get pay client pay 3rd month -very high target set paycut 20 % n't hit target -a lot people wont stay long company turnover rate high -expect stay back typical mentality ( longer stay back , hardworking ) . people stay back nothing office want escape traffic jam -lady bos like judge sometimes look people . -currently 5 consultant .",0.9128506,,
181,181,Integrated Health Information Systems,2015-01-26,Closed culture,1.0,Senior Systems Specialist,,reviews,subjective,negative,en,"pro : friendly people . stable job would consider work long term .. con : closed culture company people work silo . no info sharing among team . senior management team constantly breathe subordinate ' neck , scream check .",0.52495587,,
184,184,Dyson,2020-11-09,Bad place to work,1.0,Lead Engineer,"Malmesbury, England",reviews,subjective,negative,en,pro : pay come time . con : irresponsible attitude coronavirus . constant barrier creation . ever increase bureaucracy . no trust people .,0.90078443,,
195,195,Charles & Keith,2020-12-22,Poor Atmosphere  at Work,1.0,Sales Operations,Singapore,reviews,subjective,negative,en,"pro : n't even know say .. con : low salary , long hour work , poor office ikea desk ecommerce",0.8357863,,
204,204,ST Engineering,2021-10-12,"ST Engineering Land System.
Doesn't recommend.",1.0,Engineer,Singapore,reviews,subjective,negative,en,"pro : 1. slow relax pace 2. friendly people . con : 1. far behind outside world 2. skill experience gain irrelevant outdated 3. pay increment pathetic 4. simple change improvement workflow culture take forever never . mostly talk no action . 5. quite number engineer incompetence yet arrogant . 6. many mid management zero contribution add no value . n't give direction n't take liability , push low level staff . 7. fresh graduate join leave 2 years¬†",0.9445772,,
206,206,Recruit Express,2015-02-13,worst company i joined.,1.0,Recruitment Consultant,Singapore,reviews,subjective,negative,en,"pro : monetary good search firm provide much good .. con : bos company j one rude old lecher . love talk big pass wrong value manager consultant . comment not waste time indian malay candidate useless . not waste time join . resign confirmation , require serve 2 week notice pay 2 week salary 'training ' cost no training give . good search firm . cheater company candidate , company employee .",0.9307742,,
210,210,Dyson,2021-03-01,Nasty toxic and opportunistic culture,1.0,Human Resources,,reviews,subjective,negative,en,"pro : ’ insightful learn bad look like , see unethical practice know steer clear .. con : ’ shame cv ’ pity part pack treat employee disdainful way . people process sham ..",0.9048049,,
